stock_no,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-25,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-04-02,2018-04-03,2018-04-04,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-05-02,2018-05-03,2018-05-04,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29
s000001,1388.515,1385.493,1364.34,1365.851,1379.449,1379.449,1382.471,1376.427,1377.938,1371.895,1365.851,1362.829,1379.449,1377.938,1382.471,1397.58,1397.58,1405.134,1414.2,1424.776,1424.776,1418.733,1420.243,1411.178,1415.711,1420.243,1430.82,1448.95,1548.67,1562.268,1646.878,1646.878,1633.28,1669.541,1675.585,1657.454,1669.719,1678.918,1686.584,1646.72,1623.721,1646.72,1635.987,1692.717,1709.583,1688.118,1712.65,1686.584,1694.251,1645.186,1628.321,1536.325,1566.99,1580.79,1585.389,1597.655,1600.722,1603.788,1632.92,1671.252,1675.852,1703.45,1740.248,1789.313,1752.514,1729.516,1718.783,1796.979,1784.713,1793.912,1754.048,1761.714,1744.848,1769.38,1752.514,1735.649,1731.049,1724.916,1706.517,1731.049,1757.114,1754.048,1731.049,1694.251,1675.852,1668.185,1703.45,1732.582,1758.648,1767.847,1770.914,1741.782,1777.047,1764.781,1792.379,1783.18,1760.181,1715.716,1746.381,1727.982,1714.183,1772.447,1772.447,1769.38,1747.915,1769.38,1746.381,1729.516,1827.644,1859.843,1890.508,1885.908,1977.903,1985.57,1977.903,2008.569,2020.835,2184.893,2215.559,2315.22,2200.226,2232.424,2135.829,2100.564,2118.963,2051.5,1993.236,2039.234,2039.234,2005.502,1967.171,2007.035,2069.899,1996.303,2013.168,1993.236,1950.305,1954.905,2036.167,2033.101,2076.032,2072.966,2031.568,2094.431,2037.701,2025.435,2039.234,2100.564,2043.834,2031.568,2039.234,1987.103,2005.502,2065.299,2054.566,2077.565,2177.227,2177.227,2181.827,2256.957,2269.223,2214.025,2246.224,2244.69,2177.227,2154.228,2106.697,2092.898,2154.228,2151.162,2154.228,2230.891,2146.562,1980.97,1922.706,1792.379,1796.979,1830.711,1839.91,1910.44,1933.439,1936.506,1882.841,1847.577,1846.043,1832.244,1818.445,1855.243,1847.577,1856.776,1853.71,1844.51,1842.977,1827.644,1795.446,1784.713,1813.845,1812.312,1824.578,1787.779,1738.715,1675.852,1677.385,1669.719,1694.251,1671.252,1642.12,1619.121,1666.652,1689.651,1750.981,1813.845,1766.314,1773.98,1701.917,1718.783,1763.247,1758.648,1740.248,1773.98,1818.445,1790.846,1750.981,1663.586,1668.185,1648.253,1637.52,1657.452,1688.118,1681.985,1688.118,1688.118,1714.183,1704.983,1671.252,1658.986,1680.451,1678.918,1665.119,1632.92,1626.787,1623.721,1623.721,1591.522,1545.525,1560.857,1562.39,1574.657,1573.123,1554.724,1589.989,1551.658,1539.392,1542.458,1525.592,1543.991,1559.324,1513.326,1519.459,1511.793,1510.26,1450.463,1435.13,1393.732,1367.667,1393.732
s000002,2258.838,2243.843,2259.909,2235.275,2261.506626122283,2278.8557206374107,2288.5765891613796,2324.172,2356.303,2286.685,2253.483,2242.772,2247.057,2252.412,2253.483,2343.451,2578.01,2836.132,2735.454,2677.617,2694.754,2674.404,2631.562,2555.518,2628.349,2594.076,2641.202,2616.568,2650.841,2726.886,2616.568,2633.705,2605.59054459924,2709.749,2692.612,2715.104,2654.054,2549.092,2491.255,2508.392,2463.408,2530.884,2503.037,2508.392,2525.529,2475.19,2446.271,2432.348,2438.774,2458.053,2441.987,2358.445,2350.948,2358.445,2341.309,2347.735,2444.129,2422.708,2485.9,2489.113,2473.048,2484.829,2571.584,2587.033,2573.743,2572.636,2533.874,2542.734,2631.331,2635.761,2876.08,2856.146,2799.665,2797.45,2852.824,3052.167,3244.865,3105.325,3186.17,3181.74,3145.194,3079.853,2892.692,2963.57,2972.43,2924.809,2907.089,2931.453,2944.743,2975.752,3001.224,2982.397,2913.734,2902.659,2927.024,2884.94,2897.122,2871.65,2990.149,3037.77,3048.844,3045.522,3209.427,3207.212,3228.253,3261.477,3121.937,3041.092,3084.283,3061.027,3064.349,3046.63,2996.794,3156.268,3149.624,3204.997,3200.567,3200.567,3520.624,3599.253,3466.358,3521.731,3490.722,3405.447,3745.438,3457.498,3403.233,3416.522,3436.456,3407.662,3316.85,3302.453,3314.636,3274.767,3315.743,3334.57,3223.824,3151.839,3229.361,3167.343,3291.379,3305.776,3363.364,3377.761,3409.877,3399.91,3439.779,3605.898,3580.427,3667.916,3849.54,3985.758,3969.146,3950.319,3892.731,3937.029,4107.579,4452.0,4404.379,4403.271,4365.617,4377.8,4538.382,4554.994,4452.0,4434.28,4271.483,4026.734,4159.629,4152.985,4139.695,4096.504,3966.931,3652.412,3626.94,3463.035,3532.806,3624.725,3673.453,3732.149,3845.11,3785.307,3643.552,3621.403,3589.286,3574.889,3563.815,3728.827,3643.552,3725.504,3705.57,3612.543,3597.038,3621.403,3616.973,3613.65,3497.367,3470.788,3506.227,3453.068,3440.886,3358.934,3435.349,3469.68,3783.092,3686.743,3708.892,3725.504,3632.477,3501.797,3563.815,3611.435,3527.268,3460.821,3325.71,3313.528,3326.818,3347.859,3339.0,3312.421,3425.382,3335.677,3156.268,3145.194,3065.456,3026.695,2980.182,3032.233,3177.31,3123.044,3108.647,3094.25,3094.25,3073.209,3015.621,2966.892,3006.761,2997.901,2959.14,2968.0,2951.388,2922.594,2934.776,2835.104,2728.788,2833.997,2879.403,3023.373,3044.415,2989.042,3033.34,2958.033,3024.48,3068.779,3061.027,3031.125,3099.788,3001.224,2985.719,3070.994,3111.97,2933.668,2828.459,2682.274,2644.621,2724.358
s000063,246.77,249.295,247.654,250.052,259.897,260.402,264.82,264.946,264.442,262.422,268.859,270.627,272.772,275.928,287.919,282.744,297.26,301.047,302.562,300.794,302.562,299.658,285.269,285.774,296.881,293.473,292.716,283.375,285.395,295.493,293.095,302.562,289.055,278.579,286.152,297.639,298.649,302.562,291.832,289.308,287.162,293.473,289.687,288.046,288.424,279.462,275.676,279.21,281.23,286.279,283.754,276.181,274.792,275.676,283.123,289.687,293.473,290.696,288.677,288.551,288.046,289.182,299.027,299.406,303.319,301.173,298.901,307.863,307.484,314.932,308.747,319.981,319.349,314.805,314.679,309.883,310.766,314.805,309.504,312.786,315.184,337.021,331.341,335.506,353.683,355.324,357.217,378.423,379.938,364.664,368.199,372.364,384.355,384.482,386.627,358.227,361.761,359.615,349.896,356.838,378.675,379.685,397.609,407.581,398.619,405.435,413.387,429.165,424.747,414.145,441.03,445.07,461.858,461.605,454.663,478.393,455.041,495.433,505.405,506.794,489.88,481.927,433.709,448.352,431.942,417.553,423.611,440.778,429.418,436.36,427.398,445.701,470.441,468.169,480.918,483.316,467.033,441.409,450.119,446.711,477.762,480.539,469.684,469.557,456.682,457.187,458.954,451.002,463.12,465.771,454.915,448.983,458.828,453.401,459.712,452.138,459.586,487.229,466.78,461.605,460.595,459.838,459.207,467.664,455.168,441.788,400.26,392.56,392.812,353.556,363.781,369.587,359.11,362.392,374.257,359.11,371.354,375.393,384.987,394.075,395.337,410.863,408.591,406.95,408.338,397.861,405.814,420.33,412.377,412.504,424.369,429.039,418.436,413.009,414.145,404.047,400.638,404.551,399.502,395.842,366.179,372.238,384.103,373.879,376.656,380.569,389.026,379.811,378.549,378.17,387.511,399.376,393.822,393.822,395.211,388.9625145161544,390.7928579890046,395.52020768418896,390.2294359335864,390.79804603739694,398.80424231659856,397.269617602117,389.67327714591755,389.8175048912272,390.51996664356255,393.5653510499203,391.6561492415052,397.83926531560616,402.4555907751925,401.72303834218104,403.94767349285604,401.8496267229564,405.63171400103954,407.168413934878,403.9248460799293,400.9375678155667,404.9852831713424,406.8716575668308,405.3121302200656,399.95495145003997,397.116051369701,396.0037337943635,397.74276761550686,394.7077593059339,386.3404748586189,394.53862892834053,391.240067760432,395.07818596115345,398.9941248877614,398.16714997400766,397.5093054378473,392.17702930010523,392.2143832485308,396.9842749405331,355.702,320.107,288.046,259.266,233.39,210.039,189.085,170.151,167.627,162.199,163.083,164.471
s000069,252.36,249.785,246.352,256.08,264.378,264.378,266.38,271.817,267.239,266.094,260.658,270.386,275.014,270.677,271.544,275.014,278.485,287.449,291.498,290.052,287.449,290.92,284.847,278.485,281.376,279.641,280.509,274.147,281.087,282.533,278.485,279.641,264.315,263.736,271.833,272.701,273.568,268.074,265.471,261.423,263.447,264.025,266.05,266.628,272.123,262.579,253.326,251.59,253.036,255.639,251.012,244.65,245.807,248.699,248.12,248.988,254.771,256.507,254.482,255.061,251.88,256.796,260.266,261.134,258.242,251.59,251.301,249.855,253.036,252.169,261.712,263.736,266.05,266.05,264.893,273.279,270.387,268.074,269.52,264.893,262.869,262.579,244.939,242.915,239.734,236.842,236.264,239.734,241.469,240.312,237.42,244.939,241.469,241.469,244.072,244.65,243.204,243.204,249.277,253.036,250.145,250.723,247.831,253.326,257.085,259.109,252.458,243.493,242.915,240.023,244.65,243.204,243.782,241.758,242.047,247.542,251.301,246.674,262.869,264.604,257.953,262.579,259.109,250.723,265.471,257.085,255.928,250.434,252.458,250.145,247.831,248.409,250.145,247.831,248.988,242.626,234.529,235.107,235.107,225.275,227.877,227.01,229.323,240.891,236.264,242.626,245.518,257.374,258.82,261.423,275.304,274.436,274.725,270.966,272.123,275.593,279.641,279.641,295.546,292.076,295.257,295.257,299.884,301.041,309.427,312.03,301.909,296.414,299.306,291.209,294.39,296.992,286.003,259.398,254.771,240.023,243.493,246.964,250.434,252.458,253.615,251.59,244.939,246.096,245.518,242.047,245.807,249.566,245.807,250.723,256.507,252.458,252.169,252.169,249.277,249.277,242.915,244.361,242.337,240.601,235.396,231.058,233.372,233.083,241.469,238.288,235.685,231.348,228.745,229.902,236.553,240.601,237.131,237.42,229.612,226.431,229.902,229.034,226.431,225.853,230.769,229.902,225.564,223.829,224.407,224.985,226.431,230.191,232.504,233.372,239.156,235.685,231.926,233.95,233.083,232.504,234.818,235.396,234.529,230.769,231.058,227.299,229.902,224.985,224.407,227.877,227.01,228.456,230.191,228.456,230.191,225.853,227.877,228.745,228.745,231.348,233.661,224.118,227.877,228.456,229.612,226.142,214.575,205.899,200.405,209.08
s000100,6.970614124831243,6.948233960318772,6.912840218400561,6.960928675184706,7.042617272100666,7.096644543688655,7.12691655606127,7.123369210305953,7.1390731903912865,7.045467106050163,7.032493386461899,7.012504690997954,7.082076511401373,7.067767554927681,7.150392810554315,7.155155819742634,7.220004488775213,7.310103085178496,7.323315951671611,7.266418917225388,7.311577824425088,7.307532255951329,7.275745646514647,7.21422510524127,7.2933428729300624,7.294179887097047,7.285869532153413,7.281405456596161,7.315523748355156,7.291628986778617,7.347629220331643,7.379854265760555,7.301075289520302,7.30828955448336,7.432984736455345,7.469115847996853,7.430692911950506,7.460327199243513,7.412677178451597,8.432,8.362,8.385,8.572,8.946,8.806,8.829,8.666,8.689,8.689,8.596,8.432,8.245,8.362,8.409,8.385,8.409,8.385,8.456,8.385,8.362,8.292,8.362,8.432,8.385,8.385,8.339,8.385,8.339,8.385,8.362,8.31946718102586,8.311038818532516,8.310300250685163,8.336975583524918,8.34714175271792,8.319662684279573,8.3225735105015,8.348293049656444,8.32435476236865,8.346772468794242,8.502,8.339,8.199,8.292,8.269,8.432,8.315,8.689,8.736,8.619,8.596,8.783,9.063,9.366,9.834,9.717,9.553,10.137,9.974,10.277,10.324,10.418,10.277,10.137,9.834,9.857,9.997,10.931,11.212,11.095,11.702,11.632,11.585,11.258,11.282,11.352,10.931,11.002,11.305,11.025,10.067,9.81,9.67,9.88,9.81,9.764,9.693,9.81,9.53,9.67,9.437,9.577,9.764,9.53,9.623,9.507,9.25,9.203,9.46,9.343,9.507,9.413,9.016,9.039,8.969,8.946,9.11,9.133,9.32,9.25,9.156,9.063,9.413,9.32,9.25,9.343,9.413,9.46,9.156,9.086,9.086,9.063,8.969,8.899,8.853,8.689,8.409,8.456,8.339,7.942,8.082,8.129,7.825,7.825,8.105,7.802,7.965,7.965,8.035,8.105,8.012,8.572,8.689,8.759,8.666,8.502,8.409,8.853,8.783,8.923,8.923,9.016,8.969,8.876,8.876,8.899,8.829,8.759,8.642,8.526,8.152,8.012,8.105,7.988,8.082,8.105,8.199,8.035,8.035,7.942,8.105,8.105,8.058,8.058,7.918,7.825,7.638,7.708,7.521,7.545,7.661,7.778,7.661,7.591,7.615,7.825,7.731,7.825,7.895,7.802,7.778,7.708,7.731,7.708,7.638,7.545,7.591,7.685,7.661,7.615,7.568,7.521,7.474,7.521,7.334,7.503,7.479,7.552,7.72,7.672,7.672,7.552,7.527,7.576,7.552,7.431,7.359,6.997,6.972,6.683,6.755,6.683,6.852,6.804,6.804,6.997
s000157,207.731,209.16,209.16,209.636,212.019,210.589,212.495,209.16,210.113,209.636,210.113,209.16,210.589,209.636,210.589,210.589,210.589,215.83,214.877,215.354,215.83,213.924,215.354,214.401,214.877,214.401,214.877,217.26,215.354,214.401,217.736,219.165,217.736,222.5,226.788,225.836,228.218,229.647,225.836,224.883,224.883,222.977,228.218,229.171,228.218,233.459,232.506,235.841,232.982,234.888,230.6,222.024,225.836,224.406,224.406,225.836,223.93,227.265,227.265,226.312,226.788,228.748,230.224,229.732,228.256,225.796,226.78,225.796,224.812,226.288,225.304,224.812,225.796,226.288,225.796,226.288,226.78,227.272,225.304,224.32,222.845,220.877,217.925,218.909,220.385,219.893,220.385,226.78,230.224,230.716,230.716,232.191,230.224,230.224,227.272,222.845,224.32,227.764,227.764,230.224,231.699,229.24,226.288,228.256,226.78,221.369,219.893,222.845,223.829,224.32,224.32,226.288,225.304,221.861,220.877,220.877,218.909,217.925,220.877,219.893,216.941,216.941,215.958,216.941,219.893,216.45,216.941,215.466,208.579,209.071,209.071,209.071,210.546,208.579,209.563,211.038,209.563,210.054,211.038,209.071,210.054,209.071,210.054,220.877,216.941,219.401,219.893,223.829,222.845,221.861,224.812,229.24,227.764,227.272,225.304,223.829,220.877,225.304,224.32,226.78,226.78,229.24,228.748,227.764,229.732,227.764,223.829,221.369,220.877,213.99,214.974,216.941,210.054,211.038,213.006,204.151,207.103,208.579,208.579,210.546,210.546,213.006,211.038,210.546,210.546,209.071,209.563,212.022,212.022,212.514,213.006,213.99,212.022,211.038,210.054,210.054,209.563,209.071,209.071,208.087,207.595,205.627,206.611,206.119,207.103,207.103,208.087,207.103,206.611,204.151,206.119,206.611,205.135,205.135,205.135,204.151,204.643,205.135,203.659,203.659,205.627,205.627,204.643,206.611,207.103,208.087,208.087,209.563,208.579,209.071,210.054,208.579,208.579,212.514,210.546,209.563,211.038,212.022,212.022,210.054,209.071,208.579,207.103,205.627,201.2,205.135,207.103,207.103,206.611,206.611,207.103,203.659,202.184,207.103,205.135,205.135,204.643,197.756,198.74,198.248,201.2,201.2,200.708,200.216,198.74,202.184
s000166,7.76,7.746,7.76,7.801,7.856,7.828,7.856,7.705,7.773,7.787,7.801,7.731,7.829,7.801,7.815,7.815,7.773,7.871,7.857,7.815,7.801,7.829,7.871,7.857,7.885,7.899,8.024,8.024,8.038,7.997,8.122,8.094,7.857,7.857,8.262,8.206,8.164,8.164,8.108,8.136,8.248,8.206,8.262,8.304,8.332,8.318,8.346,8.262,8.29,8.178,8.164,7.941,8.178,8.136,8.122,8.192,8.108,8.136,8.08,8.15,8.038,8.206,8.542,8.43,8.472,8.5,8.528,8.5,8.486,8.43,8.346,8.346,8.36,8.402,8.36,8.332,8.332,8.388,8.304,8.374,8.29,8.234,8.164,8.164,8.164,8.122,8.15,8.192,8.234,8.234,8.22,8.248,8.164,8.15,8.178,8.024,8.038,8.01,8.136,8.108,8.15,8.08,7.899,7.899,7.829,7.899,7.815,7.801,7.885,7.969,7.955,7.955,7.941,7.829,7.843,7.801,7.843,7.787,7.983,7.969,7.815,7.913,7.927,7.913,7.913,7.927,7.829,7.717,7.759,7.745,7.689,7.703,7.717,7.591,7.577,7.535,7.493,7.451,7.493,7.409,7.395,7.367,7.256,7.298,7.298,7.409,7.507,7.521,7.507,7.451,7.479,7.549,7.493,7.451,7.451,7.451,7.353,7.437,7.647,7.647,7.815,7.815,7.787,7.969,7.773,7.829,7.829,7.661,7.479,7.437,7.507,7.507,7.451,7.284,7.312,7.004,6.948,6.934,6.962,6.976,6.99,7.102,7.046,7.018,7.032,6.976,6.99,7.074,6.99,7.032,7.088,7.116,7.046,7.032,6.99,6.976,7.046,7.018,7.018,6.976,6.92,6.85,6.892,6.864,6.92,6.948,6.962,6.892,6.85,6.808,6.878,6.878,6.808,6.794,6.696,6.682,6.71,6.71,6.571,6.501,6.613,6.543,6.445,6.487,6.654,6.85,6.85,6.878,6.906,6.822,6.878,6.85,6.878,6.864,6.78,6.724,6.766,6.836,6.808,6.766,6.668,6.599,6.599,6.543,6.375,6.487,6.515,6.459,6.501,6.501,6.543,6.501,6.557,6.64,6.543,6.585,6.543,6.039,6.165,6.025,6.081,6.067,6.081,6.025,6.053,6.18
s000333,156.868,156.395,156.395,163.314,166.323,172.984,173.199,173.887,172.597,168.042,170.62,167.87,173.371,175.692,183.9,182.654,191.164,190.175,189.101,183.857,185.491,184.975,179.646,178.356,184.545,183.084,178.915,177.798,184.588,179.216,180.462,181.236,179.044,176.207,177.153,181.58,180.075,186.608,186.608,181.966,177.067,177.927,177.067,177.024,175.348,172.254,169.546,173.156,171.824,175.348,175.563,170.363,172.425,170.921,167.827,168.987,168.171,170.663,173.844,175.391,178.442,180.075,181.666,179.216,180.419,176.207,175.52,177.755,177.97,176.079,176.079,176.165,173.242,172.855,177.024,175.778,180.634,180.634,180.505,186.049,185.233,189.53,185.19,183.428,188.284,186.651,189.917,199.716,200.533,202.424,204.916,204.916,201.306,206.936,209.429,208.999,204.745,204.702,208.827,216.606,214.715,217.982,222.451,219.185,217.509,220.216,217.681,226.448,226.706,221.248,226.061,229.499,230.832,224.815,224.686,227.265,230.574,234.743,247.808,242.522,229.671,232.508,226.233,226.018,219.615,219.959,217.38,221.334,224.256,218.97,211.148,216.735,230.445,229.07,235.946,234.227,230.789,237.751,238.267,236.677,240.416,243.166,248.71,241.963,233.754,238.74,238.224,242.307,239.814,246.218,249.097,247.808,255.63,260.271,256.231,261.303,262.85,262.549,252.492,253.352,250.0,264.01,266.976,259.627,263.452,266.46,257.306,252.535,257.091,255.028,257.435,246.347,238.525,226.878,231.09,223.397,233.883,237.708,244.628,249.871,247.335,247.98,234.657,236.161,238.955,241.619,240.76,241.533,241.791,254.297,257.478,261.002,262.42,259.584,263.924,256.532,256.017,255.028,250.472,244.542,241.705,237.536,234.7,228.296,237.665,234.356,227.093,225.717,227.823,220.474,226.792,227.694,222.924,220.56,213.985,214.414,209.429,221.635,220.904,223.698,230.144,226.147,220.904,222.107,220.689,228.64,224.688,230.404,236.999,237.219,239.11,236.34,242.891,242.804,239.198,233.57,236.955,237.219,231.415,227.766,223.808,222.445,228.381,226.403,222.973,232.646,229.305,237.395,241.704,240.693,238.758,240.341,247.64,251.466,250.586,245.266,247.464,240.165,242.54,238.406,235.9,232.602,230.096,221.962,220.291,229.612
s000338,95.167,98.082,98.425,96.196,97.568,97.911,99.369,101.083,101.169,99.797,99.626,98.511,101.255,102.026,103.312,103.484,105.627,111.629,112.829,113.172,113.772,113.172,111.457,113.172,113.858,119.002,117.888,117.888,112.315,112.057,117.116,117.545,118.402,117.287,122.775,121.488,120.615,120.789,118.345,115.727,115.727,118.52,122.36,122.36,122.011,124.455,122.535,122.36,121.836,123.407,120.789,115.727,118.171,117.822,116.6,117.647,118.869,120.615,120.44,119.044,118.52,120.615,120.44,120.44,120.789,125.677,126.549,130.04,129.517,130.564,127.597,128.818,130.913,130.913,132.135,135.277,132.833,132.659,130.913,131.437,129.517,127.771,127.422,129.168,128.295,128.644,130.739,131.437,131.786,131.262,132.309,138.768,137.197,137.022,137.022,132.484,132.845,133.558,136.051,137.831,142.105,141.393,142.639,148.694,153.146,152.968,146.735,156.707,155.639,152.79,155.461,160.091,160.269,158.666,153.68,156.707,154.927,152.79,157.42,157.776,149.406,151.365,144.598,145.845,147.269,144.954,145.489,138.544,137.653,136.051,135.16,136.585,139.078,135.694,136.585,136.051,132.845,138.009,141.749,140.324,144.42,144.954,144.776,147.804,147.091,148.516,148.516,153.858,152.434,153.324,151.009,159.022,157.954,158.844,155.639,154.392,152.968,160.269,161.694,161.159,160.091,162.05,163.474,160.625,159.913,159.557,161.159,158.666,156.351,154.036,160.269,160.269,154.214,147.804,149.228,138.009,141.749,143.886,145.845,152.434,151.721,154.571,149.941,151.365,151.365,148.338,146.023,149.05,147.091,146.913,147.626,152.077,150.119,149.584,151.009,149.228,147.982,146.379,144.776,143.174,141.749,139.256,144.598,142.461,146.913,147.091,149.941,152.434,152.612,151.899,152.968,152.256,150.119,155.105,150.475,148.338,149.228,148.516,145.132,144.954,149.584,148.16,146.201,147.269,143.53,144.598,144.242,146.913,147.804,147.804,147.804,147.626,149.941,150.119,149.584,152.077,152.968,151.543,153.146,152.612,150.119,152.612,155.461,153.858,150.119,155.461,154.392,159.557,159.913,158.31,160.803,157.598,160.091,173.091,173.625,168.282,169.529,157.776,157.954,159.201,163.118,157.598,153.68,154.927,150.475,155.817
s000402,309.456,312.636,312.371,314.226,318.73,316.08,323.234,320.319,316.875,306.277,312.371,306.606,312.365,311.543,315.656,317.576,328.546,329.643,326.352,320.867,321.964,321.415,325.255,315.382,316.753,313.737,318.124,320.318,318.124,319.221,322.512,328.82,327.449,333.756,340.064,339.241,333.208,338.967,329.094,323.609,324.158,323.609,322.787,327.723,321.141,315.108,315.93,316.205,313.737,314.559,310.171,301.121,306.058,308.526,307.155,310.72,320.593,331.014,326.352,327.175,325.255,330.74,326.352,326.626,331.562,324.981,324.432,321.141,325.255,321.964,329.094,335.676,330.465,325.529,324.981,332.385,338.144,341.435,355.97,360.358,348.84,354.599,329.917,332.385,353.776,338.144,334.305,335.95,331.562,332.385,328.272,331.014,323.061,319.496,319.77,319.221,321.69,324.706,329.094,329.643,327.175,323.609,315.382,318.124,315.93,314.285,307.429,306.88,308.252,309.623,307.977,304.138,304.961,306.332,307.977,310.994,305.509,299.476,305.509,306.606,302.767,306.332,307.155,304.412,314.285,306.606,307.429,304.412,306.606,307.155,307.155,306.332,307.155,303.864,303.041,297.282,294.539,291.797,292.345,285.764,294.539,294.814,295.362,298.379,300.847,301.121,304.686,311.268,310.446,306.332,322.787,324.981,321.141,318.947,318.124,321.69,325.255,344.178,335.95,332.659,327.449,328.82,335.402,334.305,327.175,335.128,331.288,320.044,323.609,315.93,310.171,315.382,303.041,293.442,295.088,276.988,277.262,277.81,276.988,281.924,287.135,289.603,282.198,282.473,286.312,283.295,284.392,287.683,285.215,286.038,286.86,284.667,283.844,281.924,279.73,279.73,275.068,274.794,275.342,273.971,267.938,270.68,270.132,266.018,272.6,268.76,267.115,261.904,259.984,257.516,262.727,264.372,262.178,262.178,255.048,251.209,252.854,253.128,249.563,249.837,253.677,251.483,249.015,248.466,245.449,243.53,239.965,243.53,246.272,244.078,245.175,243.53,246.821,247.643,247.643,251.209,255.871,257.791,255.322,252.58,255.871,255.048,256.968,255.871,250.66,254.225,254.774,258.613,258.613,257.791,261.63,258.065,253.951,255.322,253.951,250.386,250.392,237.064,237.348,236.781,239.333,237.631,231.676,229.691,225.154,228.274
