stock_no,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-25,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-04-02,2018-04-03,2018-04-04,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-05-02,2018-05-03,2018-05-04,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29
s000001,1394.558,1403.624,1385.493,1368.873,1382.471,1382.471,1393.047,1388.515,1380.96,1379.449,1371.895,1371.895,1382.471,1383.982,1387.004,1420.243,1400.602,1420.243,1418.733,1433.842,1427.798,1424.776,1424.776,1421.754,1417.222,1421.754,1432.331,1459.527,1580.399,1598.529,1646.878,1652.922,1711.847,1683.14,1690.694,1695.227,1678.918,1695.784,1727.982,1714.183,1651.319,1657.452,1658.986,1698.85,1738.715,1720.316,1731.049,1712.65,1703.45,1689.651,1658.986,1616.054,1571.59,1611.455,1589.989,1597.655,1625.254,1612.988,1634.454,1683.518,1703.45,1712.65,1769.38,1800.046,1793.912,1754.048,1746.381,1796.979,1830.711,1821.511,1801.579,1784.713,1792.379,1769.38,1769.38,1777.047,1735.649,1735.649,1738.715,1743.315,1764.781,1766.314,1755.581,1732.582,1698.85,1683.518,1711.117,1784.713,1763.247,1775.513,1775.513,1772.447,1778.58,1786.246,1793.912,1796.979,1777.047,1747.915,1750.981,1743.315,1735.649,1772.447,1798.512,1775.513,1777.047,1775.513,1790.846,1750.981,1853.71,1930.372,1927.306,1924.239,2008.569,2033.101,2013.168,2011.635,2063.766,2184.893,2267.689,2336.686,2336.686,2237.024,2192.56,2123.563,2135.829,2105.164,2066.832,2049.967,2068.366,2034.634,2014.702,2007.035,2080.632,2066.832,2023.901,2040.767,1982.503,1979.437,2042.3,2040.767,2097.498,2089.831,2125.096,2099.031,2112.83,2063.766,2059.166,2135.829,2125.096,2049.967,2046.9,2037.701,2023.901,2068.366,2083.698,2097.498,2197.159,2204.826,2269.223,2256.957,2319.82,2290.688,2284.555,2312.154,2218.625,2198.693,2184.893,2122.03,2154.228,2192.56,2161.895,2233.958,2197.159,2192.56,1980.97,1852.176,1815.378,1872.109,1844.51,1921.173,1961.038,1970.237,1947.238,1869.042,1862.909,1846.043,1852.176,1856.776,1892.041,1862.909,1870.575,1865.976,1873.642,1839.91,1816.911,1816.911,1815.378,1821.511,1858.309,1835.31,1740.248,1717.25,1712.65,1708.05,1712.65,1694.251,1685.051,1635.987,1688.118,1701.917,1757.114,1827.644,1813.845,1807.712,1758.648,1755.581,1780.113,1792.379,1775.513,1780.113,1830.711,1810.778,1792.379,1764.781,1691.184,1668.185,1660.519,1660.519,1709.583,1691.184,1700.384,1706.517,1721.849,1715.716,1697.317,1677.385,1681.985,1703.45,1683.518,1658.986,1637.52,1635.987,1634.454,1629.854,1577.723,1562.39,1577.723,1580.79,1579.256,1573.123,1603.788,1583.856,1553.191,1545.525,1542.458,1556.257,1577.723,1556.257,1525.592,1539.392,1513.326,1520.992,1447.396,1441.263,1392.199,1399.865
s000002,2288.827,2281.33,2277.046,2297.396,2326.4745475481554,2343.0363622340305,2361.860791793592,2441.987,2405.572,2345.593,2281.33,2268.478,2256.696,2278.117,2295.254,2388.435,2578.01,2836.132,2787.935,2772.941,2722.601,2719.388,2699.038,2670.12,2640.131,2641.202,2687.257,2718.317,2688.328,2859.695,2715.104,2659.41,2669.018976773451,2763.301,2791.148,2746.164,2746.164,2647.628,2542.666,2536.239,2530.884,2553.376,2525.529,2522.316,2583.365,2525.529,2469.834,2468.763,2443.058,2471.976,2462.337,2430.206,2383.08,2375.582,2367.014,2353.09,2458.053,2443.058,2506.25,2495.539,2497.682,2536.239,2615.497,2610.289,2611.397,2594.785,2588.14,2551.594,2645.728,2687.812,2899.337,2910.412,2922.594,2820.707,2884.94,3107.54,3346.752,3293.594,3333.462,3272.552,3218.286,3175.095,3012.298,3014.513,3021.158,3006.761,2968.0,3062.134,2955.818,3020.05,3012.298,3054.382,2986.827,2936.991,2941.421,2942.528,2904.874,2901.552,3012.298,3100.895,3087.606,3131.904,3211.641,3242.65,3382.191,3264.8,3269.23,3130.797,3095.358,3116.4,3077.639,3082.068,3044.415,3156.268,3173.988,3253.725,3278.089,3212.749,3520.624,3663.486,3625.832,3575.997,3610.328,3471.895,3746.546,3698.925,3547.203,3466.358,3486.292,3455.283,3532.806,3309.098,3316.85,3362.256,3333.462,3363.364,3335.677,3240.436,3239.328,3222.716,3343.43,3344.537,3469.68,3410.985,3443.101,3415.415,3511.764,3653.519,3741.009,3713.322,3973.576,4093.182,3999.047,4064.388,3962.501,4055.528,4208.358,4507.373,4496.298,4500.728,4550.564,4412.131,4597.077,4677.922,4553.886,4502.943,4491.868,4208.358,4181.779,4212.788,4197.283,4215.003,3997.94,4051.098,3752.083,3539.45,3579.319,3742.116,3690.065,3770.91,3887.194,3887.194,3796.382,3680.098,3664.594,3624.725,3671.238,3733.256,3756.513,3736.579,3755.406,3729.934,3636.907,3649.089,3665.701,3693.388,3608.113,3498.474,3560.492,3530.591,3440.886,3409.877,3529.483,3560.492,3816.316,3764.265,3817.424,3776.447,3759.835,3628.047,3563.815,3681.206,3639.122,3570.459,3458.606,3383.298,3398.803,3381.083,3377.761,3354.504,3444.209,3394.373,3355.612,3183.955,3173.988,3063.242,3052.167,3046.63,3196.137,3156.268,3159.591,3121.937,3133.012,3117.507,3073.209,3014.513,3006.761,3024.48,2995.686,3008.976,2973.537,2980.182,2970.215,2920.379,2791.913,2843.964,2930.346,3032.233,3075.424,3049.952,3061.027,3010.083,3070.994,3082.068,3128.582,3074.316,3134.119,3084.283,3022.265,3156.268,3123.044,3142.979,2886.047,2825.137,2721.036,2724.358
s000063,250.936,250.557,253.081,250.178,262.548,265.704,266.209,269.364,265.956,267.219,268.859,273.277,273.151,278.074,288.803,290.696,299.28,309.504,305.591,302.562,304.076,301.047,301.426,287.919,298.144,298.017,298.522,294.736,291.959,295.745,297.765,303.193,303.193,292.464,286.531,302.94,307.611,303.824,303.95,294.988,296.124,295.872,295.241,291.201,293.6,286.405,281.356,280.725,283.88,287.667,289.687,284.006,284.006,277.569,287.415,291.201,293.473,300.29,291.959,292.211,290.949,296.881,301.552,301.552,307.106,306.979,302.309,309.251,311.145,315.437,315.563,320.359,326.671,320.233,316.573,316.32,315.184,318.592,316.573,313.796,316.194,340.177,347.119,335.506,359.868,359.11,371.733,392.939,381.2,377.161,372.995,376.403,395.716,392.181,390.919,378.044,363.402,363.15,358.227,357.217,384.734,381.326,400.134,413.513,412.504,405.814,414.523,430.049,432.952,430.428,441.535,461.353,469.81,465.139,469.557,480.16,481.927,495.433,516.134,522.446,514.998,503.007,482.054,448.983,446.206,431.816,431.437,444.691,443.934,436.865,437.244,451.507,470.567,475.616,483.19,484.199,481.927,468.926,453.527,455.546,481.549,481.801,481.549,472.713,468.295,464.635,462.867,461.984,473.344,466.402,464.256,454.663,458.828,457.945,465.139,457.945,471.072,487.734,491.016,473.218,471.577,462.11,468.548,468.295,466.275,454.915,439.263,403.163,396.094,378.675,370.597,377.918,370.849,372.238,377.161,371.102,375.772,381.831,386.123,396.978,405.814,414.649,417.805,412.377,412.504,410.232,408.717,425.126,417.931,416.29,424.621,432.068,429.165,417.553,419.951,415.912,408.086,405.814,412.125,403.542,383.472,374.636,386.88,382.21,380.19,384.355,395.085,383.346,384.987,382.462,388.647,402.153,403.163,401.396,396.978,392.20399573550856,388.8212551251435,392.34763652575765,391.4662976770153,388.5893778494558,395.46669368545116,393.851760800794,392.82780716744725,387.52027996774495,388.5791177930094,389.6287215674721,390.0380978196818,393.43109848649317,399.32857893186116,397.98143352045406,399.576872297863,400.48488729336594,402.12239230220507,402.6394991471016,402.536898582638,400.0919271314703,400.45615913531606,403.985618552864,402.0731440312625,399.9647024315354,395.945838321496,394.1010801724404,394.65820123747784,394.16879654498644,386.5876408367707,390.3736016654776,390.1427503954345,391.25801853115394,394.55662667865886,394.840830242223,396.02278874484375,391.8787519461588,389.1177707564432,393.008384160903,355.702,320.107,288.046,259.266,233.39,210.039,189.085,178.861,168.763,168.384,167.375,165.607
s000069,257.797,253.219,251.502,257.224,266.953,267.525,272.675,276.395,271.531,273.247,267.525,272.103,279.931,276.46,273.279,283.69,278.774,291.498,296.703,293.811,292.655,295.836,292.944,287.16,283.112,281.955,282.822,282.244,284.847,284.557,283.69,280.798,281.666,268.074,272.412,277.906,278.485,275.882,270.677,266.339,264.604,267.785,268.363,268.074,275.593,272.123,262.869,253.036,255.061,256.796,256.217,251.301,248.699,249.855,249.855,249.566,256.217,259.109,258.242,255.928,255.35,257.663,262.869,262.579,263.447,259.398,252.458,251.88,253.615,253.904,267.496,267.785,270.966,268.074,266.339,274.147,282.822,278.774,276.171,269.52,266.628,264.315,260.555,246.385,244.361,240.601,240.023,243.204,242.915,242.047,240.601,247.253,246.674,244.072,244.939,246.385,246.385,244.361,254.193,254.771,253.036,252.169,251.88,253.615,259.688,259.398,259.109,251.59,245.228,243.204,244.939,245.807,245.518,245.518,243.782,248.409,255.639,250.434,262.869,270.387,268.652,262.869,264.025,256.507,267.785,264.604,261.134,254.771,254.771,253.615,255.35,250.434,250.723,251.59,249.855,247.831,242.915,236.264,236.264,235.107,233.083,230.191,236.553,241.18,240.601,244.072,246.964,264.604,265.471,262.001,283.69,289.184,283.112,281.087,272.701,282.533,285.136,298.149,302.776,297.86,310.006,303.933,305.668,310.295,314.922,316.946,316.657,305.09,307.981,299.884,295.257,299.306,293.233,292.655,263.158,251.012,246.385,253.036,251.59,255.35,256.507,256.507,250.723,249.566,249.566,245.807,247.831,251.301,251.012,253.036,259.688,259.398,253.904,254.193,253.615,252.747,248.988,246.385,247.253,244.072,235.685,232.793,235.685,236.264,244.361,241.18,243.493,234.239,233.372,230.48,236.842,242.047,240.601,240.023,237.71,231.058,230.769,231.926,229.323,227.299,233.372,231.926,232.504,228.167,226.431,225.275,227.588,231.058,235.685,235.107,239.734,239.734,236.842,235.107,235.396,235.974,235.396,236.842,236.264,234.529,232.504,231.348,230.48,231.348,226.142,227.877,230.769,230.769,230.48,229.902,232.215,229.323,229.034,229.612,233.372,231.926,237.999,231.348,230.191,235.974,230.769,231.348,223.829,216.888,206.478,209.37
s000100,6.971959346653835,6.968592703522966,6.9407033521429895,6.958154117720746,7.046224705185657,7.0963856957390705,7.15339949834585,7.178898333893257,7.140490712849975,7.114274722552798,7.05656368616152,7.044332213484872,7.0817238652993115,7.099234393772881,7.147622418417139,7.242326687317429,7.217843820998864,7.314858921870638,7.324002644930216,7.3153569460024235,7.3092611306293716,7.310516151441471,7.306213222942845,7.264877220004666,7.292527519801385,7.304559782825318,7.285316130373134,7.306711247074629,7.373167587220059,7.35398369766369,7.351792391483834,7.376912728691085,7.403566980224232,7.3060936971512165,7.4326117475899505,7.470740475119431,7.473728619910143,7.480700957755137,7.474664905277899,8.689,8.409,8.502,8.619,9.226,9.016,8.876,8.876,8.736,8.759,8.689,8.572,8.409,8.385,8.479,8.409,8.432,8.409,8.479,8.456,8.385,8.385,8.385,8.479,8.479,8.432,8.409,8.409,8.409,8.409,8.385,8.384804406142681,8.351901172811509,8.368678779239293,8.365744871379512,8.362245914598589,8.37682852329424,8.352509687034278,8.393932119484223,8.382935398172748,8.369113432255556,8.736,8.479,8.362,8.339,8.315,8.479,8.456,8.923,8.736,8.759,8.736,8.783,9.203,9.437,10.254,10.02,9.81,10.137,10.161,10.324,10.791,10.581,10.604,10.277,10.184,10.02,10.161,11.002,11.562,11.469,11.983,12.006,11.866,11.585,11.469,11.445,11.585,11.025,11.329,11.305,10.815,10.184,9.81,9.904,9.904,9.997,9.857,9.974,9.904,9.67,9.623,9.67,9.834,9.787,9.647,9.67,9.53,9.296,9.483,9.483,9.553,9.553,9.46,9.063,9.11,9.063,9.133,9.203,9.366,9.413,9.273,9.18,9.46,9.437,9.343,9.507,9.577,9.67,9.53,9.18,9.226,9.063,9.063,8.969,8.923,8.899,8.619,8.502,8.479,8.362,8.105,8.152,8.105,7.988,8.129,8.035,8.012,8.105,8.058,8.152,8.129,8.596,8.712,8.829,8.806,8.666,8.549,8.969,8.993,9.063,8.946,9.156,9.203,9.063,9.016,9.016,8.993,8.829,8.899,8.712,8.222,8.035,8.222,8.035,8.129,8.152,8.269,8.105,8.152,8.035,8.105,8.152,8.105,8.199,8.035,7.988,7.918,7.731,7.708,7.615,7.708,7.802,7.755,7.708,7.661,7.895,7.802,7.848,7.918,7.895,7.848,7.825,7.778,7.755,7.731,7.661,7.615,7.755,7.685,7.755,7.638,7.591,7.545,7.545,7.451,7.576,7.503,7.6,7.745,7.696,7.72,7.672,7.648,7.6,7.648,7.6,7.455,7.286,7.045,6.972,6.755,6.804,6.852,6.852,6.876,6.997
s000157,209.636,209.636,210.113,209.636,212.019,212.019,212.972,211.542,211.066,210.589,210.589,210.113,210.589,210.589,211.066,213.448,211.542,218.212,215.83,216.783,216.307,214.877,215.354,215.354,214.877,214.877,215.354,218.212,217.736,215.83,218.212,219.165,223.453,222.5,227.265,227.741,233.935,231.553,229.647,227.265,226.312,224.883,228.694,231.076,230.6,233.459,236.317,237.27,236.794,236.794,234.888,230.124,226.312,225.836,224.883,226.312,225.359,227.741,228.218,227.741,227.265,229.24,231.207,231.207,228.256,227.764,226.78,226.78,226.288,226.78,226.78,226.288,226.288,227.272,226.78,227.272,227.764,227.764,227.272,225.796,224.812,222.845,220.877,219.893,221.369,220.877,221.369,227.764,232.191,231.207,230.716,233.667,233.175,232.191,230.716,227.764,225.304,228.256,229.24,230.716,232.683,231.699,230.224,228.748,229.24,226.78,222.845,223.337,224.32,224.812,225.304,227.272,227.764,225.304,223.337,221.861,223.829,218.417,220.877,220.877,221.861,218.417,217.433,217.433,220.877,219.401,217.925,216.941,215.466,209.071,210.054,210.054,211.038,212.022,209.563,213.498,210.546,211.038,211.53,211.53,211.038,210.546,212.022,223.337,221.369,222.845,220.877,225.796,223.829,222.353,228.256,232.191,230.716,229.24,226.78,226.288,224.812,225.304,225.796,226.78,231.207,229.24,230.224,229.732,231.699,230.224,229.732,223.829,222.353,221.369,215.958,217.433,216.45,215.466,213.99,210.054,207.595,210.546,209.071,211.53,211.53,214.482,213.498,211.038,211.038,210.546,210.054,212.514,214.482,213.006,213.006,213.99,214.482,212.022,211.53,211.038,210.546,209.563,210.546,209.563,207.595,206.119,207.595,206.119,208.579,209.071,209.071,207.103,208.579,206.611,206.611,207.103,206.611,206.611,207.595,206.119,205.627,205.627,205.135,204.151,206.119,205.627,206.119,206.611,207.595,208.579,208.579,210.054,209.563,209.563,210.054,210.546,209.563,213.006,212.022,211.038,211.53,213.006,212.514,212.022,210.546,209.563,208.579,207.595,204.151,205.135,208.087,208.087,207.103,207.595,208.087,206.611,204.151,207.595,206.611,206.611,205.135,203.167,200.216,202.184,201.692,202.676,201.2,202.676,201.2,202.676
s000166,7.815,7.773,7.801,7.815,7.883,7.883,7.883,7.842,7.787,7.801,7.856,7.843,7.871,7.843,7.899,7.927,7.801,7.885,7.885,7.871,7.857,7.857,7.871,7.899,7.885,7.913,8.038,8.136,8.178,8.094,8.136,8.164,8.094,7.885,8.262,8.318,8.276,8.262,8.22,8.164,8.29,8.248,8.304,8.416,8.43,8.416,8.472,8.346,8.332,8.276,8.262,8.15,8.206,8.206,8.164,8.206,8.15,8.15,8.164,8.206,8.15,8.248,8.612,8.57,8.626,8.57,8.57,8.556,8.556,8.486,8.472,8.388,8.402,8.458,8.402,8.416,8.374,8.43,8.402,8.374,8.416,8.304,8.248,8.178,8.178,8.164,8.22,8.318,8.234,8.276,8.248,8.262,8.276,8.192,8.206,8.178,8.052,8.038,8.164,8.15,8.164,8.136,8.066,7.927,7.941,7.899,7.885,7.815,7.913,8.08,8.024,8.024,8.024,7.955,7.871,7.871,7.885,7.843,8.094,8.052,7.983,7.927,7.955,7.927,7.927,7.941,7.913,7.829,7.829,7.773,7.731,7.717,7.731,7.717,7.605,7.605,7.549,7.507,7.507,7.493,7.437,7.437,7.409,7.312,7.339,7.465,7.535,7.549,7.577,7.507,7.521,7.619,7.605,7.535,7.465,7.507,7.451,7.437,7.787,7.745,7.927,7.885,7.885,7.969,7.913,7.871,7.941,7.829,7.647,7.535,7.521,7.591,7.521,7.535,7.339,7.214,7.046,7.032,6.962,7.046,7.032,7.116,7.088,7.088,7.032,7.018,7.004,7.074,7.088,7.046,7.116,7.186,7.102,7.074,7.046,7.032,7.06,7.046,7.116,7.06,6.962,6.864,6.92,6.878,7.004,6.962,7.06,6.962,6.948,6.864,6.92,6.92,6.906,6.864,6.794,6.78,6.752,6.766,6.696,6.599,6.626,6.599,6.557,6.529,6.696,6.892,6.864,6.976,6.92,6.92,6.906,6.906,6.906,6.892,6.85,6.794,6.78,6.878,6.836,6.822,6.78,6.696,6.64,6.613,6.515,6.487,6.599,6.529,6.501,6.557,6.626,6.557,6.613,6.64,6.668,6.613,6.626,6.501,6.207,6.193,6.081,6.151,6.095,6.109,6.18,6.237
s000333,157.598,157.512,158.243,163.357,168.128,172.984,176.465,176.809,174.918,172.769,172.039,173.543,174.274,177.368,183.9,186.694,191.55,195.075,190.906,187.511,185.877,186.35,184.158,179.732,184.631,184.803,182.568,179.947,186.092,185.534,183.127,182.181,182.654,179.732,180.204,182.009,182.482,187.167,187.597,187.382,181.966,179.818,178.7,178.743,176.981,176.207,173.586,173.758,173.973,177.712,176.981,175.778,173.844,172.425,170.577,169.546,169.503,171.351,175.047,175.864,178.571,180.505,183.041,182.525,180.892,181.279,178.056,178.442,179.646,178.7,177.454,177.196,177.497,173.586,177.024,177.54,181.15,182.396,181.709,186.092,188.671,190.863,190.691,185.877,189.101,188.413,191.679,202.424,201.908,206.206,206.292,206.979,206.678,207.237,209.429,211.664,207.753,207.366,209.085,216.993,221.377,220.044,222.451,224.987,224.686,220.775,222.709,228.468,232.422,235.001,226.276,230.617,233.797,230.488,226.706,227.866,233.367,234.915,247.851,248.968,241.232,232.852,229.499,228.081,226.792,223.741,222.064,223.741,225.76,223.698,219.529,220.044,231.262,235.001,236.806,236.677,234.055,237.751,239.685,241.232,242.651,243.854,250.773,248.753,243.639,241.619,244.885,245.315,246.046,246.261,250.129,250.558,257.65,263.452,261.647,262.936,269.297,265.729,262.205,256.962,254.04,264.483,269.211,269.254,263.967,269.426,267.234,260.787,259.67,258.294,258.251,255.888,239.857,243.166,233.969,225.417,235.86,242.823,245.401,251.504,251.332,250.515,248.367,239.814,242.78,247.894,243.037,243.639,245.659,254.426,259.541,268.781,267.277,264.87,266.03,264.01,259.068,256.274,257.693,253.137,242.608,240.588,242.307,232.078,239.728,237.923,236.376,230.488,232.508,229.113,226.921,230.488,227.523,225.503,222.623,217.251,217.595,221.635,227.78,227.265,231.519,230.617,224.901,225.288,223.955,228.855,231.811,230.888,239.066,237.879,240.209,241.309,243.727,245.574,242.364,238.758,237.307,239.858,236.999,230.844,228.557,226.139,229.656,229.481,226.095,234.141,232.514,238.758,242.276,243.771,243.199,242.716,249.091,253.928,255.247,252.521,250.41,246.233,245.222,246.453,236.032,238.055,233.042,233.35,225.215,230.404
s000338,96.196,98.168,99.026,97.911,97.825,98.254,99.626,101.769,101.855,101.769,100.14,100.14,101.34,103.312,103.312,106.313,105.627,114.63,113.858,116.259,115.23,114.63,114.458,113.172,114.201,119.345,119.002,119.688,118.145,113.429,118.659,119.088,120.888,119.174,123.203,123.889,123.058,121.836,121.138,119.218,116.774,119.218,123.582,123.407,124.629,125.502,125.502,122.884,122.884,124.28,123.233,119.916,118.52,119.393,118.345,118.345,119.044,120.789,121.662,120.789,119.567,121.138,121.836,121.487,121.313,128.469,127.422,130.739,132.833,130.913,130.564,129.691,130.913,132.484,132.484,135.277,136.499,133.357,133.182,131.786,131.786,130.04,129.691,129.691,129.691,129.342,130.739,132.484,132.484,132.309,132.309,139.466,138.942,137.895,138.593,137.197,133.379,134.448,137.119,139.256,143.352,142.639,144.598,150.653,155.995,155.461,153.858,156.707,158.31,157.42,155.461,161.337,163.831,162.228,158.666,157.42,159.201,153.68,157.598,162.584,160.803,151.721,150.297,146.913,148.516,148.338,146.913,145.132,139.434,138.9,137.831,136.941,139.256,139.256,136.763,137.831,136.051,138.009,142.639,143.352,146.023,146.023,146.379,148.16,151.187,150.297,149.762,154.214,156.173,153.68,154.927,159.379,160.091,159.201,158.132,156.529,157.776,161.694,161.872,164.899,163.652,162.406,164.365,166.502,161.694,160.625,164.009,160.803,158.31,156.886,160.803,160.625,158.31,158.488,151.009,145.667,143.174,146.913,146.201,153.858,153.502,154.749,155.817,152.434,152.256,150.831,149.941,149.228,149.941,148.338,148.694,152.434,152.612,150.475,151.899,152.077,149.762,147.091,147.269,145.667,141.749,140.324,144.954,143.708,149.228,148.516,151.009,152.612,156.707,154.392,153.68,154.036,154.036,156.351,155.639,152.256,151.009,149.406,148.516,145.667,150.119,149.584,148.516,147.447,146.379,145.845,145.132,146.913,149.05,148.338,148.872,148.694,151.365,150.653,150.475,153.146,152.968,155.283,153.858,153.68,152.79,152.968,155.639,156.351,152.79,155.461,157.064,160.981,160.091,160.803,161.516,160.803,161.337,176.118,175.94,174.515,171.844,167.392,161.516,165.255,164.009,165.077,155.995,159.379,155.283,156.529
s000402,316.345,315.02,317.935,315.55,320.054,319.259,328.268,326.943,322.439,311.841,313.431,312.365,312.64,313.462,315.93,324.706,330.465,334.579,329.643,326.626,325.255,323.061,326.078,326.078,317.85,318.124,321.415,324.432,322.238,323.609,322.512,329.917,339.516,334.579,342.532,347.469,338.693,339.79,341.435,330.465,326.352,327.997,326.352,329.094,328.546,321.964,318.673,316.479,319.496,315.382,316.205,308.526,307.429,309.897,308.526,311.268,324.432,335.676,331.014,328.82,328.272,331.562,334.579,329.368,334.305,331.014,326.078,324.158,327.723,324.981,334.031,335.95,338.419,331.837,327.175,333.756,346.92,345.0,368.86,364.198,358.713,358.713,349.663,335.402,357.89,351.034,342.532,342.807,335.402,333.756,332.385,331.562,331.837,325.255,321.415,322.787,322.238,326.078,332.385,332.934,329.643,329.917,324.432,318.399,321.415,315.93,313.737,307.703,309.349,311.268,310.446,308.526,305.783,309.349,309.074,313.737,311.543,304.686,308.8,309.623,308.526,306.88,308.252,307.703,315.382,314.011,309.897,306.606,309.349,308.526,311.543,307.977,307.155,307.429,305.235,303.315,296.733,295.911,293.442,294.265,298.105,297.83,302.767,299.75,303.864,302.767,306.332,314.011,314.011,310.171,333.756,333.208,329.094,327.997,321.415,328.82,329.368,351.034,342.807,338.144,338.693,331.562,337.596,341.984,333.756,338.967,339.79,336.773,327.723,327.449,315.108,318.124,310.994,309.349,297.556,289.877,281.376,283.844,278.359,282.747,289.603,291.248,288.232,284.941,286.586,285.489,286.038,289.329,289.329,286.312,286.86,287.135,287.957,283.295,283.021,281.376,280.279,276.165,278.633,275.891,270.406,272.874,273.148,271.503,275.068,272.326,270.68,264.921,263.824,260.533,263.55,267.115,265.195,264.372,262.727,256.145,254.774,253.677,252.854,250.66,255.597,252.854,252.58,250.112,248.74,245.449,244.352,243.804,248.466,246.821,245.998,245.724,247.918,249.015,248.192,252.854,256.419,260.533,258.339,254.774,255.871,257.516,257.242,258.613,253.677,254.5,258.339,259.162,259.71,258.065,262.453,261.356,259.71,255.871,257.791,255.322,257.481,248.407,240.183,242.168,239.333,241.601,236.781,233.378,230.826,228.841
