stock_no,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-25,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-04-02,2018-04-03,2018-04-04,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-05-02,2018-05-03,2018-05-04,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29
s000001,1377.938,1380.96,1358.297,1358.297,1361.318,1371.895,1377.938,1374.917,1367.362,1365.851,1364.34,1361.318,1362.829,1373.406,1376.427,1380.96,1383.982,1399.091,1400.602,1409.667,1415.711,1406.645,1411.178,1405.134,1400.602,1406.645,1411.178,1426.287,1451.972,1541.115,1547.159,1610.616,1619.682,1604.573,1643.856,1648.389,1639.053,1645.186,1678.918,1634.454,1614.521,1622.188,1602.255,1625.254,1680.451,1681.985,1675.852,1671.252,1672.785,1637.52,1616.054,1531.725,1539.392,1565.457,1556.257,1577.723,1577.723,1593.056,1589.989,1623.721,1662.052,1671.252,1701.917,1729.516,1740.248,1709.583,1709.583,1712.65,1778.58,1760.181,1746.381,1744.848,1732.582,1727.982,1738.715,1723.383,1709.583,1717.25,1698.85,1694.251,1717.25,1734.115,1714.183,1680.451,1671.252,1658.986,1665.119,1726.449,1737.182,1738.715,1758.648,1724.916,1731.049,1760.181,1764.781,1773.98,1749.448,1709.583,1714.183,1724.916,1704.983,1714.183,1755.581,1746.381,1735.649,1726.449,1740.248,1700.384,1724.916,1829.177,1862.909,1862.909,1893.574,1964.104,1957.971,1942.639,1997.836,2000.902,2148.095,2220.158,2157.295,2112.83,2108.23,2054.566,2065.299,2033.101,1987.103,1993.236,2008.569,1961.038,1954.905,1954.905,1974.837,1996.303,1974.837,1979.437,1942.639,1938.039,1953.371,2013.168,2017.768,2062.233,2017.768,2022.368,2022.368,1996.303,2008.569,2042.3,2023.901,2013.168,2016.235,1971.77,1980.97,1980.97,2034.634,2056.1,2069.899,2149.628,2177.227,2189.493,2250.824,2212.492,2197.159,2223.225,2146.562,2149.628,2085.232,2077.565,2074.499,2122.03,2089.831,2105.164,2135.829,1956.438,1921.173,1744.848,1772.447,1815.378,1803.112,1878.242,1908.907,1908.907,1869.042,1829.177,1824.578,1816.911,1809.245,1804.645,1846.043,1832.244,1836.844,1832.244,1839.91,1813.845,1787.779,1784.713,1780.113,1796.979,1816.911,1781.646,1674.318,1665.119,1665.119,1654.386,1617.588,1668.185,1640.587,1611.455,1625.254,1645.186,1681.985,1744.848,1750.981,1755.581,1691.184,1703.45,1729.516,1750.981,1717.25,1726.449,1775.513,1783.18,1734.115,1629.854,1655.919,1620.654,1634.454,1631.387,1655.919,1668.185,1672.785,1680.451,1691.184,1689.651,1669.719,1652.853,1649.786,1675.852,1654.386,1628.321,1622.188,1617.588,1611.455,1586.923,1540.925,1536.325,1543.991,1556.257,1550.124,1548.591,1560.857,1542.458,1533.259,1525.592,1525.592,1520.992,1542.458,1505.66,1496.46,1511.793,1497.994,1438.197,1393.732,1384.532,1360.0,1373.8
s000002,2241.701,2225.636,2218.138,2230.991,2250.770740750481,2274.6572920805097,2295.5781717204413,2300.609,2302.751,2283.472,2229.92,2238.488,2238.488,2229.92,2238.488,2259.909,2334.882,2629.42,2695.825,2654.054,2630.491,2639.06,2609.07,2519.103,2509.463,2565.158,2573.726,2594.076,2586.578,2701.181,2613.355,2609.07,2572.577374358109,2664.765,2616.568,2648.699,2640.131,2504.108,2486.971,2488.042,2456.982,2463.408,2474.119,2484.829,2509.463,2440.916,2432.348,2429.135,2418.424,2432.348,2413.069,2356.303,2327.385,2341.309,2329.527,2326.314,2335.953,2398.074,2425.921,2454.84,2447.342,2478.403,2492.326,2530.552,2572.636,2548.271,2518.37,2512.833,2552.701,2602.537,2653.48,2786.376,2771.979,2748.722,2767.549,2829.567,3042.2,3099.788,3111.97,3100.895,3073.209,3047.737,2890.477,2890.477,2936.991,2923.701,2879.403,2905.982,2900.445,2931.453,2959.14,2969.107,2893.8,2894.907,2836.212,2880.51,2849.501,2853.931,2858.361,2974.645,2980.182,3018.943,3035.555,3131.904,3181.74,3176.203,3106.433,2984.612,3023.373,3035.555,3023.373,3030.018,2968.0,2956.925,3090.928,3136.334,3167.343,3043.307,3160.698,3492.937,3435.349,3374.438,3387.728,3333.462,3353.397,3397.695,3377.761,3311.313,3344.537,3351.182,3311.313,3217.179,3244.865,3268.122,3250.403,3305.776,3222.716,3105.325,3145.194,3158.483,3170.665,3274.767,3352.289,3335.677,3366.686,3307.991,3404.34,3482.97,3569.352,3554.955,3632.477,3888.301,3870.582,3931.492,3825.176,3886.086,3943.674,4031.164,4241.582,4308.029,4346.791,4264.838,4428.743,4480.794,4296.955,4332.394,4218.325,4016.767,3944.782,4086.537,3964.716,4021.197,3862.829,3599.253,3598.146,3344.537,3467.465,3574.889,3562.707,3691.173,3691.173,3666.809,3615.865,3526.161,3546.095,3489.615,3551.632,3544.988,3632.477,3638.015,3692.28,3582.641,3584.856,3566.03,3589.286,3599.253,3490.722,3405.447,3467.465,3437.564,3234.898,3311.313,3401.018,3355.612,3436.456,3673.453,3690.065,3601.468,3554.955,3428.704,3439.779,3513.979,3516.194,3436.456,3273.659,3278.089,3293.594,3325.71,3313.528,3299.131,3300.238,3317.958,3129.689,3036.662,3059.919,2941.421,2969.107,2959.14,3026.695,3100.895,3067.671,3070.994,3086.498,3027.803,3013.406,2964.677,2938.098,2969.107,2943.636,2941.421,2936.991,2914.842,2912.627,2806.31,2722.143,2719.928,2801.88,2910.412,2972.43,2973.537,2984.612,2940.313,2954.71,3015.621,3024.48,3003.439,3026.695,2980.182,2924.809,2970.215,3038.877,2924.809,2749.83,2636.868,2602.537,2645.728
s000063,244.246,245.634,245.76,245.508,252.45,258.509,259.645,262.043,261.16,261.16,258.761,267.597,268.733,272.015,275.549,280.22,280.725,299.153,297.891,297.386,297.639,295.619,284.764,282.366,283.375,289.813,291.075,283.249,281.482,284.133,291.58,289.182,285.9,270.248,275.423,293.221,295.493,295.114,290.318,288.046,284.638,285.9,285.9,285.521,286.783,277.569,275.171,274.918,279.589,277.695,281.103,275.676,266.335,272.394,273.656,283.123,285.016,288.929,286.279,286.91,285.016,287.793,287.541,296.124,298.017,295.745,296.124,295.367,305.339,305.339,307.737,311.019,315.815,311.397,311.902,308.494,307.989,308.62,309.125,307.484,309.125,316.951,329.448,326.923,333.992,347.245,353.683,375.141,366.684,363.528,363.655,361.256,370.218,378.044,379.938,353.683,350.527,356.333,343.206,348.255,360.12,373.121,378.928,392.686,397.609,387.637,401.522,407.833,416.795,411.494,409.222,436.739,442.166,454.537,439.011,443.05,454.41,450.624,488.491,494.802,485.588,476.878,433.709,428.029,417.048,410.484,417.679,422.602,419.067,414.649,426.515,423.864,445.575,464.761,464.256,474.606,460.343,437.117,442.419,438.254,443.555,473.47,463.499,455.168,455.294,449.361,452.012,439.011,448.352,452.896,452.769,440.778,445.701,444.943,445.575,449.488,442.166,453.022,461.984,458.45,459.081,443.05,452.012,452.517,454.789,441.788,398.745,387.259,386.375,353.556,359.742,356.081,357.217,356.333,362.518,353.556,361.13,374.131,375.52,381.831,391.676,395.842,406.571,399.25,402.027,397.609,399.881,407.707,412.377,407.707,412.756,421.718,418.31,410.232,405.561,403.92,395.463,395.337,398.366,395.085,358.605,357.217,379.306,373.753,362.897,375.267,380.695,375.646,376.403,367.315,375.267,389.278,393.444,392.055,383.851,379.37700434609366,375.59583482469174,381.6418570248654,379.84901747145483,378.33776514733705,381.85254099498366,386.6283819522326,379.3212946424566,376.2572609424189,379.28685591657194,378.05313920693686,381.95990878744783,382.4754767720162,388.319931135394,390.5493321845785,391.72126176836156,392.1912490863177,393.70250141043556,394.3153081504432,393.9374950694137,390.86434523605357,389.14747346032993,396.40999300719625,393.1251463000153,390.4318353550895,387.3262726032496,385.3217361760183,384.83452949511974,384.97127149495617,377.0098483933705,379.0822493686687,380.227843456187,382.5352380904633,384.99760699122083,388.03327938758883,387.70813729908895,380.77785016663995,380.49828874475224,381.3845794844326,355.702,320.107,288.046,259.266,233.39,210.039,189.085,170.151,159.044,160.685,160.937,156.645
s000069,251.216,246.352,244.921,245.78,255.508,260.944,264.091,265.236,265.236,262.089,257.797,258.083,269.231,267.206,264.604,268.652,268.652,279.352,285.714,287.449,283.401,284.847,283.69,275.014,272.701,277.039,275.014,273.279,272.412,278.774,277.617,275.882,263.158,260.555,262.29,270.387,270.387,267.496,263.158,255.928,258.242,262.001,260.266,263.158,265.471,260.266,253.326,248.699,249.566,250.145,246.674,243.493,242.626,245.228,243.493,246.674,246.674,254.771,253.904,253.036,250.145,252.169,254.771,257.663,257.953,248.12,248.988,248.409,249.566,251.012,251.59,260.844,264.025,261.423,262.579,263.736,268.942,267.206,266.05,263.158,261.134,260.266,242.337,240.891,237.999,233.95,235.107,239.156,236.264,238.866,236.842,240.891,240.023,240.601,240.023,242.626,242.626,240.601,242.047,247.831,248.409,248.12,243.493,245.228,252.747,253.904,247.831,241.758,239.445,240.023,240.023,242.047,242.915,241.18,240.312,240.601,246.385,242.626,244.361,261.134,256.217,253.615,254.771,245.807,245.518,253.904,253.036,247.542,247.253,247.253,247.542,244.072,246.964,247.831,246.385,241.18,234.239,233.083,233.95,222.672,224.118,226.431,227.877,229.323,235.685,235.685,241.758,245.807,257.374,255.35,260.844,271.255,270.677,268.074,264.893,270.387,273.858,276.171,285.425,288.317,290.92,291.787,294.968,298.438,292.076,303.644,299.884,293.522,292.655,281.666,281.087,288.606,282.822,257.374,250.145,232.793,237.42,243.204,241.469,248.988,250.723,238.577,243.782,241.18,242.915,239.734,243.204,239.734,245.518,244.65,250.145,250.434,250.434,249.277,248.409,248.988,242.047,238.577,242.047,239.734,222.961,226.721,231.637,230.48,231.926,237.131,233.95,229.034,228.745,227.01,228.456,236.264,235.685,236.264,227.588,225.564,223.54,227.877,224.118,224.118,226.721,229.034,223.54,220.069,222.672,221.226,223.829,225.564,229.612,231.926,233.661,234.529,231.637,231.637,232.793,232.215,231.926,233.95,233.95,229.034,229.902,225.564,227.01,222.961,220.937,222.672,222.961,226.142,226.721,226.721,227.588,224.118,223.25,226.142,227.588,227.299,231.058,220.069,222.094,226.721,226.142,224.985,213.996,203.007,200.116,200.983
s000100,6.880351910242261,6.868021849691406,6.852406411850917,6.848725205972171,6.909445311542033,6.982772557675127,7.046995746258635,7.057425829581749,7.044185363275935,6.986908966431353,6.944713638831958,6.9554801764558185,6.966701916957159,7.005196247248351,7.0171898534984605,7.087983796661235,7.0641944984555725,7.178391046414535,7.221417614051067,7.212056267918555,7.213441667980448,7.216410382398792,7.191770052726539,7.148050785059061,7.145616439236019,7.183418069496265,7.187989889700515,7.207108410554651,7.215935388091859,7.205248016185822,7.228958148673661,7.268877461885658,7.167208888772107,7.168534914545634,7.240100723457179,7.368487726335826,7.366508583390264,7.362114886051113,7.349111916898768,8.245,8.292,8.339,8.292,8.526,8.759,8.759,8.666,8.619,8.642,8.502,8.409,8.222,8.269,8.339,8.339,8.362,8.339,8.362,8.362,8.315,8.292,8.269,8.362,8.362,8.362,8.315,8.339,8.292,8.315,8.292,8.286502847537962,8.254342341401792,8.261982084784073,8.271699492089013,8.273733871346618,8.267565806576222,8.264167960369372,8.295419488539379,8.267998653226776,8.284446825947832,8.409,8.292,8.175,8.199,8.199,8.199,8.292,8.362,8.549,8.572,8.549,8.549,8.736,8.853,9.366,9.647,9.507,9.553,9.857,9.904,10.161,9.997,10.231,9.974,9.787,9.647,9.81,9.927,10.931,11.048,11.025,11.585,11.492,11.095,11.188,10.885,10.861,10.418,10.861,10.861,9.95,9.764,9.507,9.693,9.623,9.67,9.647,9.647,9.46,9.343,9.437,9.39,9.53,9.507,9.413,9.46,9.203,9.18,9.226,9.273,9.203,9.39,8.946,8.876,8.946,8.899,8.946,9.063,9.086,9.226,9.11,8.969,8.993,9.25,9.203,9.25,9.226,9.39,9.11,9.039,9.063,8.829,8.923,8.783,8.783,8.689,8.362,8.409,8.292,7.942,7.872,7.942,7.825,7.731,7.778,7.708,7.802,7.918,7.802,7.988,7.965,8.058,8.385,8.502,8.596,8.385,8.292,8.362,8.736,8.736,8.783,8.899,8.946,8.783,8.783,8.853,8.806,8.642,8.642,8.432,7.778,7.848,8.058,7.895,7.918,8.058,8.105,7.988,7.988,7.755,7.895,8.058,7.988,8.012,7.872,7.825,7.404,7.545,7.498,7.451,7.498,7.591,7.568,7.545,7.591,7.591,7.708,7.731,7.802,7.731,7.731,7.685,7.685,7.661,7.638,7.521,7.521,7.638,7.615,7.615,7.521,7.521,7.451,7.474,7.311,7.334,7.407,7.503,7.527,7.6,7.648,7.527,7.479,7.455,7.527,7.383,7.31,6.683,6.852,6.659,6.393,6.683,6.562,6.707,6.731,6.779
s000157,207.254,205.825,208.207,208.683,209.16,210.589,210.113,209.16,209.16,209.16,208.683,209.16,209.16,209.636,209.636,210.113,209.16,210.589,213.924,214.401,214.877,212.495,213.448,213.448,212.495,213.448,213.924,214.401,215.354,212.972,214.401,216.307,213.448,216.307,222.024,224.883,224.883,227.265,223.453,223.453,222.977,222.5,222.977,227.265,226.788,227.741,232.029,230.124,231.553,231.553,228.694,221.548,222.024,223.453,222.977,223.93,222.977,224.883,226.312,225.359,225.359,224.812,228.256,228.748,224.32,223.829,224.812,224.812,224.32,224.32,224.812,224.32,223.829,224.812,225.304,225.304,225.796,226.288,224.812,223.829,222.845,220.385,217.433,217.925,218.417,219.401,219.401,223.337,226.288,227.764,228.748,229.24,229.732,229.24,226.78,222.353,221.861,223.337,225.796,226.288,228.748,228.748,223.829,225.796,226.288,221.369,218.417,218.417,221.861,222.845,222.845,222.845,223.829,221.369,220.385,219.893,218.417,214.482,216.941,218.909,216.941,215.466,215.466,215.466,215.466,215.958,215.958,214.974,207.595,206.611,208.087,207.595,208.087,208.087,208.087,208.579,208.579,208.579,209.563,208.579,207.595,208.579,209.071,209.071,216.45,215.466,217.925,218.909,221.861,219.401,219.893,223.337,226.288,224.812,223.337,223.829,219.893,220.385,220.877,222.353,226.78,223.829,226.78,225.796,226.288,227.272,222.845,220.385,219.893,212.514,209.563,211.53,210.054,206.611,209.071,201.692,204.643,207.595,207.103,209.563,209.563,211.038,210.546,208.087,208.579,209.071,208.579,209.071,211.038,211.038,211.53,212.514,211.53,210.546,209.071,209.563,209.071,207.595,208.579,207.595,198.248,201.692,205.627,204.151,205.627,206.611,207.103,205.135,205.627,203.167,204.151,205.627,204.643,204.643,204.643,203.659,202.676,204.151,202.184,202.184,202.676,204.151,203.659,203.659,205.135,205.627,207.103,208.087,208.087,208.087,209.071,208.579,208.087,208.579,210.054,209.071,209.071,211.038,210.546,210.054,209.071,208.087,206.611,205.627,200.216,200.216,202.676,204.643,204.151,204.151,206.611,202.676,201.692,202.184,204.643,203.167,202.676,195.297,196.28,197.756,196.28,200.708,198.248,199.724,198.248,198.74
s000166,7.719,7.65,7.719,7.732,7.773,7.801,7.815,7.705,7.691,7.732,7.76,7.703,7.703,7.745,7.773,7.787,7.717,7.759,7.815,7.801,7.801,7.745,7.787,7.773,7.829,7.801,7.829,7.969,8.01,7.941,7.969,8.052,7.801,7.801,7.801,8.178,8.136,8.136,8.08,8.08,8.08,8.192,8.178,8.262,8.262,8.29,8.304,8.22,8.178,8.178,8.108,7.941,7.969,8.08,8.066,8.108,8.08,8.094,8.066,8.052,8.024,8.024,8.262,8.416,8.444,8.444,8.486,8.458,8.486,8.402,8.332,8.304,8.304,8.346,8.332,8.318,8.276,8.332,8.276,8.276,8.29,8.206,8.122,8.136,8.136,8.122,8.122,8.178,8.178,8.206,8.192,8.192,8.15,8.122,8.122,7.983,7.969,7.983,7.983,8.08,8.052,8.066,7.857,7.857,7.829,7.759,7.773,7.731,7.787,7.857,7.913,7.899,7.913,7.829,7.801,7.801,7.689,7.717,7.773,7.885,7.759,7.731,7.843,7.843,7.815,7.815,7.801,7.689,7.661,7.675,7.675,7.675,7.675,7.591,7.535,7.535,7.479,7.437,7.451,7.409,7.339,7.353,7.228,7.242,7.214,7.27,7.395,7.451,7.479,7.437,7.437,7.423,7.479,7.423,7.423,7.437,7.339,7.339,7.437,7.591,7.633,7.717,7.745,7.731,7.759,7.731,7.773,7.633,7.423,7.353,7.339,7.381,7.381,7.228,7.242,6.766,6.92,6.934,6.906,6.948,6.962,6.976,7.018,6.934,6.948,6.962,6.962,6.976,6.976,6.976,7.018,7.074,7.046,7.004,6.976,6.976,6.962,6.99,7.004,6.962,6.585,6.738,6.85,6.794,6.822,6.906,6.92,6.878,6.85,6.808,6.808,6.864,6.808,6.78,6.682,6.682,6.668,6.696,6.571,6.487,6.501,6.529,6.445,6.445,6.557,6.64,6.794,6.85,6.836,6.766,6.822,6.836,6.85,6.822,6.766,6.724,6.71,6.794,6.766,6.766,6.654,6.585,6.557,6.501,6.333,6.389,6.389,6.431,6.403,6.459,6.515,6.459,6.445,6.543,6.543,6.515,6.501,6.025,6.053,6.025,5.941,6.025,5.969,6.01,6.01,6.053
s000333,154.719,153.859,155.578,156.653,162.498,166.366,170.921,171.093,171.695,167.268,167.655,167.354,169.847,172.082,174.488,181.365,181.623,189.101,185.061,182.654,182.869,182.869,178.614,175.864,177.497,179.001,177.325,177.067,177.927,178.141,177.712,177.841,174.059,174.832,175.907,174.918,179.13,178.786,184.588,180.204,175.219,176.508,175.262,175.563,175.133,171.48,169.245,166.194,171.437,169.804,173.199,170.191,170.191,170.363,166.795,166.967,167.182,167.397,171.394,172.855,175.993,178.227,180.29,178.356,179.216,173.543,174.059,174.574,175.778,175.047,174.961,175.047,172.554,170.577,172.211,174.231,174.918,179.689,179.388,181.752,184.588,184.846,183.299,182.095,183.041,183.986,185.706,191.121,195.032,198.771,201.908,201.994,201.263,199.931,205.346,206.979,201.994,203.111,203.326,208.484,214.672,214.715,214.457,216.176,216.176,215.747,216.606,216.262,223.053,218.325,216.391,223.912,228.425,222.193,220.603,221.807,225.202,225.846,235.989,238.74,228.21,221.935,222.408,222.537,215.747,217.509,217.036,216.262,220.044,216.348,210.804,212.309,217.466,227.823,228.124,230.789,228.339,228.64,235.301,235.731,236.806,238.525,243.252,238.74,233.754,231.863,235.774,240.76,238.181,239.9,243.897,243.768,246.003,253.137,253.051,254.856,262.162,258.294,251.203,251.418,248.839,251.762,258.853,258.724,253.567,260.142,253.137,251.418,250.129,249.871,250.988,242.823,231.305,226.534,225.675,215.532,223.354,235.001,235.173,245.831,244.542,244.971,234.571,230.789,235.602,235.387,238.611,235.946,239.943,242.393,252.406,259.369,258.982,257.65,257.005,255.716,253.567,250.558,250.472,242.221,230.918,232.508,232.551,223.526,224.772,233.625,226.405,224.256,223.741,219.185,219.959,225.245,222.795,219.228,211.234,208.827,206.077,210.589,218.97,219.185,225.073,223.053,218.712,217.251,216.778,218.454,224.028,224.028,230.492,235.065,236.999,235.504,236.56,240.297,237.483,233.13,230.448,235.285,228.645,227.458,222.709,221.17,221.17,225.391,219.323,223.808,228.381,231.811,236.208,239.242,237.659,237.527,240.165,245.75,249.707,243.639,244.474,236.472,238.143,238.319,230.14,232.427,227.59,221.962,217.697,220.335
s000338,94.996,95.167,97.568,95.339,95.939,96.625,97.225,98.254,99.969,99.111,99.026,98.168,98.425,101.426,101.426,103.055,102.541,105.97,110.771,111.457,112.486,111.886,110.943,110.943,112.143,114.115,116.944,117.116,112.315,109.914,115.744,116.859,113.944,114.029,116.001,120.803,120.091,117.822,117.647,115.378,114.505,115.378,118.345,120.789,121.836,123.233,122.36,120.44,120.789,120.615,120.091,115.204,115.727,116.949,116.076,116.425,116.6,118.345,119.916,118.869,117.822,117.996,120.091,120.091,120.091,123.058,124.978,126.549,129.342,129.168,127.248,127.597,127.771,129.691,130.215,131.437,132.135,131.088,130.564,130.04,129.168,127.248,127.248,127.597,128.12,127.597,128.644,130.739,130.913,130.739,131.088,131.786,135.626,135.626,136.324,132.309,130.352,131.955,133.736,137.475,138.009,139.968,140.681,144.776,148.16,150.653,144.42,144.776,154.214,152.256,150.653,154.036,158.488,158.488,151.899,152.612,154.036,146.023,150.653,156.886,148.872,146.023,143.174,142.996,143.174,144.42,144.064,137.831,135.516,133.736,134.804,133.201,136.229,135.694,134.448,135.338,132.311,132.667,136.763,139.79,139.434,143.708,143.53,140.859,146.201,145.311,147.804,148.516,152.256,151.543,151.009,151.721,155.995,155.817,154.571,154.036,151.543,152.256,157.954,159.913,159.379,157.42,161.159,160.269,159.201,158.132,159.557,158.488,153.146,152.612,151.721,156.886,153.146,145.845,145.667,136.229,137.653,143.352,144.242,148.694,150.475,152.077,149.762,146.913,148.694,147.982,145.489,146.379,146.735,146.023,146.557,148.516,149.941,147.804,148.338,149.228,147.447,144.242,144.42,142.817,134.626,136.407,140.502,140.324,145.132,146.379,147.269,147.269,152.077,150.831,150.831,151.899,149.05,151.365,150.119,147.804,145.489,147.447,142.996,142.817,145.489,147.447,144.776,144.776,142.817,142.461,143.53,144.242,146.023,147.091,146.913,147.269,147.626,148.516,148.694,150.119,150.831,151.009,150.475,151.721,149.941,150.119,152.79,153.68,148.694,151.187,153.858,154.571,157.598,158.132,158.31,155.995,156.351,159.913,171.488,166.858,165.789,156.707,155.639,157.954,156.173,157.242,148.872,153.68,149.941,150.653
s000402,305.747,302.303,308.662,310.251,312.901,313.961,312.106,318.995,315.285,306.277,304.952,306.606,304.961,309.897,309.623,314.834,315.93,327.175,323.884,320.044,321.141,317.85,321.141,314.834,312.365,311.543,312.365,316.753,316.753,317.576,314.559,321.69,323.884,324.158,329.368,336.499,329.643,331.288,326.626,322.238,320.044,322.787,320.867,321.141,320.867,313.737,315.382,311.543,312.365,311.543,308.526,301.121,301.944,305.783,305.235,306.058,312.091,319.496,323.335,323.609,322.787,322.238,324.158,324.432,325.529,321.415,319.77,320.593,319.77,320.867,321.69,325.255,328.82,323.609,323.061,323.061,330.74,337.047,341.71,349.663,346.372,348.84,328.82,327.449,331.837,333.756,333.208,334.031,330.465,329.643,325.803,327.175,321.415,317.302,318.124,319.221,318.673,321.141,323.335,327.997,324.706,321.964,312.64,313.462,313.188,308.252,303.589,300.299,305.235,307.155,305.509,303.041,302.218,303.864,304.138,307.155,300.299,293.991,297.556,304.412,300.573,300.299,304.138,301.395,302.218,304.961,305.509,303.041,301.944,303.315,305.509,303.864,304.138,303.589,301.67,296.459,293.442,290.151,289.054,284.941,286.586,292.071,293.442,294.265,297.282,299.202,299.75,305.509,309.349,304.138,306.606,321.141,319.77,316.479,314.559,317.576,316.753,322.512,328.82,330.465,326.352,323.609,327.723,331.562,324.158,327.175,326.9,318.947,318.673,311.817,301.67,305.235,301.67,291.248,288.506,267.663,273.148,276.439,273.697,279.182,281.65,281.65,281.65,278.085,279.73,281.65,282.747,284.118,284.667,283.57,284.667,279.73,283.295,280.553,277.536,279.182,274.245,272.051,274.245,272.874,258.887,260.807,268.212,264.921,263.55,267.663,266.292,260.533,259.71,256.419,257.242,262.453,261.904,261.356,254.5,250.934,249.837,246.821,246.821,246.821,249.563,250.112,247.918,246.546,243.804,241.062,239.142,240.239,242.707,242.981,243.53,243.256,243.53,245.998,245.724,247.369,250.112,256.419,251.757,250.386,251.757,254.225,252.58,253.951,249.289,250.934,253.128,254.774,256.694,255.597,257.516,256.694,252.306,253.128,253.403,249.015,250.108,235.079,236.213,233.945,234.796,237.348,229.124,228.557,224.02,222.886
