stock_no,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-25,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-04-02,2018-04-03,2018-04-04,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-05-02,2018-05-03,2018-05-04,2018-05-07,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-14,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29
s000001,1390.025,1387.004,1379.449,1361.318,1362.829,1376.427,1382.471,1382.471,1376.427,1377.938,1371.895,1365.851,1364.34,1377.938,1385.493,1382.471,1394.558,1399.091,1405.134,1412.689,1424.776,1420.243,1420.243,1420.243,1403.624,1414.2,1415.711,1427.798,1451.972,1551.691,1556.224,1633.28,1654.432,1624.215,1660.476,1674.074,1660.519,1658.986,1683.518,1674.318,1643.653,1626.787,1655.919,1631.387,1694.251,1708.05,1686.584,1695.784,1686.584,1680.451,1640.587,1606.855,1553.191,1570.057,1577.723,1586.923,1588.456,1599.189,1606.855,1629.854,1669.719,1677.385,1701.917,1732.582,1790.846,1746.381,1729.516,1714.183,1790.846,1777.047,1786.246,1757.114,1769.38,1744.848,1761.714,1752.514,1731.049,1724.916,1724.916,1708.05,1726.449,1752.514,1754.048,1726.449,1688.118,1683.518,1674.318,1773.98,1737.182,1760.181,1769.38,1772.447,1741.782,1781.646,1767.847,1784.713,1777.047,1746.381,1717.25,1741.782,1724.916,1715.716,1770.914,1770.914,1772.447,1741.782,1761.714,1750.981,1727.982,1839.91,1870.575,1896.641,1893.574,1985.57,1977.903,1977.903,2019.301,2013.168,2157.295,2220.158,2322.887,2191.026,2192.56,2123.563,2105.164,2100.564,2054.566,2000.902,2016.235,2033.101,2000.902,1976.37,2005.502,2054.566,1993.236,2016.235,1977.903,1951.838,1961.038,2023.901,2020.835,2069.899,2072.966,2033.101,2082.165,2036.167,2025.435,2046.9,2105.164,2042.3,2025.435,2031.568,1987.103,1999.369,2056.1,2062.233,2071.432,2172.627,2197.159,2207.892,2269.223,2238.557,2201.759,2247.757,2215.559,2174.161,2154.228,2100.564,2085.232,2138.896,2132.763,2115.897,2181.827,2180.294,1967.171,1852.176,1806.179,1819.978,1833.777,1878.242,1928.839,1957.971,1938.039,1855.243,1827.644,1827.644,1829.177,1832.244,1862.909,1847.577,1862.909,1862.909,1846.043,1836.844,1807.712,1796.979,1787.779,1800.046,1832.244,1824.578,1724.916,1709.583,1701.917,1663.586,1674.318,1692.717,1666.652,1625.254,1637.52,1655.919,1689.651,1746.381,1809.245,1784.713,1758.648,1704.983,1755.581,1766.314,1764.781,1732.582,1783.18,1803.112,1787.779,1761.714,1681.985,1665.119,1645.186,1640.587,1660.519,1683.518,1691.184,1692.717,1700.384,1714.183,1697.317,1672.785,1657.452,1697.317,1678.918,1658.986,1634.454,1626.787,1622.188,1622.188,1577.723,1550.124,1556.257,1568.523,1577.723,1571.59,1563.924,1583.856,1542.458,1537.858,1539.392,1525.592,1545.525,1540.925,1513.326,1522.526,1502.593,1519.459,1439.73,1427.464,1372.266,1381.466
s000002,2259.909,2257.767,2222.423,2254.554,2273.752050733465,2298.065243119981,2317.5886845438436,2300.609,2346.664,2345.593,2277.046,2254.554,2242.772,2242.772,2286.685,2259.909,2339.167,2671.191,2785.793,2718.317,2694.754,2677.617,2651.912,2631.562,2564.086,2602.644,2599.431,2613.355,2599.431,2752.591,2667.978,2618.71,2631.5097947113736,2739.738,2661.552,2661.552,2697.967,2645.486,2527.671,2493.397,2511.605,2463.408,2519.103,2500.895,2511.605,2525.529,2463.408,2444.129,2443.058,2441.987,2462.337,2420.566,2369.156,2355.232,2367.014,2345.593,2343.451,2431.277,2439.845,2490.184,2482.687,2516.96,2492.326,2589.248,2604.752,2568.206,2575.958,2536.089,2552.701,2634.653,2653.48,2868.328,2836.212,2771.979,2801.88,2855.039,3045.522,3212.749,3130.797,3156.268,3156.268,3144.086,3012.298,2892.692,2990.149,2990.149,2941.421,3039.985,2923.701,2955.818,2989.042,3012.298,2985.719,2914.842,2902.659,2928.131,2879.403,2898.23,2858.361,2991.256,3023.373,3067.671,3045.522,3189.492,3207.212,3244.865,3237.113,3123.044,3030.018,3073.209,3047.737,3056.597,3039.985,2995.686,3131.904,3139.656,3195.03,3189.492,3160.698,3532.806,3590.394,3453.068,3482.97,3443.101,3408.77,3665.701,3377.761,3388.836,3388.836,3403.233,3385.513,3253.725,3302.453,3292.486,3274.767,3315.743,3335.677,3223.824,3173.988,3221.609,3180.633,3278.089,3355.612,3376.653,3383.298,3366.686,3405.447,3482.97,3599.253,3628.047,3652.412,3888.301,3945.889,3942.567,3937.029,3887.194,3969.146,4042.238,4372.262,4385.552,4413.238,4319.104,4429.85,4507.373,4553.886,4429.85,4471.934,4208.358,4054.421,4152.985,4042.238,4075.462,3979.113,4034.486,3654.627,3488.507,3480.755,3574.889,3640.23,3765.373,3754.298,3883.871,3787.522,3600.361,3562.707,3543.88,3598.146,3582.641,3703.355,3698.925,3750.976,3714.429,3609.221,3592.609,3599.253,3608.113,3607.006,3477.433,3485.185,3521.731,3324.603,3406.555,3420.952,3378.868,3492.937,3732.149,3726.612,3676.776,3577.104,3621.403,3490.722,3560.492,3607.006,3561.6,3455.283,3340.107,3354.504,3358.934,3342.322,3309.098,3305.776,3394.373,3355.612,3173.988,3145.194,3062.134,3018.943,2991.256,3034.447,3156.268,3136.334,3111.97,3109.755,3113.077,3051.059,3011.191,2956.925,3015.621,2995.686,2959.14,2968.0,2954.71,2922.594,2912.627,2791.913,2743.185,2811.848,2912.627,3022.265,3023.373,2997.901,3001.224,2961.355,3053.274,3035.555,3043.307,3031.125,3084.283,2989.042,2986.827,3045.522,3128.582,2859.468,2824.03,2642.406,2668.985
s000063,246.391,247.401,249.926,247.275,253.712,258.761,260.781,267.597,265.073,264.442,262.296,268.859,270.374,272.772,276.685,288.677,282.87,299.532,301.047,301.426,302.94,301.047,298.522,285.395,284.259,295.114,291.075,290.444,282.87,286.279,294.104,291.328,300.921,287.793,276.054,297.891,299.406,299.406,301.678,292.337,288.677,287.541,293.473,287.793,288.929,286.405,279.336,275.423,279.589,281.356,285.269,279.967,274.792,273.025,275.676,284.385,287.415,296.629,289.939,287.919,285.9,289.434,290.065,296.629,299.027,302.814,301.299,298.901,306.601,306.475,315.563,311.65,320.233,317.961,314.427,314.679,311.145,308.62,315.563,309.251,313.291,316.951,342.07,329.574,335.506,353.43,355.702,381.2,374.889,377.161,365.422,364.791,371.607,384.482,381.957,374.636,353.556,358.984,358.227,349.517,360.373,374.889,382.714,396.852,407.707,397.483,402.406,412.882,430.301,428.029,413.387,438.001,444.312,461.731,458.954,452.138,473.975,454.158,492.278,504.017,504.9,487.355,479.782,429.165,443.05,422.728,420.33,424.116,433.962,429.923,433.836,424.874,447.468,467.285,465.013,480.665,479.908,460.722,445.575,446.711,446.206,477.888,478.393,472.587,464.508,457.566,453.401,460.469,449.74,459.081,463.246,454.41,448.983,457.945,449.361,456.809,450.75,455.294,491.016,467.285,461.605,460.722,459.207,456.43,466.275,450.624,439.263,394.075,392.055,378.675,366.053,356.207,359.742,368.577,363.023,363.402,365.927,375.646,375.898,387.637,395.211,401.396,416.543,403.542,403.037,404.173,401.396,407.707,417.805,412.377,412.756,427.651,429.039,416.543,412.756,414.397,402.406,397.609,405.814,399.124,371.102,358.479,379.306,377.034,377.918,377.413,383.472,381.2,381.2,373.626,378.423,389.404,397.609,398.745,393.822,388.7647254580618,385.9546753295171,384.88102410115806,387.5758580959852,382.83262398931254,384.38141431778115,389.95971049095533,389.83735707461807,384.4996892869071,384.3865123767951,382.9835265361284,385.8537337610389,385.6722428601387,390.981361517371,395.2147897226386,395.8989492423242,397.86781963355054,396.3098527988567,399.7021012668059,398.64986188630587,397.1887581728789,393.58646967355077,400.25269164032335,399.56751250883497,397.47221025406014,392.8859963650202,389.8730434877163,389.11037385921435,389.91892601884274,382.88258496765013,382.28305322759786,386.3992260755423,385.94243998788335,388.60362679321776,391.49830470139574,392.23854287023596,389.4356300243109,384.4150615072739,385.7385176273214,355.702,320.107,288.046,259.266,233.39,210.039,189.085,170.151,162.83,165.481,161.568,164.976
s000069,251.788,251.788,249.213,246.924,256.366,263.233,264.091,268.097,271.531,267.239,267.525,260.372,270.387,275.304,272.412,271.255,274.436,279.641,288.606,290.92,291.787,285.714,290.92,284.847,278.485,280.509,279.641,278.195,272.412,281.955,283.69,278.485,279.641,264.315,263.736,270.966,271.544,273.568,267.206,266.05,260.844,262.579,264.025,266.05,266.628,272.123,261.134,252.169,251.59,253.326,256.217,248.409,244.939,245.518,248.409,247.542,247.542,254.771,256.796,254.482,254.482,252.169,255.35,260.844,259.688,258.531,251.88,251.59,249.855,252.747,251.59,262.29,266.05,266.05,266.05,264.893,271.833,272.701,269.52,269.52,264.315,262.579,260.555,242.626,243.493,240.312,236.842,241.18,238.866,240.891,240.312,240.891,243.782,241.469,241.469,242.915,244.65,243.204,243.204,248.699,252.747,250.434,250.145,247.253,253.326,256.507,257.953,251.59,243.493,242.047,240.312,244.939,243.204,243.782,242.626,240.601,247.542,248.988,244.939,263.447,262.869,257.085,262.869,255.639,249.277,263.736,254.771,252.458,251.012,250.723,249.277,247.253,247.831,250.723,248.409,246.096,242.626,233.372,234.818,235.107,224.985,228.167,227.877,229.902,240.023,235.974,242.337,245.807,257.663,259.398,261.712,274.725,275.593,277.328,272.412,270.387,275.593,278.774,293.522,293.522,292.365,295.836,294.968,299.884,303.065,306.535,313.765,302.487,295.546,296.125,289.184,289.474,287.449,292.076,259.109,245.807,240.891,245.807,246.385,253.904,252.458,253.615,250.434,242.626,245.228,243.493,243.204,245.518,248.409,244.65,250.723,258.242,251.59,251.59,251.301,250.145,248.988,240.601,243.204,242.337,231.926,230.48,234.239,231.926,233.95,240.312,238.288,232.504,231.637,229.034,230.48,237.131,239.734,238.577,237.71,230.191,229.034,229.612,229.034,225.275,226.721,229.612,231.058,227.01,223.54,224.696,224.696,226.721,229.612,233.083,233.661,239.734,236.553,233.083,233.95,232.793,232.215,235.396,235.396,234.529,230.769,231.058,227.877,228.745,222.672,224.118,226.142,227.01,228.745,229.323,229.034,228.167,224.985,227.299,227.877,229.323,231.926,229.323,223.829,227.01,226.142,231.058,222.094,216.888,206.189,201.272
s000100,6.8842021410505945,6.896784522546883,6.874227097635171,6.843037803470904,6.901307859065957,6.975103427778878,7.0343611114348645,7.052098911409224,7.050005139920046,7.054133425214746,6.974135552279164,6.958768059651045,6.953020064336415,7.033472246180025,7.045995369992658,7.07844882807492,7.078211797340296,7.164293459131225,7.240459335190387,7.237654471497337,7.208203402720312,7.219027806268139,7.243718507791467,7.203423282905396,7.134427586568609,7.218692012727423,7.205023240364109,7.20561581720067,7.203522045711492,7.254384890849548,7.222227721185566,7.274117699506991,7.309672309700583,7.206702208067697,7.231155878856402,7.358105589808743,7.383862929637878,7.356604395156125,7.392672571941401,8.689,8.362,8.362,8.339,8.526,8.993,8.759,8.853,8.666,8.689,8.689,8.572,8.385,8.269,8.385,8.385,8.362,8.362,8.362,8.456,8.385,8.362,8.292,8.385,8.432,8.385,8.385,8.362,8.385,8.339,8.362,8.372738488334308,8.325741298498732,8.321980653798661,8.330458407746798,8.337653629687399,8.355087369857673,8.317198331058686,8.33202353155261,8.368803940989148,8.325915201143824,8.432,8.456,8.339,8.199,8.269,8.269,8.362,8.385,8.642,8.736,8.596,8.572,8.829,8.969,9.366,9.81,9.647,9.577,10.114,9.997,10.277,10.324,10.371,10.137,10.161,9.81,9.834,9.974,11.002,11.282,11.048,11.656,11.679,11.492,11.235,11.235,11.305,10.768,10.908,11.165,10.768,9.997,9.717,9.693,9.88,9.764,9.764,9.693,9.717,9.483,9.623,9.46,9.577,9.74,9.53,9.577,9.507,9.226,9.226,9.437,9.343,9.507,9.437,9.039,9.039,8.946,8.969,9.063,9.11,9.296,9.273,9.156,9.039,9.343,9.32,9.25,9.343,9.6,9.483,9.156,9.086,9.063,8.993,8.946,8.899,8.853,8.526,8.409,8.432,8.339,7.895,7.988,8.012,7.942,7.825,7.988,7.848,8.012,7.895,8.012,8.105,8.082,8.549,8.572,8.642,8.572,8.526,8.432,8.783,8.783,8.899,8.969,9.11,8.876,8.806,8.876,8.876,8.759,8.759,8.666,8.175,7.965,8.129,8.012,8.012,8.105,8.129,8.082,8.082,7.988,7.988,8.105,8.105,8.152,8.012,7.942,7.872,7.591,7.708,7.521,7.521,7.615,7.731,7.685,7.615,7.638,7.802,7.778,7.825,7.848,7.825,7.802,7.708,7.731,7.708,7.661,7.521,7.685,7.685,7.731,7.591,7.568,7.545,7.474,7.428,7.407,7.455,7.527,7.552,7.672,7.672,7.672,7.503,7.552,7.576,7.527,7.431,7.262,6.948,6.972,6.586,6.755,6.635,6.828,6.779,6.779
s000157,209.16,207.731,209.16,209.16,209.16,211.542,210.589,211.066,209.16,210.113,209.16,209.636,209.636,210.589,210.589,210.113,210.113,210.589,214.401,214.877,215.354,214.877,213.924,215.354,213.924,214.877,213.924,214.401,216.783,215.354,214.401,217.736,223.453,216.783,222.5,226.788,225.359,228.694,229.647,225.359,225.359,224.406,223.93,228.694,228.694,228.218,232.982,232.982,235.841,233.459,233.459,229.171,222.024,225.359,224.406,224.883,224.883,224.883,227.741,227.265,226.312,226.78,228.256,230.224,228.256,226.288,224.812,225.796,225.796,224.812,226.288,225.304,224.812,225.796,225.796,225.796,226.288,226.78,227.272,225.304,224.32,222.845,220.877,217.925,218.909,220.385,220.385,223.337,227.272,229.732,230.224,230.224,232.191,229.732,230.224,227.272,222.845,225.304,228.748,227.764,229.732,230.716,229.24,226.288,228.256,226.78,221.861,220.385,222.845,223.829,223.829,223.829,225.796,224.812,221.861,220.877,220.385,218.417,217.433,220.385,219.401,216.45,216.45,215.958,217.433,218.909,216.45,216.45,215.466,208.087,209.071,208.579,208.579,210.546,208.579,209.071,210.054,209.071,210.054,211.038,209.563,210.546,209.563,210.546,218.909,217.433,218.909,218.909,223.337,222.353,221.369,224.32,229.24,228.256,226.78,224.812,223.829,221.861,225.304,223.829,229.732,226.78,228.748,228.748,227.272,228.748,227.764,221.861,221.369,220.877,213.99,212.022,213.99,212.514,210.054,208.579,205.135,208.579,208.087,209.563,210.546,211.038,213.006,210.546,209.071,209.563,209.071,209.563,211.53,211.53,213.006,213.498,213.99,212.022,210.546,210.054,210.054,209.071,209.071,208.579,204.151,203.659,207.103,205.135,205.627,208.579,209.071,205.627,207.595,206.119,204.643,206.611,206.119,206.119,206.119,205.627,205.627,204.643,205.135,203.167,203.167,205.135,205.135,204.643,206.119,206.119,207.595,208.087,209.071,209.071,209.071,210.546,208.579,209.071,212.022,210.546,210.054,212.022,212.022,211.53,209.563,209.071,208.579,207.103,204.151,201.692,204.643,206.611,207.103,206.119,207.103,206.611,203.167,202.676,206.611,204.643,205.135,202.184,196.772,198.74,197.264,202.184,199.724,200.216,199.724,199.232
s000166,7.787,7.76,7.746,7.773,7.801,7.842,7.856,7.828,7.719,7.773,7.787,7.829,7.731,7.843,7.857,7.801,7.773,7.773,7.857,7.829,7.801,7.801,7.829,7.871,7.857,7.871,7.871,7.997,8.038,8.038,7.997,8.122,8.052,7.857,7.843,8.22,8.192,8.136,8.178,8.108,8.122,8.22,8.206,8.262,8.318,8.318,8.318,8.318,8.262,8.248,8.164,8.108,7.983,8.206,8.136,8.108,8.15,8.108,8.136,8.094,8.136,8.024,8.276,8.542,8.444,8.472,8.5,8.528,8.514,8.486,8.444,8.36,8.346,8.346,8.388,8.36,8.332,8.332,8.388,8.304,8.36,8.29,8.234,8.164,8.178,8.164,8.136,8.276,8.178,8.22,8.234,8.206,8.248,8.178,8.136,8.164,8.01,8.024,8.01,8.136,8.094,8.122,8.052,7.885,7.899,7.843,7.871,7.787,7.801,7.885,7.941,7.955,7.983,7.941,7.843,7.829,7.787,7.801,7.787,7.941,7.955,7.745,7.871,7.913,7.913,7.885,7.885,7.801,7.703,7.717,7.731,7.703,7.703,7.703,7.577,7.577,7.535,7.493,7.479,7.493,7.409,7.395,7.367,7.242,7.284,7.298,7.409,7.507,7.479,7.493,7.451,7.479,7.535,7.493,7.451,7.465,7.451,7.367,7.437,7.661,7.633,7.773,7.773,7.787,7.885,7.731,7.801,7.815,7.647,7.507,7.409,7.423,7.423,7.493,7.284,7.2,7.004,6.976,6.92,7.004,6.976,7.004,7.088,7.018,6.99,6.99,6.962,6.99,7.06,6.976,7.032,7.13,7.102,7.046,7.018,6.99,6.976,7.032,7.018,7.004,6.892,6.794,6.892,6.836,6.864,6.92,6.948,6.92,6.92,6.836,6.822,6.906,6.878,6.836,6.78,6.696,6.738,6.71,6.696,6.585,6.501,6.585,6.557,6.459,6.557,6.654,6.836,6.85,6.878,6.92,6.836,6.878,6.864,6.892,6.836,6.78,6.724,6.808,6.836,6.808,6.766,6.668,6.599,6.585,6.487,6.389,6.431,6.515,6.473,6.473,6.515,6.529,6.487,6.571,6.626,6.515,6.571,6.473,6.053,6.151,6.025,6.109,5.983,6.095,6.025,6.053
s000333,155.406,156.868,155.965,156.868,163.314,166.366,173.586,172.554,173.887,172.082,168.686,171.566,170.191,174.059,176.981,184.115,183.729,189.831,190.82,187.511,183.857,184.803,184.158,179.646,177.927,184.502,181.064,177.497,177.927,183.986,178.356,179.646,180.935,178.227,177.067,177.497,181.966,180.118,186.694,187.382,181.966,177.196,178.7,177.11,176.981,174.531,172.726,169.116,172.769,172.468,174.875,173.199,170.449,172.425,170.577,167.87,167.526,168.128,171.394,174.488,176.122,179.775,180.505,182.138,179.345,180.376,176.895,175.477,177.712,178.356,176.079,176.122,177.325,173.07,173.156,176.723,175.391,181.451,179.904,181.752,186.436,185.663,189.53,185.706,183.041,188.112,187.382,192.539,199.716,198.771,203.283,204.573,204.787,200.705,206.292,209.085,207.581,204.1,204.83,208.827,217.122,215.704,220.044,221.764,219.443,217.036,220.388,218.325,226.491,226.749,221.635,226.19,231.004,230.488,223.053,224.342,227.351,229.929,236.161,247.507,241.103,229.07,229.499,224.342,226.018,218.325,222.064,217.939,220.474,223.483,218.712,212.309,217.466,231.562,228.941,236.634,234.012,228.64,236.29,238.052,237.021,239.169,243.252,248.453,242.092,234.27,240.201,241.318,243.08,240.76,247.55,247.98,248.41,256.103,257.908,256.231,263.538,262.162,262.162,253.567,253.352,251.762,263.795,268.136,261.303,263.452,266.331,255.372,250.687,257.865,253.352,253.18,239.384,242.393,226.061,223.268,223.397,236.548,238.998,250.558,251.203,247.464,248.367,233.582,236.333,235.774,241.146,242.951,241.791,244.413,255.587,262.076,260.873,260.873,257.435,262.592,256.532,254.04,256.274,253.051,235.087,238.525,241.404,229.886,229.585,236.376,229.07,226.448,227.007,227.394,221.119,226.835,227.394,225.202,220.517,213.77,217.466,212.008,222.58,223.053,225.073,229.714,222.107,225.288,220.173,219.83,229.261,225.963,230.536,235.285,238.758,240.957,237.395,244.167,241.352,238.319,234.273,239.11,236.999,230.844,227.722,223.369,223.808,226.447,220.95,224.468,230.844,232.602,240.957,243.023,242.144,238.011,240.341,247.684,252.345,251.51,245.881,242.276,240.165,244.035,236.032,236.12,228.865,230.492,220.071,222.489
s000338,95.425,95.339,98.425,97.911,96.368,97.568,97.74,99.197,100.826,101.083,99.711,99.626,98.768,101.683,102.541,103.398,103.913,106.056,111.114,111.886,113.515,113.172,113.086,111.886,112.829,114.458,117.888,117.888,118.145,112.658,115.744,118.402,117.888,118.488,117.202,123.117,122.36,120.091,120.789,118.345,115.553,115.378,118.695,123.058,122.36,123.233,123.931,122.186,122.36,121.662,123.233,119.218,116.251,118.171,118.345,116.774,116.949,118.695,120.789,120.44,119.044,118.171,121.662,120.265,120.964,123.407,125.677,126.549,130.913,129.517,130.564,127.597,128.818,130.739,131.437,132.484,135.626,132.833,133.008,130.913,131.437,129.342,127.771,127.771,128.469,128.644,128.818,132.135,131.611,131.786,131.611,132.484,138.768,137.371,136.673,137.022,132.489,132.311,133.736,138.009,138.366,141.393,141.393,146.735,148.694,152.968,152.968,147.447,156.886,155.639,152.434,154.927,159.913,160.269,158.666,153.502,156.707,153.68,151.721,159.379,157.954,149.584,150.297,143.708,146.023,146.735,145.667,144.242,138.009,137.475,136.407,134.804,136.585,139.078,135.516,136.941,135.338,132.845,137.653,141.749,140.324,144.598,145.132,144.776,146.557,147.804,148.16,148.694,154.392,152.79,154.749,151.721,159.913,158.31,157.776,154.927,155.639,152.968,160.269,161.337,162.05,159.557,162.584,164.187,161.159,159.913,160.625,160.803,158.31,156.351,153.502,157.42,157.42,157.776,148.338,142.639,139.434,143.352,144.42,148.694,152.968,152.968,155.283,149.941,149.228,149.941,148.516,147.447,149.228,147.091,148.338,148.516,152.077,150.297,148.872,150.831,149.228,146.913,146.735,144.776,138.009,138.722,141.215,142.461,146.379,147.447,147.626,147.804,152.79,152.612,151.543,153.502,151.899,151.365,155.283,150.831,149.584,149.228,148.338,145.311,145.667,148.516,148.16,147.269,146.023,143.352,144.776,145.132,146.913,147.626,148.338,148.338,147.804,149.941,149.406,150.475,151.899,154.036,151.721,152.968,152.434,150.475,152.79,155.461,152.077,151.543,154.392,155.105,159.735,159.379,159.379,160.625,157.42,159.913,172.022,173.981,169.351,167.392,159.201,159.201,157.42,164.543,154.214,154.927,153.324,152.256
s000402,308.927,308.662,312.371,311.576,313.961,315.815,317.14,320.319,321.114,310.251,304.952,312.365,307.155,312.64,312.914,316.479,316.753,328.546,327.997,325.255,321.964,320.318,322.238,325.529,315.108,316.753,312.64,317.302,319.77,317.85,318.673,324.158,330.191,324.981,332.659,337.322,338.144,332.934,339.79,326.352,323.061,323.884,323.609,322.512,326.9,320.593,315.382,314.559,315.93,313.188,314.011,307.703,302.767,306.88,308.526,306.88,312.091,319.496,329.094,326.352,327.175,326.078,330.74,325.255,326.626,330.191,325.255,323.884,321.415,324.158,321.69,327.997,334.853,329.094,325.529,324.706,331.014,339.79,341.71,352.405,358.164,349.114,348.291,327.449,331.837,351.034,335.95,342.258,335.402,331.562,332.385,327.175,330.465,322.512,319.221,319.77,318.947,321.69,324.706,330.465,328.546,327.723,323.609,313.462,318.399,315.108,312.914,307.155,306.88,307.429,310.446,307.155,303.864,304.961,305.235,307.977,311.268,304.412,297.556,306.058,307.429,301.67,306.058,307.155,304.961,314.011,306.058,305.783,303.315,305.783,306.606,306.332,306.332,306.88,304.686,303.041,296.185,294.265,291.523,292.345,287.135,293.168,295.362,294.265,297.556,299.75,301.944,306.058,310.446,310.171,307.429,322.787,323.335,323.335,320.044,317.576,321.415,323.884,342.532,333.756,333.482,325.529,328.546,334.305,333.482,328.546,335.402,329.643,318.673,322.787,314.285,306.606,310.446,307.429,292.894,287.957,279.182,279.456,278.085,279.73,283.021,288.78,287.957,281.65,280.553,283.844,283.295,284.118,286.86,284.667,286.312,286.86,283.57,283.021,280.827,279.73,279.73,273.971,274.794,275.342,269.309,265.469,272.326,268.212,266.018,272.326,269.309,264.647,262.178,258.339,258.339,263.001,264.098,263.824,262.727,255.871,253.403,253.128,252.854,248.74,249.563,252.306,251.757,249.563,247.095,245.449,243.53,240.239,243.804,246.272,244.627,245.175,243.804,247.369,247.369,247.643,250.66,256.419,258.065,253.951,252.031,255.048,255.048,256.419,253.677,250.934,253.951,254.774,259.436,258.065,258.887,260.807,257.516,253.951,254.774,252.58,251.243,248.407,237.348,238.198,236.213,241.318,234.796,231.393,230.258,225.438
