stock_no,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
s600146,8.88,8.89,8.96,8.71,9.58,10.54,10.34,10.78,10.57,9.55,9.43,10.0,10.15,10.37,10.26,10.15,10.42,9.94,9.94,9.22,9.22,8.97,8.07,7.5,7.8,7.72,7.97,7.17,7.31,7.7,7.87,8.0,7.9,7.72,7.58,7.31,8.04,7.95,8.1,8.26,8.65,8.31,8.77,9.26,9.29,9.56,9.42,9.3,9.8,9.44,9.01,9.56,9.32,8.5,8.55,8.29,8.4,7.92,8.07
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,16.597,15.746,16.04,15.811,16.106,16.368,16.204,15.647,15.32,15.32,13.814,13.323,13.421,13.225,13.487,13.356,13.683,14.24,14.043,14.174,14.043,14.24,13.781,13.88,13.912,13.847,14.403,14.502,14.403,14.305,14.24,14.24,14.927,15.615,15.582,15.68,15.68,16.171,15.647,15.975,15.909,15.484,15.287,15.811,15.68,15.385,15.353
s600262,22.384,22.726,22.278,22.219,22.243,21.83,22.031,21.983,22.219,22.148,21.771,21.818,22.125,22.007,22.16,22.408,22.525,22.031,22.384,22.031,21.795,21.654,19.498,18.732,18.261,17.495,17.436,16.399,17.271,18.202,18.532,18.567,18.508,18.32,17.754,18.013,18.343,18.484,19.203,19.274,19.403,19.945,19.297,19.297,19.769,19.863,19.686,20.016,20.016,20.464,22.514,22.891,22.855,22.054,22.302,22.997,22.702,22.137,21.63
s600354,11.571,11.91,11.955,11.775,11.662,11.436,11.458,11.436,11.481,11.345,10.916,10.984,11.051,10.984,11.142,11.187,11.119,10.825,10.871,10.373,10.215,10.215,9.198,8.611,8.272,8.0,8.249,7.933,7.978,8.339,8.272,8.452,8.362,8.475,8.317,8.407,8.543,8.882,8.927,8.927,8.95,8.927,8.972,9.017,9.221,9.447,9.402,9.56,9.605,9.921,9.515,9.605,9.582,8.972,9.085,9.176,9.334,9.424,9.176
s600425,13.541,13.628,13.322,13.235,13.541,13.148,12.929,13.017,13.104,13.104,12.798,13.541,13.453,13.497,13.585,13.366,13.41,13.06,13.191,12.842,12.886,12.929,12.143,12.187,11.837,11.444,11.619,11.401,11.488,12.143,11.925,11.968,11.837,12.099,11.925,12.143,13.366,14.72,14.545,14.458,14.109,13.89,13.759,13.716,13.978,14.24,14.327,14.283,14.152,15.026,14.24,14.24,14.196,13.585,13.803,13.803,13.89,13.585,13.585
s600449,25.318,25.723,25.0,24.624,25.116,24.363,23.727,23.553,23.843,23.843,23.148,25.145,25.231,25.608,25.405,25.145,25.174,24.682,25.145,23.987,23.958,24.219,22.164,22.656,22.106,21.383,21.296,20.689,21.065,22.077,21.586,21.557,21.152,21.528,21.499,21.846,22.54,22.483,22.859,22.83,22.917,22.656,22.743,22.454,23.177,23.611,23.437,23.64,23.785,24.334,23.322,23.495,23.437,22.367,22.598,22.772,22.917,22.598,22.396
s600509,19.36,19.547,19.313,19.22,19.407,18.846,18.939,19.033,19.828,19.454,19.501,19.828,20.015,20.249,20.249,19.828,19.828,19.594,19.781,19.267,19.407,19.734,18.004,17.77,17.443,16.835,16.929,16.134,16.321,17.069,16.929,16.975,16.835,17.116,16.975,17.349,17.49,17.443,17.817,17.957,18.004,17.957,17.77,17.63,18.285,18.846,18.846,19.08,19.22,19.267,18.612,18.799,18.846,17.536,17.864,18.144,18.378,18.144,18.331
s600545,23.992,24.147,23.961,23.93,23.9,23.838,23.838,23.807,23.807,23.807,23.776,23.807,23.838,23.838,23.869,23.9,23.869,23.776,23.776,23.776,23.745,23.745,23.745,23.745,23.714,24.239,24.147,23.745,23.838,24.27,23.807,23.714,23.776,23.714,23.622,23.467,23.745,23.807,24.023,23.683,23.498,23.282,23.714,23.344,23.714,23.591,23.22,23.251,23.097,23.035,22.85,22.881,23.714,23.158,23.128,23.128,23.406,23.406,23.158
s600706,19.15,19.8,19.12,19.225,19.739,19.316,18.485,18.5,18.591,18.213,18.591,18.757,18.878,19.135,19.452,19.301,18.999,18.591,18.757,17.563,17.714,17.548,15.809,15.537,15.069,14.827,14.993,14.298,14.585,15.28,15.054,15.356,15.099,15.522,15.039,15.326,15.492,15.583,16.172,16.051,16.384,16.006,15.991,16.082,16.49,16.822,16.837,17.019,17.442,17.895,16.988,17.245,17.608,16.565,16.792,16.852,17.079,16.414,16.626
s600720,64.476,65.055,63.567,62.741,63.898,61.583,59.434,58.855,58.69,58.607,56.458,61.914,62.493,62.327,62.906,62.245,63.071,61.831,63.484,61.005,59.682,59.93,56.045,56.458,54.474,52.656,53.317,50.837,51.829,54.392,52.904,53.317,51.912,52.904,51.994,52.821,55.053,55.136,55.962,56.128,55.797,55.136,55.218,53.896,55.632,56.458,56.21,56.872,57.202,59.434,56.954,56.954,56.872,54.557,55.466,56.624,57.45,56.458,55.88
s600738,37.167,37.018,37.117,37.117,37.117,37.068,37.018,37.018,36.969,36.92,36.87,36.821,36.87,36.573,36.821,36.722,36.524,36.573,36.623,35.88,35.88,35.78,34.476,33.873,32.368,31.615,29.558,26.647,25.493,26.195,25.342,25.694,25.443,25.995,26.597,26.547,28.052,27.851,28.504,28.203,28.554,29.959,29.156,29.407,29.859,30.461,30.461,30.561,30.561,31.063,29.859,30.361,30.612,29.708,30.612,30.411,30.26,27.991,29.047
s600778,14.231,14.319,14.172,14.143,14.113,13.878,13.849,13.849,13.907,13.76,13.349,13.702,13.79,13.819,13.878,13.819,13.907,13.937,13.966,13.731,13.731,13.731,13.055,12.408,12.084,12.261,12.32,11.967,11.967,12.525,12.378,12.467,12.525,12.614,12.614,12.731,12.878,12.79,13.084,13.319,13.143,13.114,13.408,13.437,13.819,14.231,13.966,14.113,14.172,13.937,13.555,13.79,14.084,13.466,13.466,13.496,13.76,13.525,13.525
s600785,83.32,83.689,84.149,84.701,84.701,82.492,80.328,80.19,85.484,83.182,81.249,83.597,83.412,82.906,85.208,85.024,84.747,82.814,82.906,79.822,79.5,79.546,72.272,72.641,71.95,71.398,72.088,71.49,73.469,76.646,75.126,74.666,74.206,74.574,74.528,75.034,75.403,76.415,78.625,81.709,80.973,81.525,80.19,79.638,80.696,81.525,81.203,81.801,81.709,82.031,84.978,87.74,86.635,83.551,80.374,81.249,84.793,87.049,87.233
s600967,52.853,55.128,55.282,55.282,54.781,53.702,55.899,55.937,56.516,53.971,53.008,54.126,56.4,55.051,53.239,54.357,54.974,54.588,53.355,52.429,51.735,51.735,49.114,51.041,50.964,49.345,47.495,44.025,43.755,46.608,45.683,46.762,46.03,45.529,44.758,44.603,46.3,47.88,48.497,48.651,48.035,47.148,46.994,47.264,48.227,48.112,47.109,48.15,48.112,47.996,48.112,47.379,46.839,44.989,45.066,44.719,45.066,45.105,45.336
