stock_no,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
s600146,8.98,9.23,9.18,9.01,9.58,10.54,10.38,11.28,11.14,10.37,9.85,10.29,10.33,10.37,10.62,10.34,10.57,10.48,10.1,9.83,9.51,9.37,8.54,7.99,8.25,8.08,8.02,7.92,7.34,7.85,8.25,8.13,8.0,8.02,7.87,7.47,8.04,8.5,8.39,8.37,8.66,8.56,9.08,9.65,9.37,9.77,9.67,9.39,9.93,9.77,9.6,9.68,9.79,9.42,8.76,8.7,8.59,8.57,8.09
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,16.957,16.171,16.04,15.909,16.138,16.4,16.4,15.942,15.811,15.582,14.993,13.749,13.749,13.814,13.585,13.618,13.945,14.469,14.371,14.665,14.043,14.338,14.207,13.978,14.076,14.142,14.469,14.6,14.6,14.633,14.436,14.305,15.025,15.615,15.942,15.713,15.909,16.171,16.138,16.04,16.171,16.106,15.615,16.073,15.975,15.942,15.615
s600262,22.584,22.879,22.714,22.384,22.525,22.514,22.042,22.207,22.231,22.549,22.089,21.854,22.266,22.325,22.29,22.502,22.608,22.655,22.384,22.302,22.054,21.795,21.441,19.498,19.203,18.202,17.672,17.412,17.33,18.626,18.708,18.826,18.508,18.991,18.355,18.037,18.626,18.732,19.439,19.415,19.863,20.004,20.334,19.344,19.769,19.969,19.875,20.11,20.204,20.864,22.514,23.892,23.444,23.091,22.678,23.103,23.055,22.891,22.266
s600354,11.707,12.091,12.317,12.159,11.91,11.707,11.526,11.503,11.503,11.503,11.39,11.029,11.142,11.119,11.164,11.323,11.232,11.345,10.938,10.848,10.464,10.373,9.831,8.995,8.701,8.475,8.362,8.226,8.023,8.52,8.475,8.475,8.385,8.565,8.498,8.475,8.633,9.243,8.95,8.995,8.95,9.221,9.153,9.085,9.221,9.628,9.718,9.673,9.673,10.125,9.899,9.628,9.786,9.628,9.198,9.221,9.356,9.831,9.379
s600425,13.672,13.672,13.585,13.453,13.628,13.453,13.235,13.148,13.235,13.191,13.104,13.541,13.585,13.585,13.585,13.541,13.497,13.453,13.41,13.104,13.017,13.017,12.886,12.23,12.274,12.012,11.75,11.619,11.532,12.274,12.274,12.099,11.925,12.187,12.143,12.143,13.366,14.72,14.808,14.589,14.371,14.196,14.021,13.934,13.978,14.24,15.157,14.414,14.371,15.157,14.982,14.502,14.371,14.371,13.978,13.934,13.89,14.109,13.585
s600449,25.376,25.81,25.694,25.318,25.174,25.318,24.595,23.958,24.161,24.016,23.871,25.231,25.376,25.608,25.608,25.289,25.434,25.26,25.202,24.884,24.363,24.421,23.611,22.772,22.685,22.367,21.904,21.238,21.094,22.28,22.222,21.846,21.209,21.788,21.846,21.904,22.801,22.974,22.917,22.974,22.946,23.003,22.974,22.83,23.235,23.698,23.814,23.64,23.929,24.421,24.19,23.611,23.698,23.553,23.061,22.946,22.974,23.264,22.598
s600509,19.407,19.547,19.594,19.547,19.454,19.407,19.08,19.313,20.108,19.828,20.015,19.968,20.202,21.278,20.295,20.295,20.202,19.968,19.875,19.688,19.454,19.968,19.313,18.051,17.911,17.677,17.256,16.882,16.414,17.256,17.162,17.162,16.882,17.256,17.303,17.536,17.77,17.723,17.864,18.051,18.098,18.144,18.051,17.864,18.378,18.893,19.033,19.126,19.313,19.313,19.36,18.799,18.939,18.939,18.004,18.191,18.425,18.939,18.378
s600545,24.023,24.177,24.116,23.992,23.9,23.838,23.869,23.9,23.992,23.9,23.776,23.869,23.869,23.838,23.961,24.023,23.992,23.9,23.776,23.776,23.776,23.745,23.745,23.745,23.745,24.98,25.814,24.363,24.177,24.672,24.548,23.869,24.054,23.869,23.961,23.591,23.776,23.961,24.239,24.054,23.683,23.653,24.147,23.714,23.961,23.807,23.745,23.313,23.375,23.22,23.128,22.911,23.992,23.93,23.467,23.282,23.807,24.085,23.498
s600706,19.286,19.875,19.936,19.437,19.8,20.072,19.165,18.666,18.863,18.621,18.711,18.847,19.12,19.573,20.026,19.407,19.331,19.18,18.878,18.5,17.744,17.85,16.837,15.794,15.689,15.356,15.099,14.888,14.661,15.553,15.447,15.522,15.175,15.583,15.553,15.401,15.689,15.946,16.218,16.565,16.444,16.263,16.263,16.233,16.595,16.928,17.336,17.124,17.563,18.318,17.88,17.26,17.744,17.714,16.928,17.049,17.109,17.155,16.762
s600720,64.559,65.634,65.386,64.146,64.476,64.394,61.831,60.013,60.178,59.351,58.442,61.914,62.658,63.319,63.071,62.658,63.732,63.319,63.732,62.823,61.418,61.005,58.938,56.706,56.624,55.136,53.813,52.986,51.994,54.805,54.722,53.73,52.16,53.234,53.565,52.821,55.301,57.368,56.21,56.458,56.128,55.962,55.797,54.97,55.714,56.624,57.368,56.872,57.863,59.765,59.186,57.698,57.368,57.202,56.21,56.872,57.698,58.277,56.624
