stock_no,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
s600146,8.12,8.78,8.81,8.6,8.84,9.8,9.76,10.03,10.11,9.55,9.24,9.56,9.73,9.86,10.11,9.9,10.06,9.9,9.81,9.11,9.14,8.85,8.07,7.27,7.55,7.61,7.65,7.17,6.74,7.44,7.74,7.7,7.61,7.64,7.56,6.9,7.39,7.9,8.0,8.09,8.22,8.27,8.29,8.77,8.84,9.01,9.27,9.06,9.09,9.29,8.95,8.82,9.23,8.5,8.43,8.16,8.24,7.81,7.61
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,16.269,15.647,15.615,15.68,15.713,15.909,16.007,15.615,15.189,15.255,13.781,12.996,13.323,13.225,13.029,12.963,13.16,13.814,14.011,13.945,13.487,14.076,13.683,13.421,13.847,13.814,13.945,14.207,14.174,14.272,14.24,14.043,14.24,14.6,15.418,15.451,15.615,15.549,15.615,15.353,15.877,15.189,15.091,15.353,15.353,15.287,15.091
s600262,21.948,22.148,22.137,22.101,22.089,21.512,21.524,21.83,21.807,21.889,21.43,21.335,21.595,21.983,21.818,21.901,22.29,21.972,22.042,21.795,21.43,21.536,19.486,17.884,16.859,17.189,16.729,16.234,15.622,17.46,17.99,18.225,17.672,18.025,17.53,17.401,17.848,18.166,18.649,18.85,19.132,19.392,19.203,18.885,18.367,19.215,19.309,19.533,19.686,19.851,20.157,21.618,21.925,21.642,21.712,22.16,22.431,21.913,21.088
s600354,11.413,11.526,11.662,11.662,11.594,11.345,11.39,11.345,11.39,11.323,10.893,10.78,10.961,10.961,10.984,11.074,11.097,10.78,10.825,10.351,10.125,10.17,9.198,8.272,8.204,7.933,7.865,7.887,7.571,8.046,8.226,8.204,8.159,8.385,8.272,8.204,8.362,8.543,8.701,8.814,8.791,8.904,8.882,8.95,8.837,9.063,9.379,9.379,9.492,9.537,9.469,9.243,9.515,8.927,8.927,9.063,8.882,9.289,8.972
s600425,13.366,13.453,13.279,13.104,13.191,13.148,12.667,12.842,12.929,13.017,12.755,12.667,13.322,13.366,13.366,13.366,13.366,13.06,12.886,12.798,12.755,12.842,11.925,11.488,11.794,11.357,11.444,11.357,10.92,11.532,11.837,11.794,11.532,11.881,11.881,11.794,12.493,13.716,14.109,14.065,14.021,13.803,13.716,13.541,13.541,13.672,14.065,13.978,14.021,14.021,14.196,13.89,14.109,13.541,13.497,13.585,13.497,13.585,13.235
s600449,24.74,25.087,24.971,24.624,24.74,24.334,23.437,23.524,23.553,23.756,23.148,22.974,24.768,24.971,24.971,24.971,25.174,24.682,24.711,23.756,23.698,23.958,21.991,21.296,22.049,21.325,20.92,20.689,20.168,21.267,21.47,21.383,20.66,21.238,21.412,21.007,21.846,22.396,22.425,22.454,22.569,22.627,22.627,22.396,22.28,22.859,23.38,23.351,23.553,23.582,23.293,22.946,23.322,22.135,22.28,22.512,22.367,22.512,21.933
s600509,19.033,19.267,19.22,19.173,19.22,18.799,18.799,18.893,19.126,19.407,19.173,19.313,19.688,19.781,19.641,19.641,19.734,19.547,19.547,19.173,19.22,19.313,17.77,16.975,17.443,16.695,16.648,16.04,15.759,16.367,16.741,16.788,16.321,16.835,16.882,16.882,17.256,17.349,17.536,17.63,17.817,17.864,17.723,17.536,17.77,18.098,18.565,18.799,18.986,18.986,18.518,18.331,18.706,17.536,17.536,17.911,17.677,18.144,17.911
s600545,23.591,23.745,23.838,23.745,23.529,23.56,23.622,23.591,23.653,23.591,23.591,23.529,23.653,23.683,23.714,23.714,23.467,23.529,23.622,23.467,23.591,23.622,21.892,22.973,23.529,23.56,24.147,23.22,23.189,23.683,23.683,23.467,22.973,23.622,23.467,23.282,23.251,23.683,23.838,23.622,23.406,23.282,23.189,23.251,23.097,23.467,23.097,23.097,23.035,22.819,22.757,22.664,22.788,23.158,22.973,23.004,22.85,23.282,23.004
s600706,18.711,19.044,18.968,18.968,19.089,19.195,18.152,18.349,18.213,18.213,18.001,18.303,18.666,18.742,19.24,19.059,18.953,18.53,18.56,17.381,17.442,17.457,15.794,14.691,15.054,14.6,14.676,14.283,13.83,14.797,14.933,14.903,14.631,15.265,14.978,14.978,15.371,15.492,15.643,15.87,15.87,15.915,15.961,15.915,16.082,16.248,16.671,16.686,17.034,17.215,16.867,16.792,17.26,16.55,16.626,16.747,16.595,16.369,16.354
s600720,63.071,64.228,63.484,62.741,62.823,61.583,58.277,58.69,58.194,58.194,56.376,56.624,60.674,61.666,61.418,61.997,62.41,61.831,61.997,59.93,58.938,59.517,54.97,52.904,54.309,52.16,52.077,50.589,49.349,51.912,52.325,52.325,49.597,51.581,51.498,50.755,52.738,54.888,54.888,55.301,55.136,55.053,54.97,53.482,53.896,54.805,56.045,55.88,56.624,56.789,56.21,55.797,56.458,54.474,54.392,55.466,55.053,56.21,55.053
s600738,36.771,36.969,36.87,36.623,36.722,36.87,36.177,36.623,36.573,36.672,36.524,36.474,36.573,36.524,36.623,36.474,36.375,35.484,35.88,35.88,35.039,35.379,33.372,33.522,32.368,31.113,29.508,26.597,23.987,24.238,25.192,24.841,24.389,25.543,26.045,26.145,26.647,27.5,28.002,27.952,27.801,28.454,29.106,28.956,29.407,29.407,30.16,30.21,30.361,30.612,29.809,29.206,30.461,29.407,29.758,30.16,29.708,27.832,27.727
s600778,14.054,14.113,14.113,14.054,14.084,13.878,13.672,13.76,13.79,13.76,13.349,13.319,13.466,13.613,13.702,13.76,13.76,13.79,13.819,13.525,13.555,13.555,13.055,12.408,12.084,12.055,12.173,11.937,11.438,12.084,12.32,12.261,12.084,12.467,12.496,12.437,12.584,12.79,12.878,12.908,13.025,13.055,13.202,13.231,13.408,13.584,13.907,13.849,14.054,13.849,13.525,13.378,13.76,13.408,13.437,13.466,13.466,13.496,13.319
s600785,81.157,82.998,83.32,84.287,84.287,79.177,79.085,79.684,80.42,82.998,81.249,81.111,82.4,82.4,82.906,84.241,84.057,81.939,82.124,79.546,78.303,78.763,71.582,69.05,71.904,69.556,70.109,70.247,70.937,72.641,74.62,73.791,70.707,73.285,72.871,73.193,74.022,75.08,76.369,76.922,79.684,80.604,79.776,79.315,79.223,79.822,80.973,80.789,81.203,81.203,81.203,82.906,85.392,83.551,79.914,79.131,79.131,84.103,83.044
s600967,50.502,52.853,54.819,54.588,54.048,53.008,53.894,54.781,54.395,52.584,52.506,52.892,53.933,54.164,51.89,52.468,53.74,53.277,52.622,52.237,50.078,50.772,48.15,48.42,50.54,48.728,44.642,42.753,40.71,43.832,44.873,44.912,44.989,45.22,43.987,42.869,43.023,46.377,47.302,47.726,47.495,47.071,46.261,45.953,46.955,46.454,46.801,46.955,47.302,47.418,47.418,46.57,46.685,44.873,44.295,44.372,43.37,45.066,43.987
s600984,7.484,7.512,7.347,7.388,7.057,6.974,6.988,7.002,6.974,7.057,7.002,7.043,7.195,7.264,7.25,7.415,7.36,7.388,7.347,7.415,7.319,7.222,6.85,6.754,7.029,7.002,7.057,6.947,7.016,7.167,7.209,7.057,6.933,6.961,6.947,6.905,6.947,7.112,7.195,7.236,7.25,7.333,7.264,7.222,7.264,7.264,7.374,7.457,7.512,7.471,7.374,7.333,7.388,7.278,7.167,7.319,7.167,7.236,7.236
s000159,8.058,8.167,8.188,8.145,8.145,8.253,8.21,8.448,8.492,8.86,8.903,8.86,9.055,8.968,8.882,9.077,8.925,8.773,8.773,8.73,8.773,8.99,8.297,7.495,7.863,7.733,7.798,7.43,7.127,7.604,7.82,7.798,7.604,7.993,7.928,7.777,8.123,8.21,8.297,8.405,8.6,8.882,9.098,8.903,9.38,10.81,11.893,10.939,10.701,11.329,10.68,10.355,10.29,9.77,9.683,9.726,9.596,9.38,9.25
s000498,7.822,7.924,7.965,7.822,7.863,8.33,7.843,8.148,8.066,8.127,7.843,7.822,8.981,9.163,10.057,9.976,9.976,10.078,10.2,10.057,10.118,9.651,9.062,9.001,9.143,8.716,8.798,9.468,8.716,9.773,9.915,9.61,9.651,9.468,9.367,9.387,10.037,10.159,10.159,10.078,10.057,10.687,10.444,10.444,10.139,10.423,10.769,10.565,10.687,10.565,10.586,10.342,10.444,9.956,9.814,9.936,9.773,9.834,9.61
s000564,7.206,7.377,7.597,7.524,7.499,7.621,7.768,7.792,7.621,7.573,7.377,7.402,7.524,7.548,7.695,7.621,7.646,7.548,7.573,7.328,7.231,7.133,6.425,5.985,6.083,6.058,6.18,5.741,5.594,5.912,6.156,6.107,5.936,6.254,6.229,6.254,6.351,6.449,6.522,6.62,6.644,6.718,6.742,6.669,6.889,6.986,7.499,7.402,7.426,7.475,7.328,7.133,7.402,6.962,6.84,6.84,6.767,6.742,6.547
s000610,14.323,14.528,14.619,14.528,14.619,14.961,15.211,15.097,15.074,15.143,15.37,15.963,16.19,16.099,16.76,15.143,15.37,14.87,15.052,14.095,14.118,13.617,12.456,11.75,12.228,11.841,11.75,11.272,10.976,12.023,12.251,12.228,12.069,12.547,12.274,12.251,12.684,12.706,12.957,13.071,13.276,13.321,13.367,13.367,13.708,13.913,14.528,16.486,19.378,21.314,22.202,21.109,19.925,18.035,17.579,17.443,16.646,17.033,16.099
s000635,33.527,33.5,32.876,32.55,32.577,30.38,30.679,30.679,30.977,30.679,29.675,29.838,30.733,30.95,31.167,31.33,31.547,31.574,31.709,31.628,32.008,32.984,33.039,33.228,34.829,32.117,28.893,25.998,24.536,25.938,26.118,25.849,26.267,26.446,24.327,24.834,25.401,25.431,25.7,26.267,26.267,26.446,26.267,26.088,26.147,26.655,26.923,27.103,27.341,27.162,26.953,26.595,27.073,25.431,25.67,25.729,25.431,25.103,24.774
s000672,26.197,26.612,26.286,25.872,26.049,25.428,24.155,24.185,24.481,24.599,24.125,24.037,25.161,25.487,25.428,25.546,25.576,25.398,25.309,24.688,24.717,24.836,24.895,24.214,26.405,25.517,25.872,25.309,24.273,26.049,26.405,26.138,25.221,26.049,26.02,25.161,26.523,27.056,27.026,27.53,27.618,27.293,27.5,27.145,27.026,27.086,27.441,27.322,27.382,27.322,27.382,26.938,27.086,26.345,26.286,26.227,26.76,26.523,26.286
