stock_no,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
s600146,8.48,8.78,8.93,8.9,8.9,9.8,10.28,10.34,10.67,10.3,9.25,10.09,10.04,10.2,10.36,10.07,10.16,10.3,9.9,9.58,9.36,9.28,8.54,7.85,7.58,7.84,7.92,7.89,6.82,7.47,7.8,7.86,7.67,7.98,7.61,6.9,7.46,8.35,8.09,8.1,8.32,8.52,8.33,8.94,8.84,9.07,9.48,9.27,9.38,9.6,9.33,8.88,9.79,9.34,8.47,8.65,8.44,8.36,7.94
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,16.269,15.975,15.746,15.778,15.811,15.975,16.237,15.746,15.615,15.353,14.665,13.421,13.323,13.487,13.454,13.454,13.258,14.076,14.338,13.978,13.552,14.076,14.109,13.683,13.912,14.011,14.011,14.403,14.567,14.403,14.338,14.174,14.24,14.829,15.484,15.582,15.778,15.549,16.073,15.647,16.171,15.909,15.615,15.353,15.811,15.713,15.549
s600262,22.372,22.372,22.643,22.266,22.254,22.125,21.795,22.054,22.148,22.243,22.089,21.559,21.771,22.325,22.266,21.901,22.408,22.655,22.148,22.302,21.795,21.677,21.441,19.415,19.144,17.624,17.495,17.412,16.258,17.73,17.99,18.708,18.001,18.967,17.943,17.401,17.848,18.343,18.755,18.991,19.274,19.557,19.898,18.967,18.967,19.674,19.568,19.533,19.686,19.851,20.169,22.031,22.396,22.572,22.195,22.384,22.973,22.714,21.913
s600354,11.436,11.549,11.888,11.82,11.684,11.639,11.436,11.503,11.413,11.436,11.323,10.825,10.984,11.029,10.984,11.097,11.164,11.142,10.848,10.848,10.373,10.215,9.808,8.882,8.611,8.317,8.091,8.226,7.752,8.136,8.339,8.249,8.249,8.385,8.452,8.317,8.385,8.611,8.859,8.859,8.927,8.995,8.995,8.972,9.04,9.176,9.424,9.424,9.628,9.56,9.718,9.289,9.628,9.582,8.95,9.221,9.13,9.334,9.334
s600425,13.497,13.585,13.541,13.235,13.191,13.41,13.148,12.929,13.06,13.104,13.104,12.798,13.585,13.453,13.497,13.497,13.41,13.453,13.148,12.973,12.842,13.017,12.58,11.968,12.274,11.837,11.575,11.619,11.269,11.619,12.143,11.794,11.663,11.881,12.143,11.881,12.842,13.934,14.545,14.414,14.371,14.196,14.021,13.672,13.628,13.759,14.196,14.152,14.196,14.065,14.764,14.021,14.152,14.196,13.541,13.934,13.716,13.934,13.279
s600449,25.145,25.318,25.694,24.855,24.74,25.289,24.421,23.698,23.871,23.843,23.871,23.032,25.145,25.174,25.289,25.058,25.231,25.26,24.884,24.884,24.103,24.074,23.582,21.962,22.685,22.193,21.672,21.123,20.341,21.267,22.02,21.412,20.804,21.238,21.557,21.557,21.846,22.801,22.685,22.83,22.656,22.859,22.714,22.801,22.54,22.888,23.495,23.466,23.582,23.929,24.045,23.09,23.466,23.437,22.367,22.801,22.801,23.032,22.512
s600509,19.126,19.407,19.501,19.313,19.22,19.36,18.893,18.939,19.173,19.641,19.454,19.501,19.734,20.062,20.062,20.155,19.734,19.781,19.734,19.688,19.267,19.313,19.126,17.864,17.817,17.443,17.069,16.882,15.759,16.367,17.069,16.788,16.695,16.882,17.116,16.929,17.443,17.49,17.536,17.677,17.864,18.004,18.051,17.677,17.77,18.098,18.752,18.939,18.986,19.22,19.126,18.378,18.893,18.846,17.536,17.957,18.144,18.472,18.191
s600545,23.838,23.93,23.992,23.807,23.776,23.807,23.776,23.9,23.745,23.9,23.776,23.683,23.745,23.838,23.838,23.838,23.992,23.9,23.683,23.745,23.776,23.745,23.591,23.622,23.529,23.683,24.486,24.116,23.189,23.683,24.332,23.56,23.344,23.745,23.714,23.529,23.436,23.745,23.93,23.93,23.683,23.498,23.406,23.622,23.158,23.467,23.745,23.189,23.313,23.189,22.973,22.881,22.881,23.591,22.973,23.128,23.035,23.344,23.344
s600706,19.286,19.195,19.618,19.165,19.225,19.649,19.165,18.666,18.696,18.5,18.137,18.439,18.727,18.863,19.24,19.301,19.286,19.014,18.56,18.47,17.502,17.684,16.611,15.477,15.643,15.099,14.963,14.888,14.177,14.797,15.28,14.963,14.933,15.371,15.386,15.039,15.371,15.553,15.794,16.157,16.082,16.248,16.142,15.915,16.082,16.338,16.671,16.837,17.124,17.548,17.699,16.822,17.366,17.638,16.656,16.867,16.837,17.155,16.414
s600720,64.063,64.476,65.138,63.484,63.237,63.898,61.418,59.434,59.434,59.021,58.359,56.789,61.997,61.914,62.327,62.162,62.741,62.823,62.079,62.493,60.674,60.095,57.863,55.218,56.376,54.557,53.73,52.904,49.845,51.994,54.061,52.821,51.168,52.325,52.573,52.077,52.821,56.458,55.632,55.549,55.797,55.797,55.549,54.722,54.061,55.053,56.706,56.045,57.037,57.202,58.855,56.21,56.954,57.037,54.64,55.549,56.376,58.029,56.376
