stock_no,2018-09-03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
s600146,24990600.0,28193400.0,23740900.0,22177000.0,46725700.0,56091200.0,37409700.0,47560900.0,36392500.0,32443100.0,19292300.0,27281600.0,27494200.0,26569300.0,31958400.0,18080700.0,25971100.0,20848100.0,13859500.0,12515000.0,10019700.0,12254800.0,16877100.0,16631300.0,22171700.0,16513000.0,15966600.0,16602600.0,12997500.0,16321700.0,24041000.0,18526200.0,12770200.0,13847200.0,10181100.0,16909500.0,11788600.0,29862800.0,18962800.0,18953900.0,26987300.0,19447000.0,32632100.0,38854800.0,25156000.0,28555600.0,19474200.0,19339300.0,31521200.0,20385900.0,16168600.0,25748200.0,21399800.0,19245700.0,9659700.0,13790700.0,13050700.0,16874700.0,15781500.0
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698300.0,63226800.0,27655100.0,15826500.0,11762000.0,14470600.0,17010400.0,12863000.0,6940300.0,7861600.0,6363900.0,11589900.0,9584000.0,6385000.0,6138700.0,8024100.0,6998600.0,5653800.0,7134100.0,5238800.0,3566900.0,3779900.0,3335500.0,3085600.0,3251100.0,2603600.0,4539300.0,6564700.0,4064900.0,3451800.0,4116800.0,3398200.0,3184100.0,6931800.0,9774100.0,6760900.0,5270600.0,5331300.0,5168600.0,5316600.0,4018900.0,3814000.0,4556100.0,2427000.0,4672100.0,3561100.0,2536300.0,1721700.0
s600262,260800.0,947100.0,541000.0,390800.0,409800.0,654100.0,418600.0,230000.0,314000.0,327700.0,200600.0,446000.0,456600.0,201900.0,363600.0,564200.0,809500.0,421700.0,472100.0,272100.0,386800.0,157500.0,880500.0,667600.0,1855400.0,967100.0,1286000.0,861700.0,1505800.0,1370000.0,1594500.0,670600.0,921300.0,1238500.0,703500.0,612700.0,585400.0,583700.0,919600.0,603400.0,558400.0,554900.0,680300.0,324500.0,562400.0,563800.0,454000.0,679800.0,638900.0,856500.0,2293400.0,2840200.0,1807600.0,1051200.0,694600.0,1467200.0,956900.0,744400.0,727800.0
s600354,5685100.0,15375200.0,17717000.0,15241600.0,9820000.0,7258500.0,4147800.0,3702200.0,4496600.0,5252700.0,6883500.0,5391500.0,4275600.0,4068300.0,4865700.0,6156700.0,4342300.0,7237200.0,4106800.0,5600700.0,4742100.0,3269400.0,10552700.0,11948000.0,4812400.0,5926000.0,6990300.0,4580300.0,5825100.0,7814300.0,6281600.0,6413200.0,5708000.0,6417400.0,4745500.0,4536000.0,7213900.0,17560600.0,12265200.0,7512000.0,6095900.0,11052500.0,8170900.0,5519500.0,7856900.0,13381400.0,12321100.0,7804200.0,8611000.0,16710500.0,11374500.0,7788500.0,4996700.0,8312500.0,4698700.0,4224200.0,6348500.0,18289600.0,13896200.0
s600425,13341900.0,10345500.0,10743500.0,8364000.0,14872800.0,11143800.0,12332900.0,8135200.0,7362700.0,5983100.0,6254600.0,23062800.0,16328000.0,11868800.0,12097500.0,7872400.0,10215400.0,13129600.0,14335800.0,9954800.0,7103200.0,7196800.0,20740200.0,16656900.0,10461600.0,9945400.0,9461300.0,7247600.0,11479200.0,18736900.0,12362600.0,6457800.0,9556300.0,10088400.0,10271700.0,10695700.0,35152800.0,123223700.0,101405200.0,63222200.0,41507700.0,36808200.0,25954900.0,22819100.0,28699400.0,43825600.0,59483600.0,31338700.0,33184900.0,65355700.0,41589700.0,21840600.0,14435000.0,23438500.0,15061100.0,13060100.0,14258700.0,15650200.0,12025700.0
s600449,3990600.0,3863800.0,3658800.0,3381500.0,3712500.0,3437800.0,5627600.0,2599800.0,2719700.0,2537300.0,3204600.0,12789700.0,11783600.0,12482800.0,10554600.0,5038900.0,6856000.0,5133900.0,4676800.0,5830900.0,3228600.0,2958300.0,8066300.0,6101900.0,3004800.0,3520000.0,3461100.0,3401800.0,3920600.0,6007800.0,3506700.0,2960600.0,3652500.0,3258700.0,4692300.0,5064900.0,8902200.0,8063200.0,6886000.0,6187700.0,3970800.0,3419500.0,4439400.0,3116000.0,4862300.0,6359600.0,6113600.0,5037000.0,6239300.0,9770900.0,6727500.0,3607000.0,3036900.0,5454300.0,3577400.0,3365300.0,3783400.0,3868300.0,3409000.0
s600509,2163800.0,2416600.0,2016400.0,2392200.0,2689900.0,3201300.0,2411600.0,2420700.0,8763300.0,5085900.0,4345400.0,5186700.0,6421300.0,8513900.0,6867600.0,5718100.0,5135500.0,4284900.0,2550600.0,3368200.0,2802700.0,4451500.0,9856800.0,4769500.0,1813900.0,3175800.0,2748600.0,3729200.0,4256000.0,5841500.0,3656100.0,3465200.0,3461700.0,4107200.0,2407900.0,3755100.0,3102200.0,3223100.0,4278400.0,5729400.0,3213800.0,3839900.0,3972700.0,2338900.0,5593500.0,7646800.0,6151000.0,6721900.0,5779500.0,4461100.0,4758700.0,3331200.0,2812500.0,5952800.0,4112700.0,2983700.0,3519700.0,4708500.0,3111900.0
s600545,2386400.0,2803600.0,1593000.0,1488600.0,2494900.0,1799100.0,1227900.0,1530400.0,1141400.0,2174400.0,1647700.0,2024800.0,1410000.0,875900.0,1643300.0,1478800.0,1791500.0,2370000.0,1755600.0,2805300.0,3622500.0,5439600.0,7184400.0,4698300.0,2001000.0,4465800.0,7300400.0,4547100.0,3338600.0,5816600.0,4354900.0,2436600.0,2807000.0,1440100.0,2207200.0,3573700.0,3745000.0,3844600.0,4856700.0,3606500.0,2563000.0,2892000.0,5990600.0,2550700.0,3532600.0,6596300.0,7446500.0,5659700.0,6676800.0,4988100.0,4680100.0,2161800.0,11488400.0,4893900.0,2940100.0,1613200.0,3493500.0,6223000.0,2969500.0
s600706,3266800.0,4652600.0,3844600.0,2664600.0,3932800.0,4392300.0,4665900.0,1900600.0,2477200.0,1908700.0,3169200.0,2363000.0,2988600.0,3642700.0,5289200.0,2610700.0,3189600.0,2456000.0,1634900.0,2460500.0,1386400.0,988800.0,3610000.0,2359300.0,1220800.0,2167800.0,1475200.0,1513000.0,1461900.0,2466600.0,1803400.0,1843300.0,1494000.0,2074900.0,1596300.0,1411400.0,1609100.0,2575700.0,2450100.0,2557400.0,2913600.0,1815000.0,1664100.0,1443100.0,2223100.0,2491900.0,2843600.0,2385900.0,3122800.0,3641300.0,3736300.0,2470600.0,2779700.0,2960600.0,1717500.0,1283200.0,1703500.0,1782000.0,1264400.0
s600720,7012600.0,6982400.0,7179800.0,5809700.0,8923500.0,7921200.0,14360200.0,7901300.0,8184300.0,6929700.0,6857800.0,24537300.0,21146800.0,14855900.0,15250300.0,9470400.0,18977000.0,10827300.0,12681300.0,15486100.0,12379500.0,13851200.0,20945800.0,23557000.0,12163400.0,9950100.0,9059900.0,12081800.0,18009600.0,16203000.0,12481100.0,8372800.0,15938200.0,14548000.0,10743400.0,9986800.0,28143300.0,28529700.0,22064800.0,14028900.0,10093700.0,10965000.0,8816500.0,9870800.0,11385300.0,13488800.0,12669400.0,11229900.0,15376200.0,21400000.0,18200900.0,12567200.0,6995400.0,12623000.0,9924200.0,11025800.0,10778300.0,11574400.0,7170400.0
