stock_no,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01
s600146,8.6,8.48,8.45,8.33,8.06,7.92,7.98,7.98,7.99,7.88,7.6,7.69,7.58,7.53,7.43,7.43,7.11,7.03,6.96,6.74,6.71,6.9,6.75,6.92,6.98,6.99,6.85,6.97,6.76,6.63,6.69,6.73,6.72,6.64,6.64,6.51,6.46,6.52,6.26,6.07,5.7,5.16,5.1
s600217,15.811,15.746,15.484,15.32,15.353,15.32,15.222,15.091,15.189,16.531,16.073,15.516,15.091,14.567,14.436,13.912,13.585,13.716,13.847,13.454,13.716,13.683,13.651,13.88,13.945,14.24,13.912,13.945,13.912,13.814,13.781,13.781,13.618,13.847,13.945,13.454,13.356,13.29,14.174,13.618,13.618,13.389,13.258
s600262,22.596,22.62,22.207,22.089,21.925,21.783,22.195,22.219,21.889,21.748,21.017,21.43,21.394,20.947,20.652,20.923,20.829,20.593,20.723,20.605,20.676,21.724,21.064,22.007,22.349,21.995,21.677,21.748,21.913,21.642,21.642,21.689,21.618,21.654,21.689,21.536,21.677,21.748,22.231,21.5,21.418,21.206,20.794
s600354,9.402,9.402,9.424,9.402,9.266,9.176,9.153,9.04,9.108,9.153,9.085,8.995,8.791,8.611,8.678,8.837,8.588,8.475,8.475,8.249,8.385,8.407,8.565,8.724,8.724,8.814,8.746,8.904,8.95,8.95,8.95,8.95,9.085,9.379,9.04,9.537,9.379,9.108,8.882,8.701,8.452,8.249,8.226
s600425,13.978,14.109,13.978,13.89,13.759,13.716,13.672,13.716,14.851,14.327,14.065,13.978,13.803,13.672,13.585,13.803,13.453,13.322,13.322,12.929,12.973,12.886,13.06,13.322,14.414,13.847,13.716,13.803,14.109,13.934,13.934,13.978,14.196,14.502,14.152,13.934,13.89,13.978,13.934,14.152,13.803,13.672,13.672
s600449,23.264,23.38,23.264,23.119,22.974,22.714,22.743,22.685,23.293,23.38,23.003,22.917,22.598,22.425,22.251,22.164,21.962,21.672,21.846,21.499,21.701,21.557,21.788,22.164,22.512,22.425,22.193,22.193,22.425,22.425,22.454,22.483,22.685,22.772,22.569,22.454,22.54,22.54,22.512,22.396,22.454,22.309,22.425
s600509,18.893,18.939,18.752,18.752,18.612,18.472,18.238,18.144,18.331,18.285,17.77,17.677,17.583,17.349,17.303,17.209,17.069,16.835,17.069,16.835,16.788,16.929,17.162,17.536,17.957,17.911,17.817,17.77,18.144,17.864,17.911,18.004,18.098,17.957,17.911,17.677,17.723,17.723,17.583,17.209,16.975,16.882,16.882
s600545,24.239,23.683,23.653,23.529,23.282,23.035,23.097,22.973,23.097,23.035,23.189,23.035,22.973,22.881,22.85,22.881,22.85,22.819,22.911,22.911,22.85,22.788,22.819,23.158,23.282,23.158,22.911,22.881,22.819,22.911,22.911,22.819,22.819,22.819,22.788,22.788,22.788,22.757,22.788,22.726,22.695,22.664,22.942
s600706,17.23,17.351,17.17,17.124,17.185,16.913,16.852,16.852,16.988,16.807,16.52,17.079,16.988,16.278,16.082,15.825,15.613,15.704,15.84,15.462,15.568,15.553,15.764,16.112,16.021,16.278,16.172,16.127,16.036,16.097,16.248,16.535,16.233,16.384,16.354,16.233,16.172,16.233,16.248,16.142,15.673,15.477,15.553
s600720,57.698,57.698,57.202,57.037,56.21,55.962,55.466,55.549,58.111,57.946,58.277,57.946,57.368,55.88,53.978,53.896,53.896,54.144,54.474,53.73,53.813,53.4,53.565,54.061,56.128,55.632,54.97,55.136,55.632,55.466,55.549,55.466,56.541,56.954,56.293,55.384,55.466,55.88,56.045,56.128,56.21,56.293,56.872
s600738,30.526,30.578,30.79,30.42,29.945,30.262,30.473,30.05,29.892,29.786,29.205,28.888,28.73,28.307,28.255,28.519,28.255,28.466,29.047,31.107,29.786,28.836,28.519,29.681,30.05,31.423,34.434,33.747,33.219,33.219,33.958,35.701,35.015,35.965,36.863,39.926,40.56,38.183,39.028,38.131,38.764,39.24,39.556
s600778,13.907,14.025,14.201,14.231,14.348,14.172,14.172,14.113,14.113,14.113,13.702,13.76,13.643,13.584,13.79,13.878,13.819,13.702,13.76,13.525,13.261,13.29,13.408,13.496,13.613,13.79,13.643,14.084,13.878,14.054,13.996,13.937,13.907,14.025,13.966,13.937,13.966,14.231,14.231,14.143,13.937,13.466,13.378
s600785,88.752,86.451,85.484,84.057,83.505,82.584,85.668,84.333,83.919,83.32,80.328,80.006,78.855,78.717,77.566,76.369,75.909,75.817,76.83,75.449,75.541,75.587,76.323,78.119,77.566,77.566,77.981,77.428,77.658,77.981,78.625,78.257,77.75,78.533,78.165,77.336,79.223,78.901,78.487,79.73,79.039,74.804,75.219
s600967,46.57,46.068,44.95,44.95,44.334,43.832,43.601,43.023,43.563,43.216,42.136,41.519,41.404,41.018,41.481,40.903,40.17,40.479,41.057,40.941,40.864,43.177,42.56,43.678,43.447,43.254,42.56,43.216,43.64,43.563,43.524,42.599,42.676,43.216,42.984,42.136,42.792,42.29,41.828,39.322,38.127,37.703,37.896
