stock_no,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01
s600146,8.27,8.27,8.08,7.82,7.75,7.67,7.72,7.76,7.79,7.2,7.41,7.38,7.36,7.31,7.13,7.17,6.62,6.76,6.41,6.39,6.51,6.38,6.24,6.63,6.77,6.74,6.65,6.48,6.49,6.46,6.53,6.46,6.55,6.5,6.32,6.29,6.29,6.11,5.95,5.58,5.41,4.9,4.91
s600217,15.549,15.484,15.091,15.025,15.091,14.993,14.829,14.96,14.894,15.058,15.287,14.894,14.305,14.109,13.52,13.651,13.094,13.323,13.225,13.225,13.421,13.29,13.061,13.552,13.618,13.683,13.618,13.585,13.552,13.487,13.618,13.421,13.356,13.421,13.356,13.258,13.061,13.094,13.421,13.127,13.16,12.963,12.963
s600262,21.712,21.477,21.654,21.441,21.583,21.265,21.618,21.489,21.453,20.746,20.735,20.334,20.334,20.511,20.381,20.405,19.757,20.181,20.051,20.134,20.193,20.028,20.028,20.829,21.465,21.595,21.312,21.335,21.383,21.159,21.3,21.347,21.347,21.477,21.335,21.206,21.277,21.3,21.229,20.652,20.676,20.157,18.555
s600354,9.085,9.266,9.198,9.176,9.063,9.017,8.904,8.95,8.882,8.859,8.814,8.701,8.498,8.407,8.543,8.611,8.181,8.317,8.136,8.181,8.294,8.272,8.159,8.565,8.611,8.678,8.611,8.611,8.769,8.656,8.814,8.837,8.859,8.995,8.769,8.927,8.927,8.769,8.611,8.226,8.181,7.955,8.0
s600425,13.759,13.803,13.585,13.585,13.585,13.497,13.497,13.585,13.541,13.89,13.759,13.628,13.497,13.453,13.279,13.322,12.886,13.017,12.798,12.711,12.755,12.711,12.449,13.06,13.06,13.541,13.453,13.541,13.759,13.628,13.759,13.672,13.716,14.021,13.803,13.716,13.672,13.716,13.541,13.279,13.279,13.322,13.366
s600449,22.743,22.946,22.801,22.685,22.627,22.454,22.28,22.425,22.367,22.656,22.512,22.338,22.222,22.106,21.73,21.759,21.065,21.354,21.209,21.152,21.296,21.296,21.007,21.788,21.933,22.02,21.875,21.846,22.049,22.077,22.251,22.193,22.193,22.396,22.193,22.193,22.28,22.28,22.077,21.586,21.962,21.846,22.02
s600509,18.518,18.565,18.472,18.472,18.378,18.004,17.911,17.911,18.004,17.63,17.349,17.396,17.162,17.116,16.975,16.929,16.227,16.601,16.508,16.554,16.508,16.554,16.601,17.209,17.303,17.536,17.536,17.536,17.63,17.536,17.677,17.583,17.63,17.723,17.49,17.443,17.396,17.349,17.116,16.508,16.695,16.367,16.461
s600545,23.128,23.035,23.22,23.22,22.942,22.85,22.85,22.881,22.85,22.788,22.664,22.726,22.695,22.695,22.603,22.726,22.387,22.603,22.695,22.757,21.645,22.263,22.51,22.726,22.85,22.911,22.757,22.634,22.603,22.695,22.726,22.664,22.664,22.695,22.634,22.664,22.664,22.695,22.664,22.232,22.325,22.356,22.17
s600706,16.913,17.034,16.883,16.626,16.444,16.58,16.595,16.671,16.58,16.399,15.93,16.021,16.263,15.855,15.583,15.568,15.175,15.507,15.326,15.235,15.235,15.25,15.19,15.689,15.809,15.9,15.87,15.825,15.825,15.825,16.021,15.991,15.976,16.112,16.051,16.021,15.915,16.051,15.961,15.522,15.235,15.144,15.129
s600720,56.789,56.954,56.376,55.797,55.549,54.722,54.805,54.97,54.888,56.624,56.789,56.458,55.136,53.73,52.656,52.904,52.16,53.069,52.821,52.325,52.573,52.242,51.581,53.4,53.234,54.226,54.309,53.978,54.805,54.722,55.053,54.805,54.97,55.797,54.805,54.64,54.722,55.053,54.97,54.226,54.722,55.136,55.466
