stock_no,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01
s600146,8.53,8.44,8.08,8.28,8.03,7.78,7.72,7.97,7.9,7.83,7.41,7.54,7.52,7.41,7.42,7.28,7.11,6.99,6.91,6.47,6.66,6.6,6.55,6.71,6.84,6.9,6.81,6.69,6.73,6.48,6.58,6.6,6.59,6.56,6.6,6.38,6.34,6.36,6.19,5.95,5.61,4.92,4.92
s600217,15.582,15.68,15.32,15.255,15.287,15.124,15.222,15.025,14.993,15.058,15.909,15.451,15.025,14.109,14.436,13.847,13.552,13.52,13.683,13.29,13.585,13.552,13.29,13.749,13.814,13.912,13.716,13.651,13.912,13.618,13.781,13.749,13.487,13.552,13.912,13.356,13.29,13.192,13.683,13.454,13.487,13.225,12.996
s600262,22.207,21.477,21.913,21.818,21.583,21.441,21.818,22.207,21.889,21.559,20.746,20.723,21.347,20.852,20.617,20.546,20.511,20.417,20.617,20.44,20.322,20.228,20.688,20.982,21.913,21.595,21.512,21.677,21.913,21.324,21.559,21.689,21.583,21.512,21.477,21.335,21.548,21.441,22.231,21.3,21.206,21.029,18.555
s600354,9.198,9.289,9.266,9.379,9.176,9.176,9.108,8.995,9.017,9.04,8.95,8.882,8.746,8.43,8.565,8.633,8.588,8.362,8.43,8.181,8.339,8.272,8.159,8.633,8.611,8.701,8.678,8.678,8.837,8.814,8.882,8.882,8.904,9.266,9.017,8.927,9.176,9.108,8.882,8.633,8.339,8.046,8.0
s600425,13.847,13.89,13.672,13.803,13.672,13.672,13.672,13.716,13.628,14.283,13.89,13.934,13.716,13.541,13.541,13.453,13.453,13.235,13.322,12.929,12.886,12.842,12.58,13.148,13.191,13.585,13.497,13.585,13.759,13.716,13.89,13.934,13.803,14.196,14.021,13.803,13.847,13.803,13.89,13.585,13.672,13.497,13.497
s600449,22.801,23.032,22.946,23.09,22.801,22.685,22.714,22.425,22.54,23.148,22.685,22.801,22.425,22.28,22.135,21.788,21.962,21.643,21.701,21.441,21.701,21.354,21.152,21.933,22.049,22.106,22.135,22.02,22.135,22.106,22.396,22.425,22.193,22.598,22.54,22.193,22.367,22.512,22.425,22.164,22.164,22.106,22.077
s600509,18.612,18.752,18.706,18.706,18.518,18.425,18.098,18.051,18.098,18.285,17.677,17.396,17.583,17.209,17.303,16.929,17.069,16.648,16.975,16.601,16.741,16.648,16.648,17.209,17.349,17.63,17.63,17.63,17.677,17.817,17.677,17.723,17.63,17.817,17.864,17.63,17.63,17.723,17.49,17.116,16.882,16.648,16.601
s600545,23.529,23.22,23.436,23.467,23.22,22.85,22.942,22.942,22.881,22.973,22.757,22.726,22.881,22.85,22.757,22.819,22.85,22.788,22.85,22.911,22.85,22.51,22.572,22.788,22.942,22.973,22.911,22.881,22.788,22.788,22.911,22.695,22.788,22.788,22.788,22.695,22.788,22.757,22.726,22.695,22.634,22.634,22.232
s600706,16.913,17.109,17.17,16.958,16.747,16.777,16.852,16.747,16.807,16.777,16.399,16.021,16.928,16.172,16.036,15.673,15.583,15.537,15.794,15.462,15.568,15.356,15.296,15.809,15.885,15.946,15.961,16.127,16.036,15.825,16.082,16.142,16.021,16.127,16.354,16.172,16.172,16.066,16.082,16.082,15.492,15.19,15.265
s600720,56.789,57.202,56.789,56.458,55.88,55.549,55.466,55.136,55.218,57.202,57.285,57.45,57.285,55.466,53.896,52.904,53.317,53.648,54.392,53.069,53.648,52.986,52.16,53.73,53.813,54.557,54.557,54.557,55.136,54.97,55.136,55.384,55.136,56.954,56.21,54.888,55.384,55.053,55.384,55.136,55.384,55.384,55.714
