stock_no,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01
s600146,16168000.0,12473100.0,12357200.0,14712800.0,12455100.0,9613700.0,12391800.0,10071700.0,10930300.0,11764800.0,9283700.0,10456100.0,7250300.0,8295900.0,8813700.0,10903900.0,16597500.0,11261400.0,10368900.0,11013100.0,6903700.0,15571800.0,17411600.0,17478100.0,14719200.0,17823800.0,11267200.0,19680200.0,16698100.0,10279400.0,9632400.0,11917700.0,9620100.0,9410300.0,12491300.0,9572900.0,7557200.0,11655500.0,12497600.0,15000600.0,14372200.0,15760200.0,13847700.0
s600217,3715300.0,2190700.0,2024400.0,1732600.0,1062200.0,1522200.0,1510800.0,766000.0,1681000.0,10460400.0,9606800.0,6197300.0,5345700.0,3190200.0,5315100.0,2442500.0,3096000.0,3067500.0,3231500.0,1357300.0,1555200.0,1807600.0,2482200.0,2737000.0,1900900.0,3853400.0,2585700.0,2916300.0,2887000.0,3039200.0,2765100.0,3142400.0,5478600.0,6656200.0,5841100.0,4371100.0,3555800.0,2666800.0,13540100.0,9389400.0,5375500.0,6007800.0,4751200.0
s600262,936800.0,710500.0,550600.0,371900.0,322600.0,559700.0,338100.0,290100.0,271600.0,393800.0,161800.0,631800.0,647400.0,148400.0,159100.0,260900.0,363600.0,264100.0,185300.0,145600.0,225100.0,491800.0,488300.0,827500.0,554600.0,538000.0,399800.0,285300.0,141100.0,229200.0,350300.0,277400.0,144300.0,178600.0,163600.0,214700.0,210500.0,491000.0,451800.0,417800.0,955000.0,741600.0,1346800.0
s600354,13561700.0,7441600.0,6773700.0,5433700.0,3827900.0,3380100.0,6182300.0,3784700.0,4740600.0,5680500.0,5825300.0,5517500.0,3913600.0,2874200.0,2814000.0,3814400.0,4601600.0,2309700.0,2526200.0,2676500.0,3047600.0,2447600.0,4899400.0,4867700.0,3829400.0,4754200.0,3649700.0,6884800.0,4795700.0,4272300.0,3250400.0,4619800.0,5370200.0,7911900.0,6284200.0,26651300.0,19445000.0,11887300.0,5982400.0,6586500.0,4119000.0,6259300.0,3490700.0
s600425,14325700.0,15385100.0,13464400.0,10342000.0,6794500.0,7662800.0,8228700.0,7298100.0,55646400.0,28091700.0,15987500.0,14271600.0,9817600.0,8597300.0,10605600.0,9528400.0,16490400.0,10184700.0,10079000.0,6826200.0,7159300.0,6212400.0,12531500.0,17045600.0,34198800.0,20894000.0,11313000.0,18505500.0,23456900.0,14470700.0,11949100.0,12602700.0,29014100.0,26243200.0,14218200.0,10467400.0,11077400.0,11636400.0,15435000.0,26263700.0,24484300.0,13486200.0,10354300.0
s600449,5193400.0,4613500.0,3590900.0,2844900.0,2140200.0,2086500.0,2237800.0,1816600.0,9735700.0,6711800.0,4867100.0,3973900.0,2767400.0,2340000.0,2793400.0,1955600.0,4232300.0,2060600.0,2066200.0,1763700.0,2090300.0,2278000.0,3593600.0,3464000.0,5617700.0,4566300.0,5203800.0,6634800.0,4816800.0,5676400.0,3688500.0,5474000.0,6844700.0,5332000.0,3546000.0,2715400.0,3477500.0,3451800.0,4021200.0,5704700.0,5245700.0,3392800.0,4300500.0
s600509,4184300.0,4664400.0,3463200.0,3259000.0,1401500.0,2831500.0,1566800.0,2060800.0,2191500.0,2522700.0,2569500.0,2599200.0,2574200.0,1777400.0,2364000.0,1746700.0,3819700.0,2094900.0,2051000.0,2130500.0,1551600.0,1465500.0,2828300.0,3935000.0,6153800.0,3733000.0,2955900.0,2669400.0,4975800.0,5731400.0,3517500.0,4433400.0,5664400.0,3573200.0,3271300.0,3093300.0,2959600.0,2599700.0,3032400.0,3198400.0,2026800.0,3603200.0,2671600.0
s600545,9587400.0,7168100.0,5393200.0,3326500.0,3104800.0,1648200.0,1765500.0,1602900.0,3313000.0,3059800.0,2114700.0,2642100.0,1613500.0,1814600.0,2052200.0,1285700.0,2477200.0,1990000.0,2119400.0,1604900.0,6445100.0,4285700.0,3130100.0,4310100.0,3612200.0,2634400.0,2092100.0,2910800.0,2777400.0,1750000.0,1701300.0,2458600.0,2919800.0,1972400.0,2636100.0,1881400.0,1658900.0,1166800.0,2463600.0,2461400.0,3611800.0,1678700.0,2900200.0
s600706,1907300.0,1983000.0,2030900.0,1596000.0,2420000.0,1357800.0,1138500.0,1078800.0,1467100.0,1469800.0,1457300.0,4488100.0,3448600.0,2188300.0,1869700.0,1189200.0,1675900.0,1296900.0,1011600.0,984300.0,1252000.0,959600.0,1469000.0,1793600.0,1066400.0,1677100.0,1199600.0,1306500.0,860200.0,1011900.0,1334600.0,1935200.0,1191400.0,1522700.0,1143600.0,843100.0,1429800.0,1306200.0,1233100.0,1145400.0,1364700.0,1490900.0,1139100.0
s600720,10685700.0,10335500.0,9756600.0,7552300.0,5282900.0,6231200.0,4502000.0,4119300.0,25514100.0,17868600.0,17914600.0,8385400.0,11644500.0,15047800.0,10609900.0,5312600.0,7186800.0,7457700.0,6789400.0,4000300.0,4116500.0,6202200.0,7871000.0,9148600.0,15910800.0,9318400.0,4683900.0,7152200.0,5883600.0,6849200.0,5862800.0,5492700.0,14399800.0,8039500.0,6779900.0,3636600.0,5094200.0,6123700.0,7816800.0,11391700.0,7149800.0,8467500.0,10223000.0
s600738,8556600.0,5973400.0,6089800.0,4600900.0,3955700.0,8168200.0,7388800.0,4065400.0,4472300.0,3636200.0,3792300.0,4181600.0,2843200.0,2764900.0,2806000.0,3618200.0,3855700.0,4600200.0,4507300.0,33933500.0,19779900.0,14524800.0,10987200.0,14950500.0,11512900.0,19013400.0,45907300.0,26426500.0,16430500.0,12131500.0,12216500.0,19787000.0,17121200.0,13333800.0,20777200.0,29684300.0,26925800.0,22458800.0,14658700.0,12084900.0,20902300.0,44075000.0,26356000.0
