stock_no,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
s600146,6.52,6.64,6.69,6.85,6.85,6.77,6.66,6.83,6.51,6.58,6.6,6.64,6.57,6.6,6.37,6.41,6.35,6.14,5.98,5.61,5.44,4.9,5.03,5.53,5.54,5.66,5.69,5.85,6.44,6.43,6.34,6.33,6.96,7.66,7.59,7.23,7.24,7.83,7.79,8.05,8.56,9.15,8.24,8.57,8.56,8.89,8.21,8.45,8.71,8.44,9.28,9.6,9.32,9.32,10.25,11.28,12.41,13.65,15.02,16.52,16.04,15.48,14.63,14.67,14.01,15.0,15.2,13.71,13.7,14.17,14.67,14.26,14.25,13.83,13.51,13.51,13.55,12.2,10.98,9.88,10.48,11.53,11.25,11.59,12.75,13.35,14.69,14.1,14.48,13.6,13.65,13.5,12.9,13.0,14.0,13.49,13.6,13.95,14.58
s600217,13.552,13.29,13.618,13.847,13.847,13.749,13.618,13.847,13.618,13.781,13.716,13.487,13.552,13.749,13.454,13.258,13.258,13.192,13.618,13.618,13.29,12.996,13.225,13.454,13.847,14.109,14.698,14.993,15.353,15.353,15.778,15.189,15.32,16.073,15.942,15.942,16.04,16.04,16.335,16.662,18.332,19.117,17.841,18.397,18.364,17.579,17.35,17.742,18.004,18.495,18.757,18.659,18.692,18.233,18.266,19.576,19.837,20.165,20.558,20.296,20.263,20.492,19.936,20.001,20.492,20.459,20.361,20.918,22.522,23.176,21.769,21.802,23.307,23.733,23.438,22.096,22.227,21.376,21.441,19.314,19.117,19.248,18.79,19.281,19.248,19.576,20.296,20.361,20.263,20.099,20.558,20.787,20.394,20.394,20.558,20.558,21.114,21.245,21.245
s600262,20.44,20.994,20.947,21.913,21.748,21.736,21.677,21.606,21.406,21.571,21.642,21.583,21.512,21.559,21.371,21.43,21.5,21.63,21.477,21.5,21.123,20.617,20.617,20.523,20.735,20.817,20.923,20.864,21.324,21.147,21.96,21.748,22.089,22.761,22.431,22.325,22.502,22.337,22.49,22.737,23.008,23.515,22.796,22.973,23.915,23.739,23.103,23.079,24.139,23.88,24.457,25.023,25.482,26.943,25.565,25.859,25.6,26.036,26.566,27.085,27.002,26.814,26.743,27.037,27.096,27.049,27.202,27.026,27.085,27.096,27.143,28.757,29.453,28.039,27.497,26.472,26.236,26.024,25.423,22.879,22.525,23.374,23.209,23.574,23.456,23.22,23.338,23.421,22.384,22.148,22.419,22.384,22.337,22.384,22.82,24.033,23.55,22.997,22.867
s600354,8.294,8.294,8.543,8.656,8.701,8.701,8.633,8.814,8.814,8.882,8.904,8.882,8.995,9.085,8.837,9.334,9.13,8.791,8.724,8.43,8.226,8.0,8.204,8.52,8.588,8.769,8.859,8.972,9.356,9.334,9.356,9.108,9.176,9.582,9.944,9.718,9.741,9.763,9.854,10.238,10.441,10.938,10.848,11.436,11.458,11.277,10.712,10.645,10.893,10.848,11.029,11.074,11.164,10.938,10.532,10.486,10.283,10.396,10.848,10.825,10.938,11.051,11.232,11.006,11.142,10.916,11.164,10.893,11.097,11.3,11.3,11.255,11.503,10.735,10.961,10.351,9.899,9.379,9.605,9.628,10.599,10.735,11.142,10.938,12.023,11.82,12.43,12.385,13.628,12.272,11.82,12.995,12.091,11.503,11.865,13.063,14.374,15.82,17.402
s600425,12.798,12.755,13.017,13.235,13.716,13.585,13.497,13.803,13.803,13.89,13.847,13.759,14.109,14.152,13.847,13.89,13.803,13.847,13.585,14.109,13.497,13.366,13.672,13.89,14.109,14.152,14.152,14.196,14.545,14.371,14.545,14.24,14.371,15.375,15.725,15.856,16.118,17.734,19.525,21.491,22.408,24.636,22.189,21.709,22.539,21.054,21.36,21.229,21.709,22.102,23.587,22.67,21.796,21.141,21.316,21.665,20.704,21.054,21.796,23.238,23.98,23.063,24.111,23.456,22.976,21.971,22.146,22.058,22.408,22.277,23.544,23.5,22.495,21.491,21.753,20.049,19.7,18.171,17.909,16.118,16.162,15.943,15.943,16.511,16.598,16.249,16.555,18.215,17.123,17.559,17.953,17.472,17.385,17.297,17.734,17.603,17.647,17.297,17.385
s600449,21.354,21.354,21.788,22.049,22.164,22.135,21.962,22.193,22.106,22.425,22.367,22.193,22.598,22.627,22.28,22.425,22.425,22.309,22.135,22.28,22.106,21.933,22.367,22.772,22.946,23.293,23.293,23.177,23.582,23.582,23.582,23.264,23.756,24.711,24.855,24.653,24.826,25.839,26.099,26.302,26.533,26.302,24.537,25.521,25.897,25.926,27.228,27.257,28.154,28.009,29.138,28.53,27.893,27.344,27.141,28.096,27.054,27.546,28.385,28.501,28.935,28.79,30.353,29.658,29.34,28.501,28.877,28.646,29.282,29.022,29.138,29.08,27.98,27.199,27.459,26.302,26.331,25.087,25.145,23.322,23.698,23.611,23.698,24.334,24.161,23.785,24.248,25.058,24.19,24.277,24.826,24.595,23.987,24.103,24.74,24.711,24.884,24.711,23.64
s600509,16.554,16.741,17.116,17.349,17.63,17.583,17.63,17.63,17.77,17.817,17.677,17.677,17.911,17.864,17.583,17.63,17.677,17.396,17.162,16.882,16.695,16.508,16.788,17.209,17.583,17.77,17.723,17.723,18.238,18.238,18.191,18.706,20.576,22.634,24.878,22.4,21.839,22.026,22.26,23.522,23.709,23.99,21.979,22.868,23.335,22.447,22.166,22.54,23.616,23.616,26.001,28.619,28.994,26.141,25.065,26.375,24.925,25.252,26.281,25.954,26.047,26.749,26.328,26.889,26.609,26.328,26.655,26.515,26.422,25.907,26.515,27.17,26.234,28.853,27.591,24.878,23.85,21.979,22.54,20.67,21.184,21.371,21.044,21.792,22.353,21.932,24.13,26.562,24.972,23.616,24.083,23.662,21.979,22.166,22.868,22.54,22.587,23.195,22.68
s600545,22.788,22.788,22.788,23.004,23.004,22.973,22.819,22.788,22.788,22.881,22.819,22.788,22.788,22.819,22.788,22.788,22.757,22.757,22.757,22.726,22.695,22.356,22.726,22.726,22.726,22.788,22.973,23.776,23.869,23.313,23.22,23.158,23.251,23.869,23.653,23.467,24.116,23.9,24.177,24.672,25.073,25.258,23.992,24.764,24.98,24.733,24.301,24.857,25.258,25.227,26.864,26.555,26.432,25.66,25.351,25.814,25.166,25.66,26.185,25.968,25.999,26.061,26.339,26.648,26.895,26.277,25.999,25.876,26.03,25.907,25.907,25.258,25.042,24.579,24.764,23.9,24.27,23.745,23.807,22.325,22.788,22.541,22.541,23.066,22.387,22.695,22.757,22.757,22.695,22.726,22.788,22.726,22.726,22.726,22.911,22.664,22.51,22.726,22.541
s600706,15.432,15.326,15.734,16.006,15.946,15.976,16.066,16.051,15.9,16.082,16.142,16.127,16.127,16.354,16.233,16.202,16.036,16.066,15.991,15.689,15.265,15.19,15.522,15.749,16.036,16.263,16.293,16.233,16.611,16.55,16.777,16.762,16.943,17.502,17.472,17.351,17.472,17.472,17.593,17.88,18.213,18.303,17.291,17.85,18.198,18.288,17.563,17.835,18.379,18.545,19.8,20.631,21.039,20.54,19.633,21.205,20.177,20.268,20.858,20.676,20.706,21.115,21.855,22.157,21.628,21.402,21.462,20.979,20.873,21.054,20.979,21.205,21.81,20.374,20.253,19.437,19.21,18.56,18.968,17.442,17.578,17.457,17.381,17.835,17.895,17.593,18.016,18.152,17.336,17.276,17.517,17.533,17.004,17.064,17.412,17.351,17.381,17.276,17.23
s600720,52.821,52.325,53.4,53.978,54.888,54.722,54.392,54.97,54.97,55.301,55.218,54.97,56.293,56.21,54.97,55.218,55.218,55.301,54.97,56.045,55.136,55.714,56.872,58.029,57.781,58.359,58.194,57.285,58.855,60.343,59.682,59.269,59.599,62.079,62.989,62.327,62.906,67.37,67.618,67.783,68.114,67.37,62.741,64.394,64.807,64.394,70.841,69.767,72.247,74.975,75.718,74.561,72.577,71.337,70.263,73.404,70.428,72.081,74.231,74.975,76.462,75.718,79.934,78.281,76.958,74.727,74.809,74.396,75.966,75.801,77.041,76.297,72.991,70.263,70.841,67.204,66.047,64.807,65.138,60.178,61.749,61.914,63.484,65.716,65.964,65.055,66.295,68.444,67.122,68.031,70.841,70.593,69.519,69.023,70.841,69.932,71.503,70.263,66.791
