stock_no,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
s600146,6.71,6.9,6.75,6.92,6.98,6.99,6.85,6.97,6.76,6.63,6.69,6.73,6.72,6.64,6.64,6.51,6.46,6.52,6.26,6.07,5.7,5.16,5.1,5.53,5.88,5.83,5.79,5.93,6.44,6.58,6.45,6.53,6.96,7.66,8.43,7.58,7.4,7.96,8.15,8.13,8.78,9.31,9.07,8.7,8.88,9.07,8.83,8.7,8.98,8.94,9.28,10.11,9.69,9.57,10.25,11.28,12.41,13.65,15.02,16.52,17.88,16.44,15.32,14.97,14.56,15.41,15.85,16.16,13.85,14.33,15.25,14.99,14.85,14.38,13.83,13.78,13.79,13.52,11.57,10.97,10.77,11.53,11.98,11.9,12.75,13.89,14.69,15.1,15.03,14.27,14.18,13.95,13.69,13.35,14.1,13.99,13.88,14.14,14.81
s600217,13.716,13.683,13.651,13.88,13.945,14.24,13.912,13.945,13.912,13.814,13.781,13.781,13.618,13.847,13.945,13.454,13.356,13.29,14.174,13.618,13.618,13.389,13.258,13.487,14.011,14.24,15.025,15.909,15.484,15.746,15.778,15.68,15.353,16.171,16.564,16.171,16.237,16.204,16.728,16.728,18.332,20.132,18.921,18.43,18.757,18.332,17.611,17.906,18.07,18.921,18.888,18.921,18.823,18.495,18.692,19.706,20.361,20.787,20.885,20.885,20.558,20.59,20.492,20.23,20.721,21.18,20.623,21.311,23.013,24.42,23.7,22.194,23.667,24.224,23.798,23.569,22.751,22.554,21.998,21.081,19.641,19.87,19.248,19.412,19.346,20.001,20.296,20.721,20.459,20.132,20.59,21.016,20.819,20.623,20.623,20.623,21.147,21.245,21.441
s600262,20.676,21.724,21.064,22.007,22.349,21.995,21.677,21.748,21.913,21.642,21.642,21.689,21.618,21.654,21.689,21.536,21.677,21.748,22.231,21.5,21.418,21.206,20.794,20.676,20.794,20.958,21.064,20.97,21.347,21.43,21.995,22.007,22.384,23.209,22.773,22.82,22.525,22.655,22.914,22.973,23.091,23.857,23.232,23.02,24.269,24.552,23.692,23.539,24.245,24.139,24.457,25.742,25.647,27.921,27.049,26.013,26.448,26.507,26.837,27.273,27.214,27.214,27.155,27.685,27.65,27.615,27.544,28.015,27.568,27.532,27.544,29.288,29.735,29.217,28.251,27.426,26.472,26.625,26.437,25.082,23.315,23.491,23.48,24.022,23.739,23.515,23.774,23.48,23.68,22.349,22.702,22.702,22.49,22.384,22.961,24.74,23.633,23.491,23.091
s600354,8.385,8.407,8.565,8.724,8.724,8.814,8.746,8.904,8.95,8.95,8.95,8.95,9.085,9.379,9.04,9.537,9.379,9.108,8.882,8.701,8.452,8.249,8.226,8.543,8.678,8.882,8.95,9.266,9.379,9.447,10.125,9.356,9.198,9.582,9.944,9.967,9.854,9.854,9.989,10.351,10.69,11.006,11.594,11.436,11.729,12.611,10.961,10.825,10.893,10.961,11.594,11.164,11.413,11.232,11.074,10.645,10.509,10.441,10.848,11.006,10.984,11.119,11.39,11.164,11.187,11.277,11.164,11.3,11.119,11.39,11.594,11.368,11.526,11.458,10.961,11.074,10.351,10.012,9.741,10.464,10.599,11.3,11.413,11.707,12.023,12.995,12.882,13.085,13.628,13.673,12.317,12.995,13.289,12.566,12.046,13.063,14.374,15.82,17.402
s600425,12.973,12.886,13.06,13.322,14.414,13.847,13.716,13.803,14.109,13.934,13.934,13.978,14.196,14.502,14.152,13.934,13.89,13.978,13.934,14.152,13.803,13.672,13.672,13.934,14.109,14.24,14.371,14.371,14.545,14.72,14.633,14.633,14.371,15.594,16.598,16.293,16.162,17.734,19.525,21.491,23.544,24.636,24.242,22.495,22.539,22.495,22.452,22.015,22.058,22.495,23.98,25.203,22.539,21.753,21.578,21.796,21.447,21.054,22.058,23.937,24.461,24.548,24.155,24.81,23.675,22.888,22.233,22.888,22.408,22.495,23.98,23.937,23.718,22.583,21.884,21.84,20.268,19.918,18.302,17.254,16.642,16.38,16.38,16.511,16.642,16.511,16.598,18.215,18.389,17.559,18.084,17.953,17.821,17.603,17.778,18.084,17.821,17.69,17.559
s600449,21.701,21.557,21.788,22.164,22.512,22.425,22.193,22.193,22.425,22.425,22.454,22.483,22.685,22.772,22.569,22.454,22.54,22.54,22.512,22.396,22.454,22.309,22.425,22.801,23.09,23.409,23.466,23.38,23.611,23.756,23.669,23.756,23.843,24.884,25.694,25.174,25.058,26.533,26.476,26.331,26.533,26.62,25.984,25.521,26.186,26.273,28.096,27.691,28.472,28.588,29.861,29.832,28.385,28.009,27.893,28.125,27.951,27.604,28.704,28.877,29.022,29.716,30.353,30.092,29.832,29.369,28.877,29.456,29.282,29.398,29.601,29.196,29.224,28.038,27.604,27.546,26.765,26.273,25.463,24.479,23.814,23.871,23.871,24.363,24.334,24.103,24.334,25.608,25.145,24.421,25.029,25.029,24.595,24.248,24.768,24.971,25.029,24.884,23.958
s600509,16.788,16.929,17.162,17.536,17.957,17.911,17.817,17.77,18.144,17.864,17.911,18.004,18.098,17.957,17.911,17.677,17.723,17.723,17.583,17.209,16.975,16.882,16.882,17.256,17.583,17.817,17.864,18.051,18.331,18.472,18.331,18.846,20.576,22.634,24.878,24.037,22.447,22.306,22.634,23.99,24.364,24.224,23.803,22.868,23.803,23.429,22.774,22.961,23.803,23.99,26.001,28.619,31.472,27.544,26.094,26.422,26.141,25.673,26.422,26.609,26.141,27.357,27.17,27.591,27.217,27.357,27.123,27.497,26.515,26.422,26.842,27.217,27.544,28.853,28.619,26.983,24.364,24.13,22.914,22.213,21.371,21.605,21.465,21.839,22.914,22.26,24.13,26.562,26.141,24.738,24.504,24.224,23.429,22.493,22.868,23.522,22.961,24.083,23.569
s600545,22.85,22.788,22.819,23.158,23.282,23.158,22.911,22.881,22.819,22.911,22.911,22.819,22.819,22.819,22.788,22.788,22.788,22.757,22.788,22.726,22.695,22.664,22.942,22.788,22.757,22.85,23.004,24.177,24.085,23.961,23.529,23.436,23.282,24.054,23.961,23.869,24.486,24.301,24.795,24.795,25.073,25.876,25.073,24.857,25.505,25.474,24.857,24.98,25.289,25.567,27.759,27.296,26.802,26.215,26.215,25.876,25.752,25.69,26.401,26.37,26.123,26.215,26.833,26.833,27.234,27.018,26.308,26.37,26.03,26.277,26.03,25.66,25.443,25.166,24.826,24.826,24.641,24.517,24.177,23.066,22.85,22.603,22.541,23.097,22.819,22.695,22.942,22.881,22.788,22.726,22.911,22.757,22.757,22.757,23.004,22.973,22.695,22.757,22.695
s600706,15.568,15.553,15.764,16.112,16.021,16.278,16.172,16.127,16.036,16.097,16.248,16.535,16.233,16.384,16.354,16.233,16.172,16.233,16.248,16.142,15.673,15.477,15.553,15.764,16.097,16.338,16.354,16.308,16.626,16.716,16.837,16.867,16.958,17.563,17.835,17.684,17.608,17.623,17.865,17.91,18.228,18.364,18.137,17.91,18.379,18.938,18.288,17.956,18.47,18.545,20.177,21.281,21.764,21.296,20.404,21.447,21.039,20.374,21.084,21.084,20.873,21.296,22.369,22.671,22.052,21.734,21.523,21.916,21.024,21.402,21.311,21.311,21.991,21.583,20.631,20.45,19.497,19.497,19.135,18.364,17.865,17.729,17.578,17.88,18.122,17.925,18.062,18.258,18.167,17.412,17.578,17.789,17.593,17.155,17.472,17.593,17.457,17.336,17.381
s600720,53.813,53.4,53.565,54.061,56.128,55.632,54.97,55.136,55.632,55.466,55.549,55.466,56.541,56.954,56.293,55.384,55.466,55.88,56.045,56.128,56.21,56.293,56.872,58.029,58.277,58.525,58.855,58.359,59.021,60.509,60.343,60.591,59.847,62.245,64.724,63.319,63.567,69.106,69.188,67.948,68.692,67.948,66.46,64.559,65.551,64.972,70.841,73.239,73.404,75.801,78.777,78.198,74.231,73.073,72.329,73.487,73.321,72.329,75.223,75.884,76.876,79.19,79.934,80.761,80.182,77.289,75.057,77.289,76.214,76.462,78.033,77.041,75.884,72.908,71.089,70.759,67.452,66.626,65.882,63.65,62.079,62.989,64.394,65.882,66.874,66.13,66.708,69.767,68.94,68.279,71.751,71.089,70.924,70.345,70.924,71.668,72.247,71.503,68.61
