stock_no,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
s600146,6.51,6.38,6.24,6.63,6.77,6.74,6.65,6.48,6.49,6.46,6.53,6.46,6.55,6.5,6.32,6.29,6.29,6.11,5.95,5.58,5.41,4.9,4.91,5.12,5.49,5.59,5.62,5.69,5.82,6.26,6.24,6.3,6.34,7.66,7.58,7.08,7.15,7.2,7.61,7.63,7.99,8.25,8.24,8.18,8.38,8.44,8.0,8.21,8.56,8.31,8.5,9.4,9.22,9.0,9.28,10.02,10.65,11.6,14.9,16.01,15.5,15.3,14.33,14.29,13.8,13.2,14.45,13.68,12.71,13.52,14.21,13.9,14.2,13.2,13.36,13.21,13.01,12.2,10.98,9.88,9.92,10.2,11.13,11.2,11.7,12.3,12.88,13.88,13.81,13.03,13.51,13.09,12.79,12.43,13.08,13.3,13.03,13.28,13.77
s600217,13.421,13.29,13.061,13.552,13.618,13.683,13.618,13.585,13.552,13.487,13.618,13.421,13.356,13.421,13.356,13.258,13.061,13.094,13.421,13.127,13.16,12.963,12.963,13.192,13.454,13.749,14.011,14.403,14.829,15.058,15.156,15.091,14.993,15.255,15.811,15.778,15.909,15.68,16.04,16.171,16.728,18.495,17.808,17.546,17.972,17.415,16.826,17.251,17.611,18.201,17.775,18.463,18.201,18.102,17.906,17.677,18.986,19.706,19.87,20.099,19.87,20.132,19.706,19.837,19.837,20.23,19.936,20.427,20.459,21.802,20.852,21.212,21.605,22.882,23.111,21.998,21.638,20.525,21.049,19.314,18.43,18.463,18.495,18.397,18.823,18.921,19.543,19.936,19.968,19.215,19.903,20.296,20.165,19.903,19.805,20.296,20.328,20.623,20.721
s600262,20.193,20.028,20.028,20.829,21.465,21.595,21.312,21.335,21.383,21.159,21.3,21.347,21.347,21.477,21.335,21.206,21.277,21.3,21.229,20.652,20.676,20.157,18.555,20.252,20.393,20.617,20.676,20.617,20.711,20.852,21.017,21.559,21.571,21.936,22.349,21.795,22.29,22.042,22.337,22.243,22.419,22.761,22.419,22.266,22.891,23.444,22.502,22.961,22.891,23.703,23.633,24.493,24.505,24.87,25.435,24.658,25.376,25.6,25.977,26.507,26.731,26.778,26.413,26.625,27.049,26.719,26.778,26.66,26.602,26.637,26.861,27.049,28.498,27.485,26.979,26.39,25.376,25.459,24.999,22.879,22.031,21.913,22.949,22.773,23.103,22.985,23.209,23.138,22.042,20.711,21.936,22.184,21.818,21.972,22.195,23.279,23.138,22.796,22.749
s600354,8.294,8.272,8.159,8.565,8.611,8.678,8.611,8.611,8.769,8.656,8.814,8.837,8.859,8.995,8.769,8.927,8.927,8.769,8.611,8.226,8.181,7.955,8.0,8.204,8.52,8.52,8.724,8.769,8.927,9.153,9.356,9.085,9.063,9.221,9.447,9.605,9.628,9.628,9.741,9.741,10.057,10.351,10.486,10.69,11.074,11.164,10.283,10.577,10.464,10.758,10.803,10.848,10.871,10.622,10.509,10.283,10.215,9.967,10.373,10.735,10.735,10.916,10.893,10.825,10.78,10.916,10.848,10.893,10.532,11.074,11.187,11.006,11.187,10.622,10.464,10.351,9.831,9.311,9.379,9.447,8.95,10.17,9.673,10.26,10.306,11.594,11.571,12.114,11.978,12.272,11.345,11.458,11.865,11.21,11.3,11.571,12.792,15.82,16.43
s600425,12.755,12.711,12.449,13.06,13.06,13.541,13.453,13.541,13.759,13.628,13.759,13.672,13.716,14.021,13.803,13.716,13.672,13.716,13.541,13.279,13.279,13.322,13.366,13.628,13.803,13.978,14.109,14.065,14.24,14.24,14.283,14.196,14.065,14.371,15.026,15.332,15.594,16.555,19.045,19.656,20.573,21.578,22.189,20.53,21.185,20.966,20.355,21.054,19.743,21.622,21.927,22.626,21.447,21.01,20.966,20.792,20.661,19.831,21.097,21.665,22.757,22.976,22.845,23.063,22.845,21.971,21.709,22.058,21.665,22.146,22.321,22.932,22.321,21.316,21.403,19.874,19.569,17.953,17.559,16.118,15.943,15.506,15.9,15.506,16.162,16.074,16.336,16.642,16.904,16.293,17.341,17.297,17.123,17.166,17.297,17.472,17.385,17.079,17.166
s600449,21.296,21.296,21.007,21.788,21.933,22.02,21.875,21.846,22.049,22.077,22.251,22.193,22.193,22.396,22.193,22.193,22.28,22.28,22.077,21.586,21.962,21.846,22.02,22.28,22.656,22.801,23.177,23.09,23.119,23.322,23.351,23.206,23.177,23.843,24.566,24.305,24.508,24.855,25.752,25.665,25.984,26.042,24.45,24.74,25.376,25.55,25.926,26.562,26.765,27.517,27.633,28.53,27.43,27.257,26.968,26.881,26.996,26.562,27.575,28.125,28.154,28.704,28.733,29.253,29.282,28.385,28.414,28.646,28.385,28.877,28.935,28.704,27.922,26.823,27.141,26.302,26.244,24.913,24.942,23.264,23.322,23.177,23.437,23.466,23.958,23.785,23.958,24.305,24.19,23.669,24.19,24.392,23.871,23.9,24.103,24.595,24.624,24.537,23.64
s600509,16.508,16.554,16.601,17.209,17.303,17.536,17.536,17.536,17.63,17.536,17.677,17.583,17.63,17.723,17.49,17.443,17.396,17.349,17.116,16.508,16.695,16.367,16.461,16.835,17.209,17.443,17.63,17.677,17.77,18.004,18.051,18.144,20.576,22.634,23.709,22.4,21.137,21.511,21.558,21.698,23.008,23.148,21.932,21.932,22.774,22.213,21.652,22.213,22.727,23.148,24.832,28.619,28.947,26.094,24.925,24.13,24.832,24.411,25.252,25.86,25.393,25.627,25.907,25.44,26.234,26.001,26.188,26.422,24.925,25.767,25.533,25.86,26.234,26.281,26.936,24.832,23.429,21.932,22.26,20.342,20.436,20.623,20.95,20.81,21.324,21.698,24.13,24.925,23.943,23.008,23.148,23.148,21.979,21.605,21.605,22.447,22.493,21.558,22.68
s600545,21.645,22.263,22.51,22.726,22.85,22.911,22.757,22.634,22.603,22.695,22.726,22.664,22.664,22.695,22.634,22.664,22.664,22.695,22.664,22.232,22.325,22.356,22.17,22.541,22.634,22.634,22.726,22.911,23.56,23.189,23.066,23.158,22.973,23.251,23.591,23.406,23.436,23.653,23.869,24.085,24.455,25.011,23.992,23.93,24.641,24.61,24.085,24.455,24.857,24.98,25.135,26.308,26.185,25.629,25.166,25.166,25.073,24.888,25.66,25.968,25.629,25.629,25.814,25.474,26.185,26.246,25.968,25.752,25.166,25.876,25.69,24.949,25.011,24.579,24.455,23.467,23.93,23.591,23.467,21.769,21.8,22.078,22.109,22.263,22.387,21.954,22.572,22.479,22.078,22.201,22.541,22.479,22.201,22.479,22.572,22.664,22.479,22.17,22.51
s600706,15.235,15.25,15.19,15.689,15.809,15.9,15.87,15.825,15.825,15.825,16.021,15.991,15.976,16.112,16.051,16.021,15.915,16.051,15.961,15.522,15.235,15.144,15.129,15.507,15.689,15.93,16.142,16.157,16.218,16.429,16.49,16.626,16.626,16.928,17.276,17.276,17.336,17.26,17.533,17.533,17.729,17.986,17.215,17.306,17.986,18.077,17.381,17.578,17.835,18.137,18.288,19.361,19.845,20.057,19.286,19.497,19.996,19.422,20.298,20.525,20.314,20.676,21.13,21.628,21.356,21.356,21.266,20.933,20.147,20.752,20.782,20.873,20.873,20.283,19.83,19.361,19.089,18.439,18.591,17.396,17.306,17.064,17.124,17.094,17.502,17.563,17.684,17.835,17.26,16.867,17.094,17.502,16.958,16.928,16.973,17.321,17.215,16.973,17.124
s600720,52.573,52.242,51.581,53.4,53.234,54.226,54.309,53.978,54.805,54.722,55.053,54.805,54.97,55.797,54.805,54.64,54.722,55.053,54.97,54.226,54.722,55.136,55.466,56.954,57.202,57.368,57.863,57.202,57.285,58.525,59.351,59.186,58.855,59.269,61.253,61.749,61.997,62.989,66.874,66.543,66.791,66.543,62.741,62.41,63.567,63.319,64.476,69.188,68.692,70.345,72.412,74.561,71.585,71.089,69.932,69.519,70.18,69.106,72.577,73.735,73.983,75.223,75.553,77.124,76.793,74.313,72.991,74.396,72.991,75.057,75.305,74.561,72.743,69.932,69.849,66.956,66.047,64.146,64.476,59.186,60.509,60.013,61.253,63.484,64.807,64.559,65.468,66.626,67.039,66.378,67.535,69.684,69.436,68.362,69.188,69.767,69.436,69.767,65.799
