stock_no,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
s600146,6.66,6.6,6.55,6.71,6.84,6.9,6.81,6.69,6.73,6.48,6.58,6.6,6.59,6.56,6.6,6.38,6.34,6.36,6.19,5.95,5.61,4.92,4.92,5.12,5.6,5.66,5.67,5.7,5.85,6.51,6.43,6.3,6.34,7.66,8.43,7.35,7.23,7.32,7.88,7.65,8.04,8.57,8.57,8.18,8.65,8.61,8.82,8.21,8.56,8.88,8.59,9.48,9.44,9.09,9.28,10.67,11.0,12.8,15.02,16.52,16.7,15.58,14.93,14.56,14.5,14.0,14.45,15.33,13.82,13.74,14.38,14.5,14.41,14.0,13.72,13.54,13.45,13.4,10.98,10.11,9.92,10.3,11.6,11.6,11.7,12.5,12.9,14.72,14.3,14.0,13.72,13.78,13.66,12.8,13.25,13.85,13.62,13.85,13.96
s600217,13.585,13.552,13.29,13.749,13.814,13.912,13.716,13.651,13.912,13.618,13.781,13.749,13.487,13.552,13.912,13.356,13.29,13.192,13.683,13.454,13.487,13.225,12.996,13.29,13.487,13.847,14.043,14.698,15.124,15.287,15.385,15.68,15.353,15.418,16.04,15.877,15.975,16.04,16.04,16.302,16.793,18.986,18.659,17.808,18.332,18.135,17.35,17.284,17.742,18.233,18.43,18.79,18.594,18.463,18.233,18.364,19.641,19.837,20.361,20.656,20.328,20.394,20.492,19.903,19.968,20.492,20.427,20.885,20.689,21.932,23.176,21.54,21.802,23.34,23.406,23.471,22.129,22.358,21.736,20.459,19.15,18.757,19.248,18.79,19.215,19.019,19.805,20.067,20.394,19.903,20.23,20.558,20.819,20.459,20.296,20.59,20.59,21.081,21.016
s600262,20.322,20.228,20.688,20.982,21.913,21.595,21.512,21.677,21.913,21.324,21.559,21.689,21.583,21.512,21.477,21.335,21.548,21.441,22.231,21.3,21.206,21.029,18.555,20.393,20.546,20.911,20.805,20.864,21.041,21.277,21.171,21.96,21.571,22.266,22.773,22.219,22.455,22.502,22.608,22.49,22.773,22.973,23.067,22.466,23.02,23.88,23.656,23.162,23.067,24.139,23.857,24.493,24.669,24.929,26.861,25.906,25.706,25.683,25.977,26.554,27.214,27.096,27.037,26.967,27.308,26.873,26.861,27.615,26.802,26.92,27.473,27.179,28.816,29.217,28.251,27.426,26.448,26.236,26.225,25.082,22.973,22.184,23.326,23.326,23.562,23.338,23.774,23.338,23.374,22.184,22.172,22.702,22.419,22.243,22.62,23.774,23.138,23.491,22.808
s600354,8.339,8.272,8.159,8.633,8.611,8.701,8.678,8.678,8.837,8.814,8.882,8.882,8.904,9.266,9.017,8.927,9.176,9.108,8.882,8.633,8.339,8.046,8.0,8.204,8.565,8.656,8.769,8.814,8.995,9.379,9.65,9.13,9.063,9.243,9.582,9.876,9.695,9.741,9.786,9.808,10.215,10.396,10.758,10.916,11.662,12.611,10.283,10.622,10.712,10.871,11.187,10.916,10.938,10.803,10.938,10.554,10.328,10.238,10.396,10.961,10.78,10.961,11.119,11.164,10.984,11.142,10.848,11.164,10.916,11.074,11.323,11.187,11.21,11.368,10.735,10.938,10.193,9.967,9.379,9.899,9.04,10.373,10.238,10.26,10.396,12.294,11.571,12.43,12.294,13.673,11.707,11.616,12.792,11.729,11.662,11.707,13.085,15.82,17.402
s600425,12.886,12.842,12.58,13.148,13.191,13.585,13.497,13.585,13.759,13.716,13.89,13.934,13.803,14.196,14.021,13.803,13.847,13.803,13.89,13.585,13.672,13.497,13.497,13.672,13.847,14.065,14.196,14.109,14.283,14.502,14.371,14.458,14.196,14.458,15.288,15.725,15.812,16.555,19.525,19.874,20.573,22.189,22.932,21.84,21.753,22.495,20.748,21.796,21.141,21.622,22.495,23.587,21.884,21.229,21.229,21.622,21.316,20.661,21.097,22.102,23.194,23.98,23.194,24.505,23.107,22.714,21.84,22.495,21.84,22.408,22.321,23.544,23.587,22.495,21.491,21.753,19.918,19.918,17.909,17.079,16.074,15.9,16.031,16.118,16.205,16.205,16.467,16.686,18.346,17.079,17.428,17.909,17.428,17.21,17.341,17.69,17.516,17.69,17.254
s600449,21.701,21.354,21.152,21.933,22.049,22.106,22.135,22.02,22.135,22.106,22.396,22.425,22.193,22.598,22.54,22.193,22.367,22.512,22.425,22.164,22.164,22.106,22.077,22.338,22.714,22.946,23.177,23.235,23.119,23.698,23.553,23.582,23.206,23.871,24.74,24.653,24.711,24.971,25.955,25.781,26.331,26.591,25.984,24.74,25.636,25.984,26.013,26.968,27.054,28.588,28.299,29.282,28.385,27.604,27.402,27.17,27.864,26.765,27.575,28.385,28.356,29.022,28.819,30.092,29.398,29.34,28.501,29.282,28.53,29.282,29.022,29.08,29.167,27.893,27.459,27.286,26.331,26.273,25.145,24.305,23.611,23.38,23.524,23.871,24.248,23.785,24.045,24.392,24.913,24.277,24.19,24.942,24.566,24.161,24.334,24.768,24.711,24.74,23.929
s600509,16.741,16.648,16.648,17.209,17.349,17.63,17.63,17.63,17.677,17.817,17.677,17.723,17.63,17.817,17.864,17.63,17.63,17.723,17.49,17.116,16.882,16.648,16.601,16.835,17.256,17.583,17.677,17.77,17.864,18.285,18.191,18.238,20.576,22.634,24.878,23.382,21.465,21.745,22.026,21.932,23.522,23.429,23.288,22.306,23.569,23.382,22.119,22.213,22.727,23.616,24.832,28.619,31.472,26.281,25.814,25.346,25.72,24.878,25.58,26.468,25.86,26.188,26.842,26.234,26.468,26.422,26.328,27.263,26.328,26.234,25.907,26.796,27.31,26.422,28.058,26.889,24.317,23.522,22.26,22.073,20.95,20.763,21.137,21.184,21.511,21.885,24.13,26.562,24.785,24.224,23.242,23.662,23.382,21.605,22.119,22.727,22.727,21.558,23.055
s600545,22.85,22.51,22.572,22.788,22.942,22.973,22.911,22.881,22.788,22.788,22.911,22.695,22.788,22.788,22.788,22.695,22.788,22.757,22.726,22.695,22.634,22.634,22.232,22.788,22.695,22.664,22.788,22.973,23.807,23.961,23.128,23.251,23.189,23.313,23.9,23.838,23.56,24.147,23.961,24.239,24.857,25.166,25.073,23.961,25.042,25.073,24.517,24.455,24.98,25.166,25.413,26.586,26.555,26.092,25.598,25.474,25.629,25.042,25.66,26.308,25.814,26.03,26.092,26.308,26.308,26.895,26.246,26.246,25.567,25.907,25.876,25.66,25.382,25.042,24.826,24.733,24.054,24.332,23.467,22.541,22.387,22.232,22.387,22.572,22.726,21.954,22.788,22.603,22.788,22.387,22.695,22.757,22.479,22.572,22.664,22.85,22.664,22.387,22.572
s600706,15.568,15.356,15.296,15.809,15.885,15.946,15.961,16.127,16.036,15.825,16.082,16.142,16.021,16.127,16.354,16.172,16.172,16.066,16.082,16.082,15.492,15.19,15.265,15.673,15.749,15.991,16.142,16.293,16.218,16.626,16.58,16.777,16.747,17.034,17.502,17.321,17.381,17.548,17.608,17.578,17.865,18.107,18.077,17.351,18.016,18.198,18.092,17.578,17.835,18.53,18.545,19.694,20.601,20.706,20.253,19.664,21.039,19.724,20.298,20.963,20.51,20.676,21.175,21.84,22.052,21.402,21.402,21.764,20.858,20.888,21.054,20.979,21.432,21.583,20.374,20.298,19.301,19.21,18.591,18.364,17.608,17.306,17.381,17.608,17.578,17.744,17.729,17.925,18.137,17.215,17.306,17.517,17.563,17.019,17.064,17.442,17.351,17.109,17.306
s600720,53.648,52.986,52.16,53.73,53.813,54.557,54.557,54.557,55.136,54.97,55.136,55.384,55.136,56.954,56.21,54.888,55.384,55.053,55.384,55.136,55.384,55.384,55.714,56.954,57.863,57.781,58.111,58.029,57.285,59.103,60.343,59.682,59.186,59.93,61.831,62.658,62.162,62.989,68.031,67.783,67.783,67.535,66.46,62.41,64.559,64.724,64.476,73.239,69.188,71.585,73.735,76.876,74.065,71.337,71.751,70.759,72.081,70.593,72.577,74.396,74.561,76.876,76.545,80.182,78.777,76.958,74.809,75.636,73.487,76.049,76.214,76.793,74.975,72.908,70.676,70.428,67.122,66.047,64.807,63.484,60.591,60.343,61.335,63.815,65.22,65.055,66.13,66.956,68.114,67.948,67.948,70.676,70.345,69.436,69.932,71.668,69.684,71.503,67.37
s600738,29.364,28.73,27.198,28.677,29.364,30.103,31.952,33.272,32.691,32.744,32.744,33.325,34.698,35.279,35.332,36.705,39.081,36.599,37.761,37.074,36.969,37.919,38.183,40.613,41.669,41.246,42.831,43.834,44.098,44.204,43.253,43.834,42.514,42.725,43.359,45.366,48.535,47.214,49.961,48.482,49.168,55.453,45.894,43.306,41.88,41.88,39.028,37.919,39.556,41.933,41.352,41.141,40.771,39.451,39.345,39.451,42.091,40.982,41.616,43.042,43.465,43.729,43.306,41.986,44.257,46.264,46.633,46.369,46.475,47.531,47.003,49.485,54.238,50.436,49.116,50.119,46.105,47.161,45.894,43.306,40.877,39.609,39.821,40.401,40.401,41.722,42.567,45.049,44.31,42.356,42.303,42.356,41.035,41.669,40.93,42.039,43.517,42.778,42.778
