stock_no,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31
s600146,6903700.0,15571800.0,17411600.0,17478100.0,14719200.0,17823800.0,11267200.0,19680200.0,16698100.0,10279400.0,9632400.0,11917700.0,9620100.0,9410300.0,12491300.0,9572900.0,7557200.0,11655500.0,12497600.0,15000600.0,14372200.0,15760200.0,13847700.0,16698900.0,21955900.0,16909500.0,17105000.0,23215500.0,33302700.0,33814600.0,20338600.0,23604100.0,33332400.0,5306100.0,61836200.0,36685600.0,18732200.0,37246000.0,36856200.0,28387100.0,43405000.0,46958300.0,35817900.0,20333400.0,28541200.0,32341200.0,21812900.0,20063900.0,22303900.0,18527700.0,41090000.0,52156800.0,24105600.0,21654900.0,43311400.0,52888800.0,58388400.0,72248500.0,21778800.0,36673000.0,112218800.0,73803400.0,60837200.0,46690000.0,42077400.0,75683900.0,59723300.0,45537900.0,29374000.0,28023200.0,30668200.0,20753300.0,18145900.0,21074200.0,13524500.0,16676900.0,18137800.0,10163800.0,20299900.0,11794300.0,15204400.0,26322300.0,17737500.0,15296000.0,23218900.0,28522400.0,31181000.0,25636900.0,23417000.0,15996900.0,10956200.0,11496300.0,9889900.0,11963600.0,19227900.0,14600400.0,11311800.0,16216500.0,20506100.0
s600217,1555200.0,1807600.0,2482200.0,2737000.0,1900900.0,3853400.0,2585700.0,2916300.0,2887000.0,3039200.0,2765100.0,3142400.0,5478600.0,6656200.0,5841100.0,4371100.0,3555800.0,2666800.0,13540100.0,9389400.0,5375500.0,6007800.0,4751200.0,4863700.0,8986800.0,11443300.0,13941300.0,12528200.0,8879500.0,10222200.0,11639600.0,11405600.0,7629500.0,16409600.0,12612000.0,6296200.0,5142300.0,4421300.0,11043500.0,9338000.0,26049400.0,32650400.0,20472000.0,13668000.0,15167600.0,14742400.0,9280500.0,8504600.0,5845100.0,9819900.0,12091700.0,11600000.0,9255600.0,6589900.0,9659600.0,23495900.0,17471700.0,15845500.0,15353600.0,9334500.0,9857700.0,7905400.0,6894200.0,5019000.0,9891100.0,10298100.0,5860100.0,13669400.0,18385300.0,23085600.0,24841000.0,13873200.0,22894700.0,28372500.0,12424300.0,12417900.0,9386600.0,20057400.0,10821100.0,16681800.0,15808200.0,9579200.0,10536100.0,9305800.0,4932000.0,8673200.0,7744800.0,6802200.0,4990200.0,6977000.0,5518500.0,5193500.0,4220500.0,4875800.0,5891000.0,3906500.0,6606900.0,4531700.0,4193100.0
s600262,225100.0,491800.0,488300.0,827500.0,554600.0,538000.0,399800.0,285300.0,141100.0,229200.0,350300.0,277400.0,144300.0,178600.0,163600.0,214700.0,210500.0,491000.0,451800.0,417800.0,955000.0,741600.0,1346800.0,650700.0,516400.0,1309500.0,697200.0,423200.0,1289400.0,1229500.0,1943700.0,1081200.0,948300.0,2991500.0,1997900.0,1954400.0,1005400.0,1095800.0,2161000.0,2241100.0,3156400.0,3804000.0,2516000.0,2190100.0,4148400.0,3171400.0,1985700.0,1216800.0,2327100.0,1624700.0,2961100.0,4103900.0,3262800.0,6018900.0,4392200.0,2331100.0,1638200.0,2471200.0,3538200.0,3477700.0,2166900.0,2388200.0,1568900.0,2729000.0,2524800.0,2441000.0,2556600.0,2759300.0,1471900.0,1797200.0,3028800.0,5787400.0,4166700.0,4180400.0,2134400.0,1618600.0,1345600.0,941200.0,1336800.0,1377500.0,866100.0,3280500.0,525100.0,1200300.0,564500.0,677500.0,536300.0,751100.0,1516200.0,771600.0,551000.0,324800.0,451300.0,401500.0,1207700.0,3294300.0,1318500.0,741200.0,580200.0
s600354,3047600.0,2447600.0,4899400.0,4867700.0,3829400.0,4754200.0,3649700.0,6884800.0,4795700.0,4272300.0,3250400.0,4619800.0,5370200.0,7911900.0,6284200.0,26651300.0,19445000.0,11887300.0,5982400.0,6586500.0,4119000.0,6259300.0,3490700.0,5767600.0,5552200.0,9612300.0,8234800.0,15247800.0,17035700.0,17621600.0,36688800.0,21475400.0,11163400.0,20917800.0,29293100.0,19871600.0,11051200.0,12150100.0,20093900.0,24099000.0,23533200.0,29044100.0,30800600.0,23517500.0,27594700.0,60123600.0,28045900.0,14887000.0,13444900.0,10163300.0,32985500.0,16783100.0,24648300.0,14254000.0,12055600.0,10867700.0,7965400.0,10869700.0,13324000.0,10637600.0,9369100.0,12891900.0,17274000.0,11186900.0,11950600.0,11199000.0,11404200.0,11252800.0,13939800.0,18162200.0,16214800.0,12204700.0,20325100.0,22331700.0,12317000.0,12771000.0,13211600.0,10033000.0,6825800.0,28083400.0,42420000.0,53956800.0,50600300.0,55196500.0,58863800.0,98555100.0,81869100.0,77878000.0,116359000.0,86865400.0,59424800.0,60463500.0,80757600.0,60635000.0,49625000.0,104905600.0,93267100.0,12374600.0,153380800.0
s600425,7159300.0,6212400.0,12531500.0,17045600.0,34198800.0,20894000.0,11313000.0,18505500.0,23456900.0,14470700.0,11949100.0,12602700.0,29014100.0,26243200.0,14218200.0,10467400.0,11077400.0,11636400.0,15435000.0,26263700.0,24484300.0,13486200.0,10354300.0,18186400.0,22738800.0,23257300.0,20911300.0,21658800.0,26849700.0,27845800.0,23764300.0,26086000.0,24881600.0,74434700.0,83614600.0,54417300.0,58803300.0,69811300.0,90403100.0,271703100.0,236704500.0,239486300.0,177595600.0,123927500.0,131449600.0,97825700.0,111642800.0,66974500.0,99250800.0,97815200.0,184352900.0,206041300.0,103265500.0,58629500.0,54717400.0,64174700.0,45843700.0,58889000.0,70778500.0,146619600.0,138901800.0,124318000.0,110833700.0,96745200.0,62943000.0,64195400.0,31049500.0,36284400.0,35020000.0,37797700.0,111593200.0,75256300.0,69680000.0,58008100.0,28892300.0,56078600.0,29959600.0,43158200.0,39086500.0,41694500.0,30029800.0,30472300.0,25983100.0,38523800.0,31229500.0,26458600.0,26895900.0,55689500.0,68422300.0,35706800.0,37227900.0,28775500.0,22159100.0,17003300.0,20227700.0,23816500.0,20126400.0,21890400.0,16770300.0
s600449,2090300.0,2278000.0,3593600.0,3464000.0,5617700.0,4566300.0,5203800.0,6634800.0,4816800.0,5676400.0,3688500.0,5474000.0,6844700.0,5332000.0,3546000.0,2715400.0,3477500.0,3451800.0,4021200.0,5704700.0,5245700.0,3392800.0,4300500.0,6635300.0,7638100.0,8720800.0,5446400.0,5634200.0,11585900.0,8204300.0,5000100.0,9199700.0,9605600.0,13257900.0,16849600.0,12622600.0,10433400.0,26343000.0,23661600.0,14136000.0,19467300.0,15906200.0,17339900.0,10600000.0,12063600.0,11613800.0,42070000.0,26076500.0,27694700.0,21591200.0,38131100.0,32757800.0,18979000.0,12575900.0,10735300.0,15167100.0,10777600.0,15280300.0,19071400.0,17440700.0,17487400.0,21366800.0,28759100.0,17954500.0,12929500.0,12389300.0,6920300.0,8518700.0,7411400.0,8906800.0,12375000.0,9261200.0,10520100.0,9090400.0,5029600.0,7476600.0,5347600.0,8400800.0,4997800.0,8004400.0,3904800.0,3460100.0,4396400.0,6053000.0,3489600.0,2254700.0,3640000.0,7939500.0,4737000.0,2547400.0,4163800.0,2801100.0,3246200.0,1873000.0,2760700.0,2866400.0,2535900.0,3300400.0,3531400.0
s600509,1551600.0,1465500.0,2828300.0,3935000.0,6153800.0,3733000.0,2955900.0,2669400.0,4975800.0,5731400.0,3517500.0,4433400.0,5664400.0,3573200.0,3271300.0,3093300.0,2959600.0,2599700.0,3032400.0,3198400.0,2026800.0,3603200.0,2671600.0,2865600.0,4076300.0,4878500.0,3768300.0,3734800.0,7264500.0,6433600.0,5703800.0,16746000.0,20569800.0,4187000.0,103867000.0,58798400.0,37813100.0,29619100.0,41267600.0,47320300.0,43047900.0,40744600.0,32184400.0,20005500.0,28339300.0,18304200.0,13933800.0,12495100.0,25111200.0,18656100.0,14881100.0,5427500.0,143705700.0,76340700.0,38641700.0,43110800.0,28875200.0,22305100.0,29194000.0,27403800.0,20915800.0,39746300.0,24957900.0,33788100.0,25868700.0,20695700.0,18106300.0,16946100.0,25258700.0,19396600.0,22282900.0,31132400.0,23528500.0,26490800.0,51655900.0,41764900.0,19063000.0,18659400.0,9651100.0,13530400.0,8854000.0,9685100.0,7055600.0,14132200.0,14028000.0,8758500.0,5562000.0,74277600.0,66180000.0,36017600.0,30687200.0,24684200.0,24626500.0,12073900.0,15109600.0,17846600.0,13054000.0,26870300.0,19703600.0
s600545,6445100.0,4285700.0,3130100.0,4310100.0,3612200.0,2634400.0,2092100.0,2910800.0,2777400.0,1750000.0,1701300.0,2458600.0,2919800.0,1972400.0,2636100.0,1881400.0,1658900.0,1166800.0,2463600.0,2461400.0,3611800.0,1678700.0,2900200.0,2509600.0,2091700.0,4097400.0,4309000.0,9292300.0,10833500.0,11762700.0,6479600.0,8966800.0,5330000.0,17964100.0,20896800.0,14178600.0,19417000.0,13950800.0,23463000.0,18939600.0,20161800.0,20080100.0,19011200.0,14979000.0,19098200.0,15838700.0,10329900.0,11606800.0,13087500.0,12256100.0,38080500.0,23127100.0,13487600.0,13166500.0,12788300.0,8490000.0,7824000.0,8536300.0,12593000.0,10733900.0,9515600.0,11383500.0,13602700.0,14728000.0,15548900.0,10234600.0,5860000.0,7186200.0,7268900.0,6365600.0,5242900.0,12948100.0,5673100.0,5614500.0,4030700.0,7086600.0,6039000.0,6131100.0,3713100.0,7486400.0,5684700.0,5182400.0,5387700.0,6550800.0,4492700.0,6446900.0,4400800.0,4854800.0,6745700.0,4169700.0,3317700.0,3169100.0,8126200.0,4033300.0,3609500.0,2495700.0,2537300.0,4969900.0,1766300.0
s600706,1252000.0,959600.0,1469000.0,1793600.0,1066400.0,1677100.0,1199600.0,1306500.0,860200.0,1011900.0,1334600.0,1935200.0,1191400.0,1522700.0,1143600.0,843100.0,1429800.0,1306200.0,1233100.0,1145400.0,1364700.0,1490900.0,1139100.0,1579500.0,1709500.0,2128400.0,1786200.0,1287400.0,2182100.0,2303600.0,2153300.0,2506700.0,2184500.0,3964900.0,4050300.0,3468600.0,2510000.0,2599200.0,3520100.0,4007900.0,4023000.0,3463900.0,4051500.0,2686800.0,4079900.0,5511900.0,3870400.0,2230100.0,3661400.0,3465300.0,11326400.0,16997200.0,17753400.0,11584900.0,9692100.0,13535000.0,10520100.0,7673100.0,8767700.0,8129900.0,5607800.0,8054300.0,11780000.0,9403900.0,6389200.0,4686400.0,2853500.0,3666600.0,3265100.0,3003900.0,2354800.0,2298000.0,6655300.0,4826100.0,3028400.0,2984300.0,2151200.0,2181000.0,1531200.0,2493900.0,1409800.0,1374100.0,1068200.0,2020400.0,1715100.0,1263400.0,1341800.0,1395600.0,1911000.0,1265000.0,1155300.0,921800.0,1325300.0,708800.0,1079800.0,1069200.0,877200.0,896100.0,673700.0
s600720,4116500.0,6202200.0,7871000.0,9148600.0,15910800.0,9318400.0,4683900.0,7152200.0,5883600.0,6849200.0,5862800.0,5492700.0,14399800.0,8039500.0,6779900.0,3636600.0,5094200.0,6123700.0,7816800.0,11391700.0,7149800.0,8467500.0,10223000.0,11606500.0,12648600.0,17321800.0,14013900.0,10696600.0,20140900.0,25355500.0,15158700.0,15746600.0,12477800.0,26651900.0,31274100.0,18176900.0,15668300.0,49890900.0,42955400.0,22062900.0,27512000.0,31601400.0,28894400.0,24714300.0,25042300.0,21078800.0,112091300.0,98043600.0,84407900.0,74449900.0,96533700.0,67721600.0,45100100.0,34927100.0,27691300.0,37821500.0,27481900.0,29821100.0,53885900.0,47463300.0,43256800.0,60655700.0,65532100.0,53787800.0,42832900.0,30916100.0,24407500.0,25922500.0,20496100.0,20769300.0,40034700.0,25507100.0,37369300.0,24219300.0,14243100.0,23911900.0,14146100.0,15839100.0,10716100.0,21541300.0,15674600.0,12483700.0,17106600.0,15242000.0,10857300.0,7082400.0,7939100.0,19408200.0,14427500.0,9025400.0,19656800.0,8192000.0,7439400.0,8286700.0,11007900.0,9702000.0,10581800.0,9053600.0,11744700.0
