stock_no,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10
s600146,5.53,5.54,5.66,5.69,5.85,6.44,6.43,6.34,6.33,6.96,7.66,7.59,7.23,7.24,7.83,7.79,8.05,8.56,9.15,8.24,8.57,8.56,8.89,8.21,8.45,8.71,8.44,9.28,9.6,9.32,9.32,10.25,11.28,12.41,13.65,15.02,16.52,16.04,15.48,14.63,14.67,14.01
s600217,13.454,13.847,14.109,14.698,14.993,15.353,15.353,15.778,15.189,15.32,16.073,15.942,15.942,16.04,16.04,16.335,16.662,18.332,19.117,17.841,18.397,18.364,17.579,17.35,17.742,18.004,18.495,18.757,18.659,18.692,18.233,18.266,19.576,19.837,20.165,20.558,20.296,20.263,20.492,19.936,20.001,20.492
s600262,20.523,20.735,20.817,20.923,20.864,21.324,21.147,21.96,21.748,22.089,22.761,22.431,22.325,22.502,22.337,22.49,22.737,23.008,23.515,22.796,22.973,23.915,23.739,23.103,23.079,24.139,23.88,24.457,25.023,25.482,26.943,25.565,25.859,25.6,26.036,26.566,27.085,27.002,26.814,26.743,27.037,27.096
s600354,8.52,8.588,8.769,8.859,8.972,9.356,9.334,9.356,9.108,9.176,9.582,9.944,9.718,9.741,9.763,9.854,10.238,10.441,10.938,10.848,11.436,11.458,11.277,10.712,10.645,10.893,10.848,11.029,11.074,11.164,10.938,10.532,10.486,10.283,10.396,10.848,10.825,10.938,11.051,11.232,11.006,11.142
s600425,13.89,14.109,14.152,14.152,14.196,14.545,14.371,14.545,14.24,14.371,15.375,15.725,15.856,16.118,17.734,19.525,21.491,22.408,24.636,22.189,21.709,22.539,21.054,21.36,21.229,21.709,22.102,23.587,22.67,21.796,21.141,21.316,21.665,20.704,21.054,21.796,23.238,23.98,23.063,24.111,23.456,22.976
s600449,22.772,22.946,23.293,23.293,23.177,23.582,23.582,23.582,23.264,23.756,24.711,24.855,24.653,24.826,25.839,26.099,26.302,26.533,26.302,24.537,25.521,25.897,25.926,27.228,27.257,28.154,28.009,29.138,28.53,27.893,27.344,27.141,28.096,27.054,27.546,28.385,28.501,28.935,28.79,30.353,29.658,29.34
s600509,17.209,17.583,17.77,17.723,17.723,18.238,18.238,18.191,18.706,20.576,22.634,24.878,22.4,21.839,22.026,22.26,23.522,23.709,23.99,21.979,22.868,23.335,22.447,22.166,22.54,23.616,23.616,26.001,28.619,28.994,26.141,25.065,26.375,24.925,25.252,26.281,25.954,26.047,26.749,26.328,26.889,26.609
s600545,22.726,22.726,22.788,22.973,23.776,23.869,23.313,23.22,23.158,23.251,23.869,23.653,23.467,24.116,23.9,24.177,24.672,25.073,25.258,23.992,24.764,24.98,24.733,24.301,24.857,25.258,25.227,26.864,26.555,26.432,25.66,25.351,25.814,25.166,25.66,26.185,25.968,25.999,26.061,26.339,26.648,26.895
s600706,15.749,16.036,16.263,16.293,16.233,16.611,16.55,16.777,16.762,16.943,17.502,17.472,17.351,17.472,17.472,17.593,17.88,18.213,18.303,17.291,17.85,18.198,18.288,17.563,17.835,18.379,18.545,19.8,20.631,21.039,20.54,19.633,21.205,20.177,20.268,20.858,20.676,20.706,21.115,21.855,22.157,21.628
s600720,58.029,57.781,58.359,58.194,57.285,58.855,60.343,59.682,59.269,59.599,62.079,62.989,62.327,62.906,67.37,67.618,67.783,68.114,67.37,62.741,64.394,64.807,64.394,70.841,69.767,72.247,74.975,75.718,74.561,72.577,71.337,70.263,73.404,70.428,72.081,74.231,74.975,76.462,75.718,79.934,78.281,76.958
