stock_no,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10
s600146,5.53,5.88,5.83,5.79,5.93,6.44,6.58,6.45,6.53,6.96,7.66,8.43,7.58,7.4,7.96,8.15,8.13,8.78,9.31,9.07,8.7,8.88,9.07,8.83,8.7,8.98,8.94,9.28,10.11,9.69,9.57,10.25,11.28,12.41,13.65,15.02,16.52,17.88,16.44,15.32,14.97,14.56
s600217,13.487,14.011,14.24,15.025,15.909,15.484,15.746,15.778,15.68,15.353,16.171,16.564,16.171,16.237,16.204,16.728,16.728,18.332,20.132,18.921,18.43,18.757,18.332,17.611,17.906,18.07,18.921,18.888,18.921,18.823,18.495,18.692,19.706,20.361,20.787,20.885,20.885,20.558,20.59,20.492,20.23,20.721
s600262,20.676,20.794,20.958,21.064,20.97,21.347,21.43,21.995,22.007,22.384,23.209,22.773,22.82,22.525,22.655,22.914,22.973,23.091,23.857,23.232,23.02,24.269,24.552,23.692,23.539,24.245,24.139,24.457,25.742,25.647,27.921,27.049,26.013,26.448,26.507,26.837,27.273,27.214,27.214,27.155,27.685,27.65
s600354,8.543,8.678,8.882,8.95,9.266,9.379,9.447,10.125,9.356,9.198,9.582,9.944,9.967,9.854,9.854,9.989,10.351,10.69,11.006,11.594,11.436,11.729,12.611,10.961,10.825,10.893,10.961,11.594,11.164,11.413,11.232,11.074,10.645,10.509,10.441,10.848,11.006,10.984,11.119,11.39,11.164,11.187
s600425,13.934,14.109,14.24,14.371,14.371,14.545,14.72,14.633,14.633,14.371,15.594,16.598,16.293,16.162,17.734,19.525,21.491,23.544,24.636,24.242,22.495,22.539,22.495,22.452,22.015,22.058,22.495,23.98,25.203,22.539,21.753,21.578,21.796,21.447,21.054,22.058,23.937,24.461,24.548,24.155,24.81,23.675
s600449,22.801,23.09,23.409,23.466,23.38,23.611,23.756,23.669,23.756,23.843,24.884,25.694,25.174,25.058,26.533,26.476,26.331,26.533,26.62,25.984,25.521,26.186,26.273,28.096,27.691,28.472,28.588,29.861,29.832,28.385,28.009,27.893,28.125,27.951,27.604,28.704,28.877,29.022,29.716,30.353,30.092,29.832
s600509,17.256,17.583,17.817,17.864,18.051,18.331,18.472,18.331,18.846,20.576,22.634,24.878,24.037,22.447,22.306,22.634,23.99,24.364,24.224,23.803,22.868,23.803,23.429,22.774,22.961,23.803,23.99,26.001,28.619,31.472,27.544,26.094,26.422,26.141,25.673,26.422,26.609,26.141,27.357,27.17,27.591,27.217
s600545,22.788,22.757,22.85,23.004,24.177,24.085,23.961,23.529,23.436,23.282,24.054,23.961,23.869,24.486,24.301,24.795,24.795,25.073,25.876,25.073,24.857,25.505,25.474,24.857,24.98,25.289,25.567,27.759,27.296,26.802,26.215,26.215,25.876,25.752,25.69,26.401,26.37,26.123,26.215,26.833,26.833,27.234
s600706,15.764,16.097,16.338,16.354,16.308,16.626,16.716,16.837,16.867,16.958,17.563,17.835,17.684,17.608,17.623,17.865,17.91,18.228,18.364,18.137,17.91,18.379,18.938,18.288,17.956,18.47,18.545,20.177,21.281,21.764,21.296,20.404,21.447,21.039,20.374,21.084,21.084,20.873,21.296,22.369,22.671,22.052
s600720,58.029,58.277,58.525,58.855,58.359,59.021,60.509,60.343,60.591,59.847,62.245,64.724,63.319,63.567,69.106,69.188,67.948,68.692,67.948,66.46,64.559,65.551,64.972,70.841,73.239,73.404,75.801,78.777,78.198,74.231,73.073,72.329,73.487,73.321,72.329,75.223,75.884,76.876,79.19,79.934,80.761,80.182
s600738,42.091,41.669,43.676,44.732,44.732,44.574,44.204,44.046,43.834,42.989,43.676,47.161,48.059,49.221,47.69,49.961,49.274,54.08,59.467,49.063,43.465,42.408,41.88,39.451,39.504,41.827,43.095,41.405,41.194,40.771,39.873,40.137,43.465,42.461,41.986,43.781,43.781,43.834,44.046,43.517,44.626,47.32
s600778,13.525,13.731,13.76,13.79,13.819,14.054,14.084,14.143,14.231,14.143,14.584,14.642,14.819,14.701,15.231,15.172,15.231,15.966,16.612,16.083,16.024,16.054,15.73,15.231,15.025,15.466,15.583,15.877,16.113,16.113,16.848,16.877,16.318,16.465,16.377,16.818,17.2,17.847,18.377,18.377,18.935,18.994
s600785,75.219,75.495,76.323,76.277,76.968,78.119,78.257,79.362,78.625,78.579,81.939,81.985,81.801,81.249,83.228,84.701,83.136,84.011,84.701,83.551,83.274,83.735,83.32,82.63,89.627,86.036,84.379,82.952,82.952,83.044,82.354,81.847,79.914,81.203,81.847,83.274,83.044,84.011,83.873,83.689,84.609,84.655
s600967,38.821,39.476,40.17,40.17,40.054,42.599,43.601,43.948,45.644,43.755,45.953,46.415,47.032,46.068,45.297,46.531,47.225,48.227,47.148,46.261,45.683,47.071,47.533,46.454,44.526,44.912,46.57,46.146,46.107,46.917,49.962,48.806,47.032,46.801,46.647,48.767,49.885,49.114,50.887,50.54,49.307,48.343
s600984,8.311,8.229,8.408,8.408,8.449,8.298,8.27,8.16,8.16,8.091,8.477,8.422,8.325,8.215,8.242,9.042,9.221,9.125,9.304,8.876,8.876,9.18,8.849,8.752,8.849,9.207,9.4,9.579,9.635,9.469,9.29,9.635,9.4,9.304,9.304,9.455,9.469,9.524,9.869,9.786,9.841,10.172
s000159,9.185,9.358,9.488,9.445,9.466,10.03,9.878,9.791,9.9,9.921,10.376,10.593,11.026,10.593,10.463,11.416,10.961,11.243,12.131,11.676,11.481,11.784,12.521,13.019,14.319,15.749,17.33,19.063,20.969,23.07,25.388,23.829,25.15,27.295,23.504,23.374,24.673,24.89,23.569,25.193,27.706,30.479
s000498,10.83,11.073,11.073,11.155,11.337,11.256,11.358,11.277,11.459,11.155,11.866,12.902,12.313,12.313,12.455,13.085,12.658,12.496,12.719,12.374,11.927,12.171,13.004,12.333,12.516,12.963,13.288,12.943,13.227,12.943,12.78,12.678,12.414,12.313,12.394,12.699,12.861,13.288,13.004,13.024,13.207,12.902
s000564,6.596,6.767,6.889,6.889,6.937,7.231,7.377,7.646,7.279,7.279,8.012,8.696,8.721,8.745,8.525,8.916,8.794,9.258,9.625,9.698,9.136,9.429,9.234,8.916,8.696,8.818,8.989,9.307,9.942,9.576,9.6,9.551,9.283,9.063,8.941,9.502,9.478,9.771,10.113,9.673,10.064,10.186
s000610,16.464,16.668,16.851,17.693,17.26,17.579,18.012,17.875,18.786,18.786,20.221,19.629,19.993,19.401,19.105,19.515,20.198,20.221,21.132,19.993,19.56,20.448,22.088,21.04,20.676,21.633,22.065,23.044,25.344,27.872,30.65,33.724,37.094,40.305,37.14,37.299,37.572,35.227,35.227,36.16,39.075,42.741
s000635,24.476,24.953,25.073,25.162,25.431,25.789,25.909,25.879,26.058,25.968,27.073,27.699,27.371,27.491,27.699,28.177,28.088,29.222,29.819,29.073,29.819,31.878,30.863,29.58,29.162,29.729,29.759,31.819,30.744,30.416,31.013,30.416,29.401,30.356,30.266,30.625,31.64,31.222,32.684,34.624,32.684,32.684
s000672,27.026,27.026,27.352,27.145,26.938,27.234,27.411,27.293,27.352,27.056,28.122,29.75,29.098,28.98,30.49,31.023,30.519,30.667,30.46,29.957,29.454,30.046,30.934,32.858,32.858,32.71,32.651,33.272,33.568,33.035,32.118,32.266,34.427,35.463,33.835,35.818,36.647,39.311,39.933,42.212,43.514,43.485
s000721,12.967,13.161,13.225,13.419,13.452,13.614,13.678,13.646,13.84,13.872,14.39,14.519,14.713,14.487,14.616,14.681,14.939,15.133,15.489,15.004,15.424,15.327,16.491,15.133,15.36,16.006,16.006,17.009,18.723,19.951,20.016,19.402,20.275,21.245,19.531,20.695,22.506,20.663,21.018,20.824,22.15,22.183
s000779,13.389,13.526,13.708,13.799,13.784,14.103,13.982,14.361,14.377,14.422,14.969,14.893,14.878,14.878,14.863,14.985,14.969,15.547,15.623,15.38,15.045,15.957,15.668,15.41,15.577,16.398,16.687,17.112,16.991,17.249,18.845,18.51,18.754,20.288,20.304,19.984,20.03,19.924,19.863,21.2,21.611,20.516
s000812,22.081,22.541,22.886,23.519,22.656,24.036,23.979,23.634,24.611,24.151,26.566,27.716,28.981,27.774,27.314,29.729,30.476,29.786,29.556,27.946,27.314,27.889,28.464,28.349,27.889,28.176,28.119,27.716,30.304,29.441,29.441,28.694,28.004,27.544,27.659,28.291,28.636,28.521,28.636,29.326,29.269,28.521
s000862,8.462,9.316,10.247,11.276,12.401,13.643,14.051,14.439,15.701,15.177,15.507,14.789,12.984,12.712,13.508,13.896,14.75,15.778,17.35,19.078,17.37,16.302,15.39,14.206,13.993,14.109,14.226,14.342,14.886,14.206,13.449,13.314,13.314,12.906,12.654,13.352,14.09,13.469,13.411,13.255,13.508,13.488
s000877,39.891,39.654,39.465,39.37,39.181,40.08,40.222,39.938,39.796,39.228,41.216,43.818,43.25,43.629,47.32,51.91,50.585,50.585,51.91,49.922,49.165,49.639,48.881,51.105,50.064,53.282,54.039,58.487,64.166,61.374,57.541,57.494,57.778,57.115,56.311,59.765,61.374,61.279,63.693,63.503,64.166,63.125
s000929,10.607,10.759,11.2,11.098,11.013,11.386,11.403,11.369,11.606,11.573,12.2,12.369,12.42,12.318,12.572,12.589,12.759,12.826,13.555,13.131,13.081,13.335,13.25,13.098,13.098,13.538,13.47,13.877,15.216,13.962,13.809,13.843,13.555,13.674,13.623,14.013,14.267,14.572,15.08,15.927,15.148,15.148
s000982,15.8,15.8,15.8,15.929,15.8,16.318,16.318,16.318,16.447,16.318,16.836,17.224,17.742,17.613,17.483,17.742,17.483,18.26,19.167,20.073,19.296,19.944,19.167,18.519,18.26,18.649,18.908,18.908,19.685,20.721,21.109,22.145,21.368,20.462,20.073,20.721,20.721,21.498,22.275,21.627,21.368,22.275
s002207,10.674,10.407,10.325,10.386,10.325,10.468,10.489,10.571,11.105,11.064,11.536,12.09,12.008,12.336,12.952,13.28,13.712,13.363,13.239,13.157,13.26,13.342,13.034,12.891,12.665,13.075,13.116,13.424,13.486,13.691,13.527,13.732,13.424,13.445,13.712,14.389,15.107,15.867,15.313,15.436,14.882,14.82
s002302,38.536,39.553,39.959,39.919,39.919,41.26,41.504,41.423,42.479,41.748,43.862,47.764,46.26,45.853,49.918,50.0,49.715,49.593,49.187,48.333,49.593,51.138,50.366,52.032,50.975,55.325,60.203,63.74,70.122,68.699,64.878,62.479,64.024,62.52,60.447,63.333,63.902,63.943,65.772,65.406,67.723,68.414
s002307,23.689,24.569,24.402,24.36,24.402,24.695,25.072,24.905,25.324,24.863,26.037,28.259,27.211,27.211,28.888,29.978,29.978,29.978,29.978,29.978,29.978,29.978,29.978,29.978,29.978,29.978,31.529,34.674,38.154,41.969,44.023,39.411,39.034,38.028,36.267,37.147,38.531,39.747,40.25,40.376,41.089,40.585
s300103,40.015,40.826,41.028,41.281,40.978,41.889,42.193,41.991,42.902,42.092,44.321,47.613,45.182,45.587,49.538,54.502,53.793,53.438,52.425,51.159,49.386,50.601,51.665,50.044,48.93,53.539,58.908,64.784,71.268,66.861,61.238,60.479,64.683,62.251,58.655,60.225,60.58,64.581,67.671,69.495,69.9,69.343
s300345,15.209,15.425,15.683,15.683,16.286,16.459,16.717,16.933,17.019,16.674,17.579,18.268,19.216,21.155,21.026,21.327,21.241,21.241,23.353,25.636,24.645,25.205,23.826,21.974,21.801,21.586,21.931,21.888,21.629,22.663,23.439,23.094,21.801,21.629,21.672,22.749,23.051,22.577,22.62,22.577,22.792,24.731
s600017,9.503,9.6,9.665,9.892,9.795,9.957,10.022,9.924,9.989,9.989,10.573,11.06,10.833,10.735,10.703,10.865,10.8,10.995,11.319,11.027,11.124,11.222,11.027,10.8,10.865,11.027,11.222,11.351,11.351,11.838,11.578,11.838,12.065,12.681,11.968,12.324,12.422,12.292,12.487,12.26,12.162,12.033
s600242,10.778,11.68,11.6,11.89,11.75,11.72,12.331,12.141,12.261,11.96,12.521,12.391,12.261,12.321,13.323,13.283,14.404,15.276,14.895,15.286,15.276,15.456,14.905,14.044,13.413,13.623,13.854,13.783,13.904,13.693,13.253,13.202,12.431,12.381,13.182,13.303,13.253,13.142,13.172,12.962,12.862,12.792
s600368,7.764,7.838,7.912,7.937,7.912,7.986,8.06,8.036,8.257,8.134,8.504,8.8,8.603,8.578,8.553,8.75,8.726,8.874,9.046,8.948,8.75,9.219,9.145,8.874,8.948,9.613,9.268,9.589,9.613,9.539,9.515,9.465,9.243,9.515,9.589,9.712,9.687,9.662,10.599,10.377,10.229,10.18
s600428,16.288,16.531,16.822,16.968,16.92,17.309,18.427,17.746,17.795,17.649,18.67,19.594,19.448,19.156,19.205,19.691,19.351,19.934,20.566,20.129,19.983,20.615,20.129,19.74,19.885,20.031,20.372,20.566,20.663,21.15,21.052,20.761,20.518,22.316,20.566,22.511,22.9,23.921,23.678,22.608,22.316,22.219
s600436,476.267,496.337,508.874,512.363,515.598,540.016,542.442,534.859,530.158,529.197,538.398,560.136,539.763,538.903,549.317,553.21,543.453,542.442,537.892,528.742,525.759,534.0,528.287,527.832,530.208,566.202,567.163,560.136,555.94,553.564,555.94,550.531,571.308,578.79,593.906,595.018,588.648,595.018,600.579,610.386,610.134,627.12
s600515,9.001,9.155,9.251,9.328,9.308,9.732,9.962,9.885,9.905,9.847,10.712,11.289,11.251,11.155,11.02,11.27,11.386,12.328,12.116,11.77,11.155,11.462,11.636,12.039,12.27,12.597,12.597,12.732,12.924,12.77,12.539,12.443,11.847,11.482,11.405,11.809,12.424,12.328,12.674,12.405,12.578,13.79
s600712,18.172,18.618,18.916,18.817,19.016,19.413,19.611,19.711,19.909,19.76,20.753,21.051,22.243,21.746,21.746,21.995,21.895,22.739,24.229,23.434,24.08,23.981,23.981,23.385,23.335,24.725,24.08,24.278,25.222,25.768,24.973,24.378,23.285,23.931,23.633,24.229,24.626,25.222,25.718,25.768,25.619,27.257
s600717,97.616,98.781,99.04,100.723,100.464,101.241,103.053,101.37,101.5,101.241,105.772,110.692,109.527,108.491,109.009,110.821,111.08,111.986,115.741,111.728,111.728,113.022,112.375,110.303,109.268,111.08,112.245,113.669,114.446,118.978,116.129,117.165,115.223,117.165,116.0,120.143,119.107,121.696,127.393,122.861,121.308,120.272
s600798,20.723,21.029,21.212,21.457,21.457,21.579,21.884,21.701,21.762,21.701,22.801,23.413,23.229,23.046,23.29,23.902,23.657,24.33,24.941,24.452,25.002,24.88,24.574,24.207,24.207,24.574,24.635,26.836,28.731,27.692,27.019,27.386,26.897,29.587,27.57,28.548,28.425,29.648,29.709,28.914,28.425,29.77
s601008,5.342,5.441,5.474,5.672,5.788,5.755,5.821,5.771,5.871,5.821,6.036,6.367,6.119,6.053,6.086,6.218,6.334,6.449,7.028,6.598,6.598,6.747,6.615,6.483,6.416,6.615,6.714,6.946,7.012,7.524,8.285,8.533,9.393,10.336,10.253,10.22,10.468,10.137,10.038,10.832,11.328,11.692
s601018,4.112,4.171,4.229,4.288,4.288,4.323,4.488,4.441,4.382,4.359,4.547,4.746,4.699,4.652,4.641,4.711,4.664,4.746,4.97,4.805,4.993,5.346,5.134,4.934,4.97,4.946,4.97,5.205,5.087,5.228,5.099,5.205,5.134,5.487,5.158,5.31,5.369,5.71,5.745,5.557,5.51,5.71
s601866,2.45,2.48,2.5,2.5,2.5,2.541,2.601,2.541,2.551,2.571,2.712,2.974,3.095,3.156,3.085,3.105,3.075,3.125,3.307,3.236,3.236,3.257,3.186,3.136,3.136,3.105,3.176,3.156,3.146,3.176,3.125,3.095,3.045,3.146,3.095,3.206,3.216,3.468,3.811,3.529,3.428,3.367
s601880,4.952,5.003,5.055,5.132,5.106,5.106,5.234,5.132,5.132,5.337,5.722,6.261,6.184,6.209,5.824,5.953,5.876,6.081,6.492,6.209,6.286,6.286,6.132,5.927,5.978,6.055,6.107,6.132,6.158,6.415,6.132,6.389,6.286,6.825,6.466,6.645,6.645,6.543,6.671,6.543,6.492,6.492
s000088,28.484,29.796,29.796,31.108,31.709,32.748,35.318,38.161,34.716,34.498,36.466,36.357,35.7,36.192,35.482,36.083,36.028,36.903,37.45,36.083,35.591,35.81,35.646,35.372,35.099,35.646,36.521,36.903,38.051,39.746,38.543,38.598,37.887,38.707,37.286,38.379,38.762,38.598,39.035,38.489,37.833,37.833
s000415,55.928,57.512,58.146,58.304,58.304,60.522,64.959,63.691,65.434,69.236,74.94,74.94,75.257,77.633,73.197,75.732,74.465,78.426,80.327,77.317,74.623,76.524,75.099,73.356,73.039,73.989,75.891,77.475,78.426,76.841,75.574,74.465,72.405,73.039,73.673,77.475,79.852,79.059,81.753,79.535,77.95,77.95
s000507,27.306,29.256,28.606,29.866,29.866,30.922,33.645,34.539,32.141,31.288,32.467,32.873,32.182,33.076,32.426,32.751,32.588,33.279,33.604,32.467,32.06,32.06,31.776,31.41,31.329,31.613,32.101,32.223,32.426,32.832,32.101,32.467,32.954,33.929,32.304,33.645,35.961,33.807,33.686,33.076,32.792,32.832
s000582,26.168,26.526,26.812,27.099,27.063,27.349,28.745,27.922,27.85,27.6,28.853,29.64,29.282,29.103,29.068,29.712,29.676,30.141,30.965,30.177,30.034,31.931,31.001,30.392,31.43,32.504,32.254,32.218,33.471,33.471,32.218,32.862,33.256,34.366,34.008,34.867,34.509,34.258,34.867,33.936,33.685,34.724
s000905,13.676,13.918,14.006,14.225,14.445,14.445,15.257,14.73,14.73,15.125,15.52,15.915,16.289,15.871,15.652,15.959,15.893,16.223,16.618,16.069,15.959,16.201,16.486,16.135,16.662,17.474,18.879,20.767,22.852,23.84,22.721,21.206,20.525,20.942,19.823,20.416,20.547,20.833,21.403,20.591,20.964,21.25
s000911,7.957,8.455,8.241,8.085,8.057,8.185,8.227,8.355,8.298,8.27,8.597,9.307,9.08,9.208,10.046,10.756,11.822,11.24,11.168,11.652,11.68,12.845,14.039,13.925,13.144,13.584,13.485,12.604,12.575,12.277,12.064,11.609,10.913,10.415,10.103,10.927,10.785,10.785,10.43,10.7,11.24,11.808
s002040,14.076,14.304,14.357,15.782,17.366,18.527,18.298,17.929,19.407,19.917,20.322,19.899,18.967,18.457,18.369,18.721,19.09,19.741,20.234,18.738,18.615,19.055,19.09,18.703,18.562,19.231,19.336,19.882,20.146,20.515,19.97,20.199,21.36,23.401,20.709,21.641,22.204,23.313,23.19,23.753,23.718,24.597
