stock_no,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11
s600146,5.49,5.59,5.62,5.69,5.82,6.26,6.24,6.3,6.34,7.66,7.58,7.08,7.15,7.2,7.61,7.63,7.99,8.25,8.24,8.18,8.38,8.44,8.0,8.21,8.56,8.31,8.5,9.4,9.22,9.0,9.28,10.02,10.65,11.6,14.9,16.01,15.5,15.3,14.33,14.29,13.8,13.2
s600217,13.454,13.749,14.011,14.403,14.829,15.058,15.156,15.091,14.993,15.255,15.811,15.778,15.909,15.68,16.04,16.171,16.728,18.495,17.808,17.546,17.972,17.415,16.826,17.251,17.611,18.201,17.775,18.463,18.201,18.102,17.906,17.677,18.986,19.706,19.87,20.099,19.87,20.132,19.706,19.837,19.837,20.23
s600262,20.393,20.617,20.676,20.617,20.711,20.852,21.017,21.559,21.571,21.936,22.349,21.795,22.29,22.042,22.337,22.243,22.419,22.761,22.419,22.266,22.891,23.444,22.502,22.961,22.891,23.703,23.633,24.493,24.505,24.87,25.435,24.658,25.376,25.6,25.977,26.507,26.731,26.778,26.413,26.625,27.049,26.719
s600354,8.52,8.52,8.724,8.769,8.927,9.153,9.356,9.085,9.063,9.221,9.447,9.605,9.628,9.628,9.741,9.741,10.057,10.351,10.486,10.69,11.074,11.164,10.283,10.577,10.464,10.758,10.803,10.848,10.871,10.622,10.509,10.283,10.215,9.967,10.373,10.735,10.735,10.916,10.893,10.825,10.78,10.916
s600425,13.803,13.978,14.109,14.065,14.24,14.24,14.283,14.196,14.065,14.371,15.026,15.332,15.594,16.555,19.045,19.656,20.573,21.578,22.189,20.53,21.185,20.966,20.355,21.054,19.743,21.622,21.927,22.626,21.447,21.01,20.966,20.792,20.661,19.831,21.097,21.665,22.757,22.976,22.845,23.063,22.845,21.971
s600449,22.656,22.801,23.177,23.09,23.119,23.322,23.351,23.206,23.177,23.843,24.566,24.305,24.508,24.855,25.752,25.665,25.984,26.042,24.45,24.74,25.376,25.55,25.926,26.562,26.765,27.517,27.633,28.53,27.43,27.257,26.968,26.881,26.996,26.562,27.575,28.125,28.154,28.704,28.733,29.253,29.282,28.385
s600509,17.209,17.443,17.63,17.677,17.77,18.004,18.051,18.144,20.576,22.634,23.709,22.4,21.137,21.511,21.558,21.698,23.008,23.148,21.932,21.932,22.774,22.213,21.652,22.213,22.727,23.148,24.832,28.619,28.947,26.094,24.925,24.13,24.832,24.411,25.252,25.86,25.393,25.627,25.907,25.44,26.234,26.001
s600545,22.634,22.634,22.726,22.911,23.56,23.189,23.066,23.158,22.973,23.251,23.591,23.406,23.436,23.653,23.869,24.085,24.455,25.011,23.992,23.93,24.641,24.61,24.085,24.455,24.857,24.98,25.135,26.308,26.185,25.629,25.166,25.166,25.073,24.888,25.66,25.968,25.629,25.629,25.814,25.474,26.185,26.246
s600706,15.689,15.93,16.142,16.157,16.218,16.429,16.49,16.626,16.626,16.928,17.276,17.276,17.336,17.26,17.533,17.533,17.729,17.986,17.215,17.306,17.986,18.077,17.381,17.578,17.835,18.137,18.288,19.361,19.845,20.057,19.286,19.497,19.996,19.422,20.298,20.525,20.314,20.676,21.13,21.628,21.356,21.356
s600720,57.202,57.368,57.863,57.202,57.285,58.525,59.351,59.186,58.855,59.269,61.253,61.749,61.997,62.989,66.874,66.543,66.791,66.543,62.741,62.41,63.567,63.319,64.476,69.188,68.692,70.345,72.412,74.561,71.585,71.089,69.932,69.519,70.18,69.106,72.577,73.735,73.983,75.223,75.553,77.124,76.793,74.313
s600738,40.718,41.246,42.039,43.201,43.729,42.725,42.884,42.62,41.88,42.25,42.831,45.26,46.845,46.528,47.161,48.112,48.851,54.186,45.894,41.299,41.352,39.398,37.391,37.708,39.556,41.194,40.296,40.666,39.715,39.081,39.187,39.451,40.982,40.613,41.563,42.778,42.989,43.042,41.299,41.563,43.517,45.894
s600778,13.525,13.555,13.672,13.555,13.702,13.878,13.966,13.996,13.966,14.143,14.378,14.466,14.495,14.642,14.878,14.995,15.231,15.966,15.378,15.26,15.672,15.113,14.495,14.554,15.025,15.289,15.436,15.73,15.525,15.73,15.907,15.76,15.936,15.966,16.407,16.73,16.877,17.612,17.553,18.141,18.465,18.259
s600785,74.16,74.712,75.449,75.679,76.507,77.152,77.796,77.06,76.922,78.395,79.638,80.282,79.822,80.604,81.433,81.939,82.4,82.446,79.638,79.776,82.031,82.124,80.558,80.006,83.643,82.17,80.743,81.985,81.847,80.927,78.947,78.717,79.408,78.901,80.236,81.709,82.354,82.4,81.387,81.295,83.044,82.906
s600967,38.243,38.705,39.438,39.476,39.977,42.021,42.252,42.753,42.098,43.486,44.873,44.334,44.141,43.524,44.95,45.336,45.876,46.03,44.102,43.987,45.182,45.259,43.1,43.408,43.948,44.719,44.719,45.182,45.336,46.3,46.454,45.105,44.989,45.143,46.338,47.996,47.919,48.227,47.88,47.803,47.302,46.955
s600984,8.022,8.049,8.16,8.105,8.173,8.036,7.539,7.856,7.939,8.036,8.201,8.105,8.077,8.077,8.215,8.78,8.89,8.945,8.491,8.615,8.739,8.615,8.518,8.615,8.725,9.014,9.069,9.262,9.014,9.083,9.138,9.0,9.097,8.973,9.262,9.166,9.18,9.538,9.455,9.455,9.703,9.662
s000159,9.163,9.272,9.293,9.336,9.423,9.575,9.575,9.596,9.553,9.965,10.116,10.138,10.29,10.246,10.311,10.593,10.701,11.069,10.831,10.918,11.243,11.264,11.958,13.821,13.691,16.485,18.413,20.969,22.615,22.919,20.623,20.796,23.395,21.337,21.359,21.879,23.049,21.597,21.901,26.255,25.15,24.608
s000498,10.748,10.83,10.931,10.951,11.033,10.951,11.012,11.073,10.951,11.155,11.561,11.805,11.845,11.866,12.069,12.231,12.231,12.394,11.52,11.52,11.805,11.967,11.744,12.008,12.292,12.638,12.496,12.678,12.577,12.455,12.211,12.008,12.008,11.906,12.414,12.557,12.516,12.678,12.638,12.435,12.516,12.496
s000564,6.547,6.644,6.791,6.767,6.864,7.06,7.108,7.035,7.035,7.304,8.037,7.988,8.33,8.086,8.257,8.257,8.574,8.892,8.745,8.77,8.989,8.672,8.33,8.428,8.428,8.745,8.599,9.063,9.185,9.087,9.112,8.696,8.599,8.452,8.941,9.234,9.185,9.454,9.234,9.185,9.747,9.502
s000610,16.236,16.35,16.691,16.76,16.896,17.26,17.374,17.534,17.306,18.513,18.854,18.718,18.445,18.308,18.968,18.809,19.173,19.629,18.467,18.672,19.56,20.084,19.515,19.401,20.13,20.38,20.699,24.137,26.187,27.69,27.576,31.971,33.906,31.538,33.337,34.954,33.018,33.747,32.312,34.453,35.91,34.157
s000635,24.237,24.655,24.744,24.804,25.103,25.312,25.371,25.431,25.341,25.938,26.625,26.864,26.953,27.282,27.491,27.67,28.147,28.714,26.506,27.341,29.61,29.311,27.461,28.326,28.565,29.132,29.252,29.968,29.431,29.49,28.834,28.326,28.207,28.058,29.61,30.266,30.416,30.804,32.326,31.311,31.102,31.192
s000672,26.701,26.819,26.73,26.582,26.73,26.878,26.938,26.878,26.582,26.967,27.618,27.944,28.181,28.891,29.927,29.868,29.927,29.809,28.625,28.625,29.335,29.335,30.697,31.378,31.378,31.733,31.763,32.503,31.97,31.319,31.23,31.082,32.739,32.68,34.012,34.93,36.055,37.742,38.393,40.85,41.531,38.364
s000721,12.967,12.999,13.193,13.161,13.322,13.387,13.452,13.484,13.452,13.808,13.969,14.066,14.131,14.131,14.325,14.293,14.681,14.907,14.066,14.196,14.875,15.036,14.26,14.584,15.069,15.166,15.36,16.815,17.656,16.847,16.912,17.559,18.755,18.108,18.496,20.275,19.466,20.081,19.822,20.145,20.372,18.755
s000779,13.222,13.419,13.556,13.465,13.662,13.754,13.875,14.058,14.088,14.407,14.407,14.483,14.544,14.483,14.726,14.65,14.954,15.061,14.589,14.529,15.045,15.152,14.863,14.985,15.456,15.988,16.14,16.413,16.52,17.462,17.933,17.796,18.267,19.073,19.179,19.346,19.331,19.605,19.544,19.924,19.757,19.453
