stock_no,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11
s600146,21955900.0,16909500.0,17105000.0,23215500.0,33302700.0,33814600.0,20338600.0,23604100.0,33332400.0,5306100.0,61836200.0,36685600.0,18732200.0,37246000.0,36856200.0,28387100.0,43405000.0,46958300.0,35817900.0,20333400.0,28541200.0,32341200.0,21812900.0,20063900.0,22303900.0,18527700.0,41090000.0,52156800.0,24105600.0,21654900.0,43311400.0,52888800.0,58388400.0,72248500.0,21778800.0,36673000.0,112218800.0,73803400.0,60837200.0,46690000.0,42077400.0,75683900.0
s600217,8986800.0,11443300.0,13941300.0,12528200.0,8879500.0,10222200.0,11639600.0,11405600.0,7629500.0,16409600.0,12612000.0,6296200.0,5142300.0,4421300.0,11043500.0,9338000.0,26049400.0,32650400.0,20472000.0,13668000.0,15167600.0,14742400.0,9280500.0,8504600.0,5845100.0,9819900.0,12091700.0,11600000.0,9255600.0,6589900.0,9659600.0,23495900.0,17471700.0,15845500.0,15353600.0,9334500.0,9857700.0,7905400.0,6894200.0,5019000.0,9891100.0,10298100.0
s600262,516400.0,1309500.0,697200.0,423200.0,1289400.0,1229500.0,1943700.0,1081200.0,948300.0,2991500.0,1997900.0,1954400.0,1005400.0,1095800.0,2161000.0,2241100.0,3156400.0,3804000.0,2516000.0,2190100.0,4148400.0,3171400.0,1985700.0,1216800.0,2327100.0,1624700.0,2961100.0,4103900.0,3262800.0,6018900.0,4392200.0,2331100.0,1638200.0,2471200.0,3538200.0,3477700.0,2166900.0,2388200.0,1568900.0,2729000.0,2524800.0,2441000.0
s600354,5552200.0,9612300.0,8234800.0,15247800.0,17035700.0,17621600.0,36688800.0,21475400.0,11163400.0,20917800.0,29293100.0,19871600.0,11051200.0,12150100.0,20093900.0,24099000.0,23533200.0,29044100.0,30800600.0,23517500.0,27594700.0,60123600.0,28045900.0,14887000.0,13444900.0,10163300.0,32985500.0,16783100.0,24648300.0,14254000.0,12055600.0,10867700.0,7965400.0,10869700.0,13324000.0,10637600.0,9369100.0,12891900.0,17274000.0,11186900.0,11950600.0,11199000.0
s600425,22738800.0,23257300.0,20911300.0,21658800.0,26849700.0,27845800.0,23764300.0,26086000.0,24881600.0,74434700.0,83614600.0,54417300.0,58803300.0,69811300.0,90403100.0,271703100.0,236704500.0,239486300.0,177595600.0,123927500.0,131449600.0,97825700.0,111642800.0,66974500.0,99250800.0,97815200.0,184352900.0,206041300.0,103265500.0,58629500.0,54717400.0,64174700.0,45843700.0,58889000.0,70778500.0,146619600.0,138901800.0,124318000.0,110833700.0,96745200.0,62943000.0,64195400.0
s600449,7638100.0,8720800.0,5446400.0,5634200.0,11585900.0,8204300.0,5000100.0,9199700.0,9605600.0,13257900.0,16849600.0,12622600.0,10433400.0,26343000.0,23661600.0,14136000.0,19467300.0,15906200.0,17339900.0,10600000.0,12063600.0,11613800.0,42070000.0,26076500.0,27694700.0,21591200.0,38131100.0,32757800.0,18979000.0,12575900.0,10735300.0,15167100.0,10777600.0,15280300.0,19071400.0,17440700.0,17487400.0,21366800.0,28759100.0,17954500.0,12929500.0,12389300.0
s600509,4076300.0,4878500.0,3768300.0,3734800.0,7264500.0,6433600.0,5703800.0,16746000.0,20569800.0,4187000.0,103867000.0,58798400.0,37813100.0,29619100.0,41267600.0,47320300.0,43047900.0,40744600.0,32184400.0,20005500.0,28339300.0,18304200.0,13933800.0,12495100.0,25111200.0,18656100.0,14881100.0,5427500.0,143705700.0,76340700.0,38641700.0,43110800.0,28875200.0,22305100.0,29194000.0,27403800.0,20915800.0,39746300.0,24957900.0,33788100.0,25868700.0,20695700.0
s600545,2091700.0,4097400.0,4309000.0,9292300.0,10833500.0,11762700.0,6479600.0,8966800.0,5330000.0,17964100.0,20896800.0,14178600.0,19417000.0,13950800.0,23463000.0,18939600.0,20161800.0,20080100.0,19011200.0,14979000.0,19098200.0,15838700.0,10329900.0,11606800.0,13087500.0,12256100.0,38080500.0,23127100.0,13487600.0,13166500.0,12788300.0,8490000.0,7824000.0,8536300.0,12593000.0,10733900.0,9515600.0,11383500.0,13602700.0,14728000.0,15548900.0,10234600.0
s600706,1709500.0,2128400.0,1786200.0,1287400.0,2182100.0,2303600.0,2153300.0,2506700.0,2184500.0,3964900.0,4050300.0,3468600.0,2510000.0,2599200.0,3520100.0,4007900.0,4023000.0,3463900.0,4051500.0,2686800.0,4079900.0,5511900.0,3870400.0,2230100.0,3661400.0,3465300.0,11326400.0,16997200.0,17753400.0,11584900.0,9692100.0,13535000.0,10520100.0,7673100.0,8767700.0,8129900.0,5607800.0,8054300.0,11780000.0,9403900.0,6389200.0,4686400.0
s600720,12648600.0,17321800.0,14013900.0,10696600.0,20140900.0,25355500.0,15158700.0,15746600.0,12477800.0,26651900.0,31274100.0,18176900.0,15668300.0,49890900.0,42955400.0,22062900.0,27512000.0,31601400.0,28894400.0,24714300.0,25042300.0,21078800.0,112091300.0,98043600.0,84407900.0,74449900.0,96533700.0,67721600.0,45100100.0,34927100.0,27691300.0,37821500.0,27481900.0,29821100.0,53885900.0,47463300.0,43256800.0,60655700.0,65532100.0,53787800.0,42832900.0,30916100.0
