stock_no,2019-02-13,2019-02-14,2019-02-15,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12
s600146,5.66,5.67,5.7,5.85,6.51,6.43,6.3,6.34,7.66,8.43,7.35,7.23,7.32,7.88,7.65,8.04,8.57,8.57,8.18,8.65,8.61,8.82,8.21,8.56,8.88,8.59,9.48,9.44,9.09,9.28,10.67,11.0,12.8,15.02,16.52,16.7,15.58,14.93,14.56,14.5,14.0,14.45
s600217,13.847,14.043,14.698,15.124,15.287,15.385,15.68,15.353,15.418,16.04,15.877,15.975,16.04,16.04,16.302,16.793,18.986,18.659,17.808,18.332,18.135,17.35,17.284,17.742,18.233,18.43,18.79,18.594,18.463,18.233,18.364,19.641,19.837,20.361,20.656,20.328,20.394,20.492,19.903,19.968,20.492,20.427
s600262,20.911,20.805,20.864,21.041,21.277,21.171,21.96,21.571,22.266,22.773,22.219,22.455,22.502,22.608,22.49,22.773,22.973,23.067,22.466,23.02,23.88,23.656,23.162,23.067,24.139,23.857,24.493,24.669,24.929,26.861,25.906,25.706,25.683,25.977,26.554,27.214,27.096,27.037,26.967,27.308,26.873,26.861
s600354,8.656,8.769,8.814,8.995,9.379,9.65,9.13,9.063,9.243,9.582,9.876,9.695,9.741,9.786,9.808,10.215,10.396,10.758,10.916,11.662,12.611,10.283,10.622,10.712,10.871,11.187,10.916,10.938,10.803,10.938,10.554,10.328,10.238,10.396,10.961,10.78,10.961,11.119,11.164,10.984,11.142,10.848
s600425,14.065,14.196,14.109,14.283,14.502,14.371,14.458,14.196,14.458,15.288,15.725,15.812,16.555,19.525,19.874,20.573,22.189,22.932,21.84,21.753,22.495,20.748,21.796,21.141,21.622,22.495,23.587,21.884,21.229,21.229,21.622,21.316,20.661,21.097,22.102,23.194,23.98,23.194,24.505,23.107,22.714,21.84
s600449,22.946,23.177,23.235,23.119,23.698,23.553,23.582,23.206,23.871,24.74,24.653,24.711,24.971,25.955,25.781,26.331,26.591,25.984,24.74,25.636,25.984,26.013,26.968,27.054,28.588,28.299,29.282,28.385,27.604,27.402,27.17,27.864,26.765,27.575,28.385,28.356,29.022,28.819,30.092,29.398,29.34,28.501
s600509,17.583,17.677,17.77,17.864,18.285,18.191,18.238,20.576,22.634,24.878,23.382,21.465,21.745,22.026,21.932,23.522,23.429,23.288,22.306,23.569,23.382,22.119,22.213,22.727,23.616,24.832,28.619,31.472,26.281,25.814,25.346,25.72,24.878,25.58,26.468,25.86,26.188,26.842,26.234,26.468,26.422,26.328
s600545,22.664,22.788,22.973,23.807,23.961,23.128,23.251,23.189,23.313,23.9,23.838,23.56,24.147,23.961,24.239,24.857,25.166,25.073,23.961,25.042,25.073,24.517,24.455,24.98,25.166,25.413,26.586,26.555,26.092,25.598,25.474,25.629,25.042,25.66,26.308,25.814,26.03,26.092,26.308,26.308,26.895,26.246
s600706,15.991,16.142,16.293,16.218,16.626,16.58,16.777,16.747,17.034,17.502,17.321,17.381,17.548,17.608,17.578,17.865,18.107,18.077,17.351,18.016,18.198,18.092,17.578,17.835,18.53,18.545,19.694,20.601,20.706,20.253,19.664,21.039,19.724,20.298,20.963,20.51,20.676,21.175,21.84,22.052,21.402,21.402
s600720,57.781,58.111,58.029,57.285,59.103,60.343,59.682,59.186,59.93,61.831,62.658,62.162,62.989,68.031,67.783,67.783,67.535,66.46,62.41,64.559,64.724,64.476,73.239,69.188,71.585,73.735,76.876,74.065,71.337,71.751,70.759,72.081,70.593,72.577,74.396,74.561,76.876,76.545,80.182,78.777,76.958,74.809
s600738,41.246,42.831,43.834,44.098,44.204,43.253,43.834,42.514,42.725,43.359,45.366,48.535,47.214,49.961,48.482,49.168,55.453,45.894,43.306,41.88,41.88,39.028,37.919,39.556,41.933,41.352,41.141,40.771,39.451,39.345,39.451,42.091,40.982,41.616,43.042,43.465,43.729,43.306,41.986,44.257,46.264,46.633
s600778,13.672,13.76,13.672,13.702,13.996,14.025,14.113,14.025,14.143,14.525,14.495,14.525,14.701,15.084,15.054,15.26,15.995,15.966,15.378,16.024,15.554,15.054,14.672,15.025,15.466,15.436,15.73,15.789,15.848,16.495,16.289,15.995,15.995,16.407,16.759,17.024,17.877,17.965,18.23,18.847,18.524,18.318
s600785,74.804,75.955,75.817,76.784,77.842,78.027,78.165,77.658,78.671,81.065,81.065,80.052,81.111,82.768,82.354,82.446,83.873,83.136,80.19,83.735,83.32,81.985,82.354,85.76,83.781,82.492,82.124,83.044,81.525,81.571,79.5,80.789,80.558,81.387,83.044,82.86,83.689,83.09,82.308,84.195,84.655,84.425
s600967,39.168,39.977,39.823,40.054,42.792,43.1,44.334,42.676,43.832,45.683,45.182,45.567,44.719,45.375,45.49,47.803,46.724,45.721,44.025,45.606,46.223,45.914,44.179,44.526,44.835,46.146,45.567,45.683,46.454,48.651,46.839,45.837,45.297,46.801,48.304,48.189,48.806,50.155,48.497,47.88,47.996,46.724
s600984,8.132,8.215,8.187,8.229,8.256,8.118,7.981,7.981,8.118,8.408,8.16,8.187,8.187,8.27,8.821,8.987,9.0,8.876,8.683,8.904,8.835,8.67,8.615,8.752,9.069,9.166,9.51,9.318,9.125,9.18,9.262,9.111,9.097,9.276,9.428,9.18,9.579,9.552,9.552,9.8,10.062,9.745
