stock_no,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16
s600146,13.71,13.7,14.17,14.67,14.26,14.25,13.83,13.51,13.51,13.55,12.2,10.98,9.88,10.48,11.53,11.25,11.59,12.75,13.35,14.69,14.1
s600217,20.918,22.522,23.176,21.769,21.802,23.307,23.733,23.438,22.096,22.227,21.376,21.441,19.314,19.117,19.248,18.79,19.281,19.248,19.576,20.296,20.361
s600262,27.026,27.085,27.096,27.143,28.757,29.453,28.039,27.497,26.472,26.236,26.024,25.423,22.879,22.525,23.374,23.209,23.574,23.456,23.22,23.338,23.421
s600354,10.893,11.097,11.3,11.3,11.255,11.503,10.735,10.961,10.351,9.899,9.379,9.605,9.628,10.599,10.735,11.142,10.938,12.023,11.82,12.43,12.385
s600425,22.058,22.408,22.277,23.544,23.5,22.495,21.491,21.753,20.049,19.7,18.171,17.909,16.118,16.162,15.943,15.943,16.511,16.598,16.249,16.555,18.215
s600449,28.646,29.282,29.022,29.138,29.08,27.98,27.199,27.459,26.302,26.331,25.087,25.145,23.322,23.698,23.611,23.698,24.334,24.161,23.785,24.248,25.058
s600509,26.515,26.422,25.907,26.515,27.17,26.234,28.853,27.591,24.878,23.85,21.979,22.54,20.67,21.184,21.371,21.044,21.792,22.353,21.932,24.13,26.562
s600545,25.876,26.03,25.907,25.907,25.258,25.042,24.579,24.764,23.9,24.27,23.745,23.807,22.325,22.788,22.541,22.541,23.066,22.387,22.695,22.757,22.757
s600706,20.979,20.873,21.054,20.979,21.205,21.81,20.374,20.253,19.437,19.21,18.56,18.968,17.442,17.578,17.457,17.381,17.835,17.895,17.593,18.016,18.152
s600720,74.396,75.966,75.801,77.041,76.297,72.991,70.263,70.841,67.204,66.047,64.807,65.138,60.178,61.749,61.914,63.484,65.716,65.964,65.055,66.295,68.444
s600738,46.739,47.531,47.161,49.485,53.182,51.017,48.799,50.383,46.686,47.161,46.845,45.419,40.877,40.56,40.296,40.032,41.194,42.514,42.461,44.574,44.362
s600778,19.376,19.847,20.729,19.7,18.965,18.994,18.671,17.936,18.494,18.23,17.847,18.729,18.729,17.347,18.171,17.847,19.641,21.611,20.229,20.494,20.111
s600785,82.952,82.86,83.643,82.584,82.814,81.939,80.973,81.433,83.551,81.571,77.474,77.382,73.239,73.423,75.034,74.896,75.955,75.633,75.265,75.817,75.955
s600967,46.338,46.146,45.953,46.3,46.492,46.03,44.989,45.259,42.869,42.792,42.098,43.1,39.746,40.633,40.671,40.903,41.905,41.288,41.327,41.789,42.059
s600984,9.759,9.579,9.827,9.69,9.91,10.158,9.855,9.869,9.552,9.745,9.125,9.29,8.808,8.945,9.028,9.028,9.125,9.235,9.097,9.207,9.304
s000159,24.63,23.894,24.695,27.165,29.872,31.41,28.269,25.995,23.417,23.785,22.117,21.836,19.648,20.471,19.886,19.929,21.142,20.709,20.969,22.269,22.096
s000498,12.536,13.024,12.963,12.983,13.572,13.227,12.719,12.841,12.841,12.231,12.13,12.231,11.175,11.216,10.911,10.87,11.175,11.012,10.911,11.053,11.155
s000564,9.112,9.185,9.307,9.087,9.185,9.063,8.745,8.818,8.354,8.379,8.599,8.403,7.573,7.524,7.524,7.499,7.695,7.573,7.524,7.67,7.67
s000610,33.587,33.815,34.885,36.866,37.413,41.147,37.026,34.976,32.745,31.538,28.396,28.988,26.096,25.413,24.957,24.616,25.913,26.232,25.709,27.325,27.416
s000635,31.938,32.117,32.475,31.58,32.296,31.311,30.117,31.132,29.132,29.461,28.923,28.983,26.326,26.714,26.565,26.386,27.222,26.685,26.535,27.282,27.61
s000672,39.37,40.465,40.199,40.909,39.933,38.186,38.068,38.009,36.292,37.12,36.854,37.061,33.45,34.249,33.657,33.953,35.344,34.812,34.723,35.936,37.268
s000721,18.399,18.529,18.626,18.917,18.787,19.822,18.464,18.108,17.009,16.685,15.554,16.006,14.648,14.81,14.842,14.81,15.295,15.424,15.036,15.424,15.489
s000779,19.909,19.513,19.605,19.346,19.285,19.27,18.754,19.301,19.149,18.434,17.386,17.447,16.535,16.854,17.051,16.671,17.021,16.945,16.808,17.051,17.143
s000812,27.486,27.716,28.004,28.579,28.291,27.371,27.486,27.199,25.761,27.486,24.956,25.704,23.116,22.829,22.254,22.081,22.541,22.139,21.909,22.369,22.829
s000862,14.575,13.935,13.857,13.158,13.255,14.09,14.245,14.4,13.915,12.518,11.276,10.868,9.781,10.131,10.189,10.499,10.732,10.383,10.402,11.45,11.353
