stock_no,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16
s600146,16.16,13.85,14.33,15.25,14.99,14.85,14.38,13.83,13.78,13.79,13.52,11.57,10.97,10.77,11.53,11.98,11.9,12.75,13.89,14.69,15.1
s600217,21.311,23.013,24.42,23.7,22.194,23.667,24.224,23.798,23.569,22.751,22.554,21.998,21.081,19.641,19.87,19.248,19.412,19.346,20.001,20.296,20.721
s600262,28.015,27.568,27.532,27.544,29.288,29.735,29.217,28.251,27.426,26.472,26.625,26.437,25.082,23.315,23.491,23.48,24.022,23.739,23.515,23.774,23.48
s600354,11.3,11.119,11.39,11.594,11.368,11.526,11.458,10.961,11.074,10.351,10.012,9.741,10.464,10.599,11.3,11.413,11.707,12.023,12.995,12.882,13.085
s600425,22.888,22.408,22.495,23.98,23.937,23.718,22.583,21.884,21.84,20.268,19.918,18.302,17.254,16.642,16.38,16.38,16.511,16.642,16.511,16.598,18.215
s600449,29.456,29.282,29.398,29.601,29.196,29.224,28.038,27.604,27.546,26.765,26.273,25.463,24.479,23.814,23.871,23.871,24.363,24.334,24.103,24.334,25.608
s600509,27.497,26.515,26.422,26.842,27.217,27.544,28.853,28.619,26.983,24.364,24.13,22.914,22.213,21.371,21.605,21.465,21.839,22.914,22.26,24.13,26.562
s600545,26.37,26.03,26.277,26.03,25.66,25.443,25.166,24.826,24.826,24.641,24.517,24.177,23.066,22.85,22.603,22.541,23.097,22.819,22.695,22.942,22.881
s600706,21.916,21.024,21.402,21.311,21.311,21.991,21.583,20.631,20.45,19.497,19.497,19.135,18.364,17.865,17.729,17.578,17.88,18.122,17.925,18.062,18.258
s600720,77.289,76.214,76.462,78.033,77.041,75.884,72.908,71.089,70.759,67.452,66.626,65.882,63.65,62.079,62.989,64.394,65.882,66.874,66.13,66.708,69.767
