stock_no,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16
s600146,13.68,12.71,13.52,14.21,13.9,14.2,13.2,13.36,13.21,13.01,12.2,10.98,9.88,9.92,10.2,11.13,11.2,11.7,12.3,12.88,13.88
s600217,20.427,20.459,21.802,20.852,21.212,21.605,22.882,23.111,21.998,21.638,20.525,21.049,19.314,18.43,18.463,18.495,18.397,18.823,18.921,19.543,19.936
s600262,26.66,26.602,26.637,26.861,27.049,28.498,27.485,26.979,26.39,25.376,25.459,24.999,22.879,22.031,21.913,22.949,22.773,23.103,22.985,23.209,23.138
s600354,10.893,10.532,11.074,11.187,11.006,11.187,10.622,10.464,10.351,9.831,9.311,9.379,9.447,8.95,10.17,9.673,10.26,10.306,11.594,11.571,12.114
s600425,22.058,21.665,22.146,22.321,22.932,22.321,21.316,21.403,19.874,19.569,17.953,17.559,16.118,15.943,15.506,15.9,15.506,16.162,16.074,16.336,16.642
s600449,28.646,28.385,28.877,28.935,28.704,27.922,26.823,27.141,26.302,26.244,24.913,24.942,23.264,23.322,23.177,23.437,23.466,23.958,23.785,23.958,24.305
s600509,26.422,24.925,25.767,25.533,25.86,26.234,26.281,26.936,24.832,23.429,21.932,22.26,20.342,20.436,20.623,20.95,20.81,21.324,21.698,24.13,24.925
s600545,25.752,25.166,25.876,25.69,24.949,25.011,24.579,24.455,23.467,23.93,23.591,23.467,21.769,21.8,22.078,22.109,22.263,22.387,21.954,22.572,22.479
s600706,20.933,20.147,20.752,20.782,20.873,20.873,20.283,19.83,19.361,19.089,18.439,18.591,17.396,17.306,17.064,17.124,17.094,17.502,17.563,17.684,17.835
s600720,74.396,72.991,75.057,75.305,74.561,72.743,69.932,69.849,66.956,66.047,64.146,64.476,59.186,60.509,60.013,61.253,63.484,64.807,64.559,65.468,66.626
s600738,46.369,45.207,46.792,46.845,49.485,50.066,48.535,46.581,46.686,45.524,46.0,44.891,40.877,38.923,38.817,39.292,39.609,40.401,41.458,42.567,43.676
s600778,19.053,19.112,19.758,19.7,18.729,18.818,18.406,17.73,18.23,17.583,17.642,17.671,17.671,16.848,16.201,16.906,18.2,19.112,19.788,19.964,19.406
s600785,82.814,80.881,82.4,82.17,81.065,81.525,80.927,80.696,80.835,81.065,76.139,76.461,72.733,72.272,72.364,73.699,74.62,75.172,74.482,75.034,75.126
s600967,46.068,44.758,45.644,46.03,45.336,45.799,44.912,44.719,42.792,42.676,41.982,42.098,39.322,40.247,39.823,40.363,40.479,41.095,40.787,41.442,41.674
s600984,9.759,9.249,9.483,9.676,9.579,9.869,9.855,9.717,9.552,9.235,9.056,9.166,8.422,8.794,8.697,8.794,8.835,8.973,9.0,9.125,9.138
s000159,23.699,22.442,23.2,23.959,26.97,30.327,28.269,25.67,23.395,22.507,21.446,20.796,19.648,18.695,19.171,19.539,19.085,20.146,20.038,20.904,21.467
s000498,12.516,12.455,12.821,12.841,12.963,13.105,12.516,12.557,12.557,12.231,12.13,12.028,11.012,11.012,10.809,10.769,10.383,10.972,10.89,10.931,10.972
s000564,9.112,8.745,9.063,9.063,8.965,8.965,8.696,8.623,8.305,8.33,8.159,8.379,7.573,7.328,7.279,7.45,7.377,7.548,7.45,7.524,7.597
s000610,32.38,32.472,33.291,34.225,36.16,37.572,37.026,34.134,32.426,31.151,28.396,27.325,26.096,24.206,23.932,24.479,23.841,25.185,25.299,25.822,26.483
s000635,31.938,31.132,31.938,31.49,31.251,31.192,29.908,30.117,28.983,28.864,28.356,28.655,26.088,26.267,25.879,26.297,26.326,26.535,26.297,26.655,27.043
s000672,39.104,38.689,39.37,39.992,39.163,38.009,37.624,37.328,35.877,36.321,36.706,36.321,33.361,33.627,33.331,33.45,33.627,34.486,34.308,34.96,35.67
s000721,18.238,17.817,18.335,18.464,18.69,18.399,18.399,17.785,16.976,16.556,15.521,15.586,14.454,14.519,14.26,14.584,14.616,14.875,14.972,15.069,15.263
s000779,19.468,18.769,19.316,19.24,18.997,19.133,18.51,18.51,18.769,17.811,17.021,17.036,15.881,16.352,16.565,16.535,16.428,16.717,16.595,16.732,16.915
s000812,27.371,26.451,27.544,27.831,27.774,27.199,26.969,26.796,25.646,25.761,24.726,24.209,23.116,22.369,20.529,21.851,21.564,22.024,21.564,22.024,22.254
s000862,14.167,13.372,13.469,13.139,12.984,13.061,13.391,13.391,13.876,12.518,11.276,10.344,9.781,9.743,9.781,10.092,9.995,10.286,10.092,10.402,11.237
s000877,57.967,57.162,58.109,58.156,60.096,58.109,54.418,55.27,52.241,51.815,50.538,50.538,46.421,46.326,45.569,47.225,46.847,47.651,48.55,49.071,49.686
s000929,14.538,14.368,14.792,14.792,14.792,14.826,14.402,14.453,14.402,13.691,13.386,13.487,12.572,12.674,12.877,13.081,13.131,13.216,13.555,13.657,13.86
s000982,25.383,27.196,28.62,27.196,25.901,27.843,30.175,30.045,29.268,27.843,26.419,25.124,25.512,24.217,23.052,22.016,23.311,23.829,24.865,26.03,27.455
s002207,15.025,15.005,15.189,15.395,15.415,15.21,14.882,14.984,15.005,14.84,14.676,14.799,14.348,13.65,13.896,13.876,13.753,14.307,13.917,14.04,14.122
s002302,59.796,59.146,60.731,61.3,64.471,63.821,60.04,59.796,55.081,53.618,49.593,49.756,45.65,44.553,43.577,45.122,43.577,46.097,46.544,46.748,47.398
s002307,36.938,36.057,37.231,37.315,38.783,37.86,35.973,35.68,33.039,31.445,29.097,29.349,26.875,26.833,26.456,27.043,26.833,28.091,28.594,28.72,28.552
s300103,63.619,63.214,65.24,65.696,66.456,60.225,57.743,57.743,53.438,52.982,50.044,50.146,45.79,44.473,43.662,45.587,44.625,47.41,50.044,50.956,50.753
s300345,23.783,24.473,24.559,25.808,26.972,27.273,27.058,26.325,26.498,25.679,26.282,26.325,24.128,23.266,23.439,23.74,23.999,24.688,26.67,27.144,29.169
s600017,11.838,11.514,11.708,11.611,11.546,11.416,11.157,11.06,10.833,10.833,10.8,10.93,10.054,10.119,10.087,10.022,9.957,10.022,9.924,9.989,10.119
s600242,12.341,12.121,12.451,12.752,12.802,12.782,12.231,12.131,11.52,11.62,10.939,11.019,10.057,9.997,9.737,9.867,9.797,10.117,10.037,10.267,10.267
s600368,9.983,9.909,10.032,10.032,10.131,9.983,9.49,9.49,9.071,9.367,10.229,11.314,12.374,11.955,12.325,11.191,11.61,12.103,12.497,12.596,12.965
s600428,21.198,20.761,21.441,21.247,21.198,21.101,20.518,20.469,19.691,19.594,18.864,18.962,17.552,17.795,17.6,17.941,17.892,18.232,18.038,18.087,18.378
s600436,586.929,581.874,591.479,586.424,587.334,581.419,574.19,580.054,580.812,549.014,540.925,563.927,534.91,551.542,546.891,510.644,515.649,530.714,538.297,544.464,550.025
s600515,12.597,12.193,12.636,12.655,12.578,12.424,11.751,11.828,11.539,11.309,10.866,10.982,10.097,9.847,9.808,9.943,9.866,10.155,10.039,10.116,10.27
s600712,26.165,26.016,26.513,27.555,28.151,27.853,27.307,26.562,25.966,26.364,26.86,25.718,25.172,23.832,22.888,23.832,23.335,23.236,23.534,23.981,23.931
s600717,117.165,116.129,117.036,117.424,116.647,116.906,114.317,113.022,110.045,107.973,106.031,105.902,98.004,99.04,97.875,98.393,97.357,99.17,98.393,99.04,100.205
s600798,29.403,28.853,29.403,29.587,29.281,29.281,28.67,27.814,26.469,25.919,25.43,25.674,23.963,22.74,22.679,22.985,22.74,23.474,23.963,24.391,24.391
s601008,10.418,9.79,10.071,10.104,10.369,10.187,9.691,9.31,9.426,8.781,8.136,8.219,7.541,7.524,7.706,7.64,7.524,7.938,7.789,7.971,8.484
s601018,5.78,5.992,6.074,6.274,6.191,6.168,6.109,6.203,6.003,6.168,5.992,5.968,5.663,5.099,4.993,4.923,4.981,5.252,5.581,5.78,5.686
s601866,3.246,3.226,3.307,3.267,3.236,3.236,3.236,3.357,3.347,3.236,3.085,3.115,2.863,2.722,2.742,2.763,2.853,2.894,3.025,3.055,3.065
s601880,6.338,6.209,6.286,6.261,6.286,6.158,6.03,5.978,5.824,5.824,5.517,5.568,5.157,5.286,5.183,5.26,5.286,5.337,5.26,5.26,5.337
s000088,37.45,37.559,39.199,38.653,38.707,38.926,37.723,36.685,35.919,35.154,33.186,33.35,30.561,30.015,29.741,29.523,29.577,30.343,29.905,30.233,30.616
s000415,76.208,74.94,79.376,78.426,78.109,76.841,74.306,72.405,70.821,69.87,67.969,68.286,62.741,63.374,63.057,63.85,63.85,64.166,62.899,64.008,64.483
s000507,31.979,31.695,32.223,32.345,32.06,31.776,31.166,30.963,30.069,29.46,27.997,28.322,25.924,26.453,26.087,26.29,25.843,26.615,26.168,26.737,27.062
s000582,36.334,36.155,37.301,38.697,37.659,37.945,36.907,37.015,34.366,34.366,31.466,32.218,31.43,30.034,30.141,29.712,30.034,30.965,30.428,31.001,31.43
s000905,19.537,19.164,20.064,21.359,20.811,20.174,20.108,19.757,18.879,17.891,17.693,17.825,16.376,16.354,16.047,16.135,15.849,16.684,16.486,16.75,17.013
s000911,13.129,12.646,12.376,12.277,12.618,12.405,11.851,11.779,11.595,11.211,10.884,10.756,10.899,11.097,10.941,10.842,10.415,10.813,10.827,10.799,10.899
s002040,23.929,23.77,24.333,23.805,23.19,23.014,22.715,22.31,22.028,21.114,19.899,19.882,18.281,17.665,17.63,17.7,17.7,18.298,18.914,18.967,19.776
s600031,425.055,422.729,431.37,431.37,425.72,402.789,404.783,399.466,393.816,393.484,399.798,401.127,371.217,387.502,391.49,385.84,389.496,401.792,394.481,395.145,400.13
s600038,113.798,113.698,115.382,115.08,112.793,113.019,108.343,107.288,107.338,105.075,105.327,105.578,98.087,99.193,98.313,100.702,101.104,103.668,103.115,103.366,104.372
s600072,49.838,49.743,51.105,53.197,53.577,52.626,47.589,45.466,43.723,42.171,40.555,41.854,39.383,40.365,40.555,41.189,40.587,42.519,42.139,42.773,43.121
s600100,196.99,190.24,196.223,193.308,192.234,186.711,183.49,174.591,158.636,153.419,150.965,154.954,145.748,148.203,147.436,150.965,151.118,148.663,149.891,151.425,152.039
s600118,377.878,367.604,383.77,385.281,378.331,379.238,367.15,364.129,356.121,354.006,339.652,340.71,313.513,310.643,307.47,315.78,320.01,336.328,339.35,344.487,348.415
s600148,41.583,41.708,42.523,42.837,41.332,39.723,37.822,38.01,36.025,35.022,34.478,34.896,31.846,31.49,31.135,31.72,31.741,32.389,31.804,32.326,32.849
s600150,64.308,62.568,64.481,65.6,70.694,74.048,66.867,61.748,61.475,59.015,56.505,56.58,52.182,49.697,48.951,50.765,48.902,51.188,50.219,51.436,51.834
s600151,23.792,22.889,23.611,23.647,23.467,23.828,22.817,22.059,22.601,21.517,20.434,20.47,18.737,17.871,18.088,18.701,18.521,19.46,19.387,19.821,19.748
s600178,9.912,9.553,9.99,10.209,9.928,9.865,9.444,9.475,8.976,8.819,8.304,8.351,7.586,7.727,7.524,7.82,7.836,8.07,8.023,8.101,8.226
s600184,40.897,39.829,41.202,40.866,40.439,39.707,38.394,37.906,36.044,36.044,34.671,34.762,31.741,31.741,31.039,32.046,32.534,33.603,32.962,34.152,34.732
