stock_no,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16
s600146,15.33,13.82,13.74,14.38,14.5,14.41,14.0,13.72,13.54,13.45,13.4,10.98,10.11,9.92,10.3,11.6,11.6,11.7,12.5,12.9,14.72
s600217,20.885,20.689,21.932,23.176,21.54,21.802,23.34,23.406,23.471,22.129,22.358,21.736,20.459,19.15,18.757,19.248,18.79,19.215,19.019,19.805,20.067
s600262,27.615,26.802,26.92,27.473,27.179,28.816,29.217,28.251,27.426,26.448,26.236,26.225,25.082,22.973,22.184,23.326,23.326,23.562,23.338,23.774,23.338
s600354,11.164,10.916,11.074,11.323,11.187,11.21,11.368,10.735,10.938,10.193,9.967,9.379,9.899,9.04,10.373,10.238,10.26,10.396,12.294,11.571,12.43
s600425,22.495,21.84,22.408,22.321,23.544,23.587,22.495,21.491,21.753,19.918,19.918,17.909,17.079,16.074,15.9,16.031,16.118,16.205,16.205,16.467,16.686
s600449,29.282,28.53,29.282,29.022,29.08,29.167,27.893,27.459,27.286,26.331,26.273,25.145,24.305,23.611,23.38,23.524,23.871,24.248,23.785,24.045,24.392
s600509,27.263,26.328,26.234,25.907,26.796,27.31,26.422,28.058,26.889,24.317,23.522,22.26,22.073,20.95,20.763,21.137,21.184,21.511,21.885,24.13,26.562
s600545,26.246,25.567,25.907,25.876,25.66,25.382,25.042,24.826,24.733,24.054,24.332,23.467,22.541,22.387,22.232,22.387,22.572,22.726,21.954,22.788,22.603
s600706,21.764,20.858,20.888,21.054,20.979,21.432,21.583,20.374,20.298,19.301,19.21,18.591,18.364,17.608,17.306,17.381,17.608,17.578,17.744,17.729,17.925
s600720,75.636,73.487,76.049,76.214,76.793,74.975,72.908,70.676,70.428,67.122,66.047,64.807,63.484,60.591,60.343,61.335,63.815,65.22,65.055,66.13,66.956
s600738,46.369,46.475,47.531,47.003,49.485,54.238,50.436,49.116,50.119,46.105,47.161,45.894,43.306,40.877,39.609,39.821,40.401,40.401,41.722,42.567,45.049
s600778,19.17,19.435,19.847,20.699,19.023,18.965,19.229,18.347,18.524,18.2,18.377,17.847,17.847,16.848,16.495,17.377,18.2,19.641,21.817,19.964,19.7
s600785,83.597,82.998,82.63,84.932,81.801,82.814,81.939,81.019,80.835,82.86,81.433,76.461,76.415,73.285,72.963,75.034,75.034,76.876,75.08,75.403,75.679
s600967,47.996,45.991,46.261,46.068,46.415,46.724,45.991,45.375,45.259,42.907,42.946,42.098,42.406,40.286,40.17,40.479,41.211,41.442,40.941,41.597,41.712
