stock_no,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16
s600146,45537900.0,29374000.0,28023200.0,30668200.0,20753300.0,18145900.0,21074200.0,13524500.0,16676900.0,18137800.0,10163800.0,20299900.0,11794300.0,15204400.0,26322300.0,17737500.0,15296000.0,23218900.0,28522400.0,31181000.0,25636900.0
s600217,13669400.0,18385300.0,23085600.0,24841000.0,13873200.0,22894700.0,28372500.0,12424300.0,12417900.0,9386600.0,20057400.0,10821100.0,16681800.0,15808200.0,9579200.0,10536100.0,9305800.0,4932000.0,8673200.0,7744800.0,6802200.0
s600262,2759300.0,1471900.0,1797200.0,3028800.0,5787400.0,4166700.0,4180400.0,2134400.0,1618600.0,1345600.0,941200.0,1336800.0,1377500.0,866100.0,3280500.0,525100.0,1200300.0,564500.0,677500.0,536300.0,751100.0
s600354,11252800.0,13939800.0,18162200.0,16214800.0,12204700.0,20325100.0,22331700.0,12317000.0,12771000.0,13211600.0,10033000.0,6825800.0,28083400.0,42420000.0,53956800.0,50600300.0,55196500.0,58863800.0,98555100.0,81869100.0,77878000.0
s600425,36284400.0,35020000.0,37797700.0,111593200.0,75256300.0,69680000.0,58008100.0,28892300.0,56078600.0,29959600.0,43158200.0,39086500.0,41694500.0,30029800.0,30472300.0,25983100.0,38523800.0,31229500.0,26458600.0,26895900.0,55689500.0
s600449,8518700.0,7411400.0,8906800.0,12375000.0,9261200.0,10520100.0,9090400.0,5029600.0,7476600.0,5347600.0,8400800.0,4997800.0,8004400.0,3904800.0,3460100.0,4396400.0,6053000.0,3489600.0,2254700.0,3640000.0,7939500.0
s600509,16946100.0,25258700.0,19396600.0,22282900.0,31132400.0,23528500.0,26490800.0,51655900.0,41764900.0,19063000.0,18659400.0,9651100.0,13530400.0,8854000.0,9685100.0,7055600.0,14132200.0,14028000.0,8758500.0,5562000.0,74277600.0
s600545,7186200.0,7268900.0,6365600.0,5242900.0,12948100.0,5673100.0,5614500.0,4030700.0,7086600.0,6039000.0,6131100.0,3713100.0,7486400.0,5684700.0,5182400.0,5387700.0,6550800.0,4492700.0,6446900.0,4400800.0,4854800.0
s600706,3666600.0,3265100.0,3003900.0,2354800.0,2298000.0,6655300.0,4826100.0,3028400.0,2984300.0,2151200.0,2181000.0,1531200.0,2493900.0,1409800.0,1374100.0,1068200.0,2020400.0,1715100.0,1263400.0,1341800.0,1395600.0
s600720,25922500.0,20496100.0,20769300.0,40034700.0,25507100.0,37369300.0,24219300.0,14243100.0,23911900.0,14146100.0,15839100.0,10716100.0,21541300.0,15674600.0,12483700.0,17106600.0,15242000.0,10857300.0,7082400.0,7939100.0,19408200.0
