stock_no,2019-06-03,2019-06-04,2019-06-05,2019-06-06,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19
s600146,14.4,14.23,13.86,12.47,12.0,13.12,13.09,13.66,13.75,13.48,12.57,13.65,13.53,14.38,15.01,14.97,14.96,14.7,15.02,15.31,14.85,14.89,14.63,14.85,14.46,14.7,14.54,14.34,14.17,13.9,13.88,14.1,13.37,13.31
s600217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.739,21.703,23.864,25.304,23.438,24.158,24.093,24.813,23.667,23.733,22.031,22.358,21.638,21.049,19.739,19.608,19.674,20.492,20.198,20.263,20.034,19.706,19.085,19.15
s600262,23.138,23.032,23.067,23.22,23.032,23.715,23.421,23.727,23.515,23.067,23.032,23.091,23.268,23.786,24.151,24.375,24.575,24.387,24.622,25.223,25.918,25.683,25.789,25.541,25.329,25.094,25.046,24.752,24.54,24.599,24.658,26.507,25.859,25.435
s600354,19.142,17.221,18.939,17.04,16.408,16.792,18.464,17.741,17.696,16.521,16.249,16.317,15.549,15.526,16.611,15.91,14.961,15.187,14.6,14.667,14.396,14.283,13.809,14.374,15.458,15.458,14.509,14.667,14.328,14.351,14.283,14.645,14.916,14.328
s600425,17.472,16.729,16.642,15.987,16.031,17.647,18.04,17.996,17.778,17.647,17.428,17.516,17.953,18.04,17.821,18.171,18.433,18.389,19.394,19.656,19.569,19.219,19.176,19.088,17.647,17.69,17.254,17.385,17.603,17.865,17.734,17.996,17.472,17.516
s600449,23.611,23.09,23.09,22.512,22.801,24.363,24.103,24.045,23.814,24.016,24.016,24.074,24.421,24.508,24.566,24.19,24.219,24.392,24.537,24.884,25.116,24.884,25.116,25.231,24.305,24.45,24.103,24.305,24.711,25.318,25.81,25.839,25.463,25.81
s600509,21.839,21.418,21.652,21.511,22.073,23.055,23.85,23.662,22.353,22.634,24.878,27.357,26.375,26.422,28.479,25.627,25.486,25.627,25.065,25.486,25.159,24.551,24.13,24.504,23.101,23.335,23.055,23.242,23.288,23.756,23.943,24.27,23.756,23.522
s600545,22.726,22.541,22.448,22.726,22.448,22.726,22.417,22.263,22.294,22.17,22.14,22.109,22.078,22.17,22.14,22.047,22.047,22.016,21.954,22.14,22.016,21.8,21.553,21.584,20.812,20.75,20.441,20.071,20.318,20.256,20.256,20.256,20.102,20.132
s600706,16.762,16.611,16.731,16.58,16.777,17.185,17.064,17.155,17.049,17.215,17.215,17.638,17.774,18.031,18.046,17.925,17.895,18.031,17.744,18.001,18.273,18.031,18.137,18.062,14.495,14.132,13.95,14.071,14.086,14.177,14.238,14.086,13.754,13.799
s600720,67.37,65.551,66.874,65.22,66.378,72.991,73.569,71.916,70.263,71.337,70.097,70.841,72.495,72.081,71.007,70.263,70.263,71.255,72.66,73.239,73.652,71.916,73.817,74.396,72.991,73.569,71.668,73.487,73.569,76.71,76.71,76.793,75.14,74.479
s600738,42.197,40.401,40.507,41.035,41.352,42.25,41.246,40.93,40.296,40.137,39.768,39.979,40.613,40.666,40.032,39.292,39.081,38.976,38.342,38.447,37.708,37.338,36.018,36.546,35.279,34.487,34.064,33.8,33.536,34.592,34.434,34.328,33.325,33.589
s600778,15.289,14.878,14.936,14.348,14.907,15.642,15.231,15.525,15.142,15.172,15.378,15.642,15.73,16.054,15.936,15.907,15.877,15.995,15.672,16.054,16.054,15.966,15.73,15.819,14.966,15.113,15.084,15.289,15.172,15.407,15.525,15.701,15.26,15.319
s600785,75.955,75.311,75.126,75.449,75.541,76.83,77.842,76.922,76.6,76.047,75.955,76.461,76.876,77.336,77.704,76.738,76.83,77.014,76.507,77.658,77.336,77.704,77.981,78.257,75.265,74.252,74.068,73.976,74.16,74.206,75.265,74.482,73.976,74.068
s600967,41.211,40.633,40.479,39.63,39.977,41.365,41.635,41.866,41.597,41.674,41.365,41.751,42.213,42.792,44.064,43.563,43.64,43.524,43.177,43.755,43.871,43.948,44.565,43.717,41.442,41.25,41.558,41.635,41.481,43.1,43.408,42.368,41.597,41.558
s600984,8.573,8.463,8.435,8.091,8.187,8.628,8.601,8.628,8.656,8.67,8.422,8.683,8.752,8.973,8.959,8.89,8.918,8.904,9.028,9.345,9.814,10.227,11.068,10.875,10.641,10.682,10.682,10.696,10.599,10.792,10.737,10.558,10.53,10.351
s000159,17.287,17.352,16.767,16.333,16.615,17.568,17.287,17.936,16.918,16.918,16.463,17.135,17.72,17.741,17.568,17.287,17.048,17.027,16.42,17.373,17.222,16.68,16.442,16.463,15.25,15.467,15.359,15.164,15.25,15.424,15.532,15.294,14.774,14.904
