2,万 科Ａ,27.81,0.36,1.31%,6626,791461,218913,0.81%,26.85-28.25,27.4,27.45
5,世纪星源,3.81,-0.18,-4.51%,2964,494695,18900,4.68%,3.73-3.90,3.83,3.99
6,深振业Ａ,6.22,0.04,0.65%,2580,331774,20647,2.46%,6.08-6.32,6.16,6.18
9,中国宝安,6.61,-0.14,-2.07%,7534,1259458,85165,5.94%,6.40-7.04,6.92,6.75
11,深物业A,10.76,0.14,1.32%,905,123414,13385,7.02%,10.60-11.05,10.7,10.62
14,沙河股份,11.11,-0.1,-0.89%,1138,112365,12666,5.57%,11.06-11.46,11.24,11.21
29,深深房Ａ,11.17,0,0.00%,0,--,0,0.00%,-----,0,11.17
31,中粮地产,6.04,-0.01,-0.17%,1283,276218,16756,1.52%,5.97-6.17,6.03,6.05
36,华联控股,6.84,0.3,4.59%,2529,390266,26695,3.43%,6.52-7.14,6.58,6.54
40,东旭蓝天,8.97,-0.25,-2.71%,3371,490171,43985,4.62%,8.72-9.28,9.25,9.22
42,中洲控股,12.99,0.06,0.46%,426,47439,6172,0.72%,12.80-13.29,12.94,12.93
43,中航善达,9.32,0.29,3.21%,2540,260932,24574,3.91%,9.06-9.83,9.1,9.03
46,泛海控股,7.2,0.07,0.98%,5448,415021,30014,0.80%,7.06-7.38,7.19,7.13
69,华侨城Ａ,6.95,0.07,1.02%,2500,497773,34576,0.71%,6.81-7.03,6.89,6.88
150,宜华健康,13.98,0.63,4.72%,3514,346277,48325,6.01%,13.17-14.60,13.4,13.35
301,东方盛虹,6.01,0.03,0.50%,1168,261394,15836,2.15%,5.93-6.15,6,5.98
402,金 融 街,8.14,0.16,2.01%,1831,178091,14496,0.60%,8.00-8.25,8.07,7.98
502,绿景控股,8.51,0.12,1.43%,391,41046,3514,2.24%,8.30-8.74,8.47,8.39
505,京粮控股,6.46,-0.08,-1.22%,1174,131051,8582,3.23%,6.35-6.67,6.55,6.54
506,中润资源,3.52,-0.13,-3.56%,7881,586320,21188,6.31%,3.47-3.74,3.65,3.65
507,珠海港,7.66,-0.15,-1.92%,1287,203746,15742,2.64%,7.62-7.82,7.82,7.81
514,渝 开 发,4.45,-0.01,-0.22%,701,84985,3805,1.01%,4.40-4.56,4.47,4.46
517,荣安地产,3.15,0.19,6.42%,27641,692162,21212,2.28%,2.96-3.15,3,2.96
526,紫光学大,24.03,-0.17,-0.70%,187,30663,7466,3.19%,23.81-24.80,24.33,24.2
534,万泽股份,9.93,-0.17,-1.68%,1420,54185,5438,1.10%,9.83-10.16,10.16,10.1
537,广宇发展,8.75,0.07,0.81%,1310,204063,17948,3.98%,8.60-8.93,8.7,8.68
540,中天金融,4.69,-0.13,-2.70%,7303,899035,42766,1.38%,4.64-4.87,4.83,4.82
558,莱茵体育,4.22,-0.08,-1.86%,9001,1082484,48253,8.40%,4.20-4.73,4.73,4.3
567,海德股份,13.7,-0.55,-3.86%,1806,99909,14075,6.64%,13.70-14.50,14.24,14.25
573,粤宏远Ａ,3.58,-0.08,-2.19%,815,165440,6017,2.66%,3.55-3.70,3.67,3.66
608,阳光股份,6.34,0.28,4.62%,1449,61790,3866,0.82%,6.04-6.35,6.07,6.06
609,中迪投资,6.77,0.62,10.08%,3978,243827,16107,8.35%,6.13-6.77,6.13,6.15
616,海航投资,3.5,-0.05,-1.41%,3120,357011,12628,2.50%,3.49-3.60,3.51,3.55
620,新华联,4.73,0.01,0.21%,669,150102,7173,0.79%,4.65-4.91,4.71,4.72
628,高新发展,11.21,0.19,1.72%,1986,135917,15258,7.23%,10.91-11.48,11.11,11.02
631,顺发恒业,3.57,0.02,0.56%,1355,116375,4186,0.48%,3.52-3.64,3.56,3.55
632,三木集团,4.62,-0.06,-1.28%,1035,99563,4695,2.14%,4.61-4.82,4.75,4.68
656,金科股份,6,0.03,0.50%,3364,333855,19916,0.63%,5.86-6.06,5.94,5.97
667,美好置业,2.84,-0.02,-0.70%,7003,345013,9794,1.36%,2.80-2.87,2.86,2.86
668,荣丰控股,11.94,-0.22,-1.81%,92,11484,1394,0.78%,11.90-12.37,12.37,12.16
671,阳 光 城,7.65,0.23,3.10%,32999,550051,41943,1.38%,7.37-7.81,7.5,7.42
691,亚太实业,4.99,-0.02,-0.40%,1237,90227,4542,3.11%,4.91-5.12,5.07,5.01
711,京蓝科技,8.05,-0.88,-9.85%,3204,561908,46618,13.83%,8.04-8.81,8.73,8.93
718,苏宁环球,3.8,-0.05,-1.30%,1853,193191,7468,0.84%,3.77-3.93,3.85,3.85
732,泰禾集团,15.82,0.51,3.33%,2566,376916,59523,3.03%,15.30-16.17,15.39,15.31
736,中交地产,8.91,0.03,0.34%,890,101673,9152,2.28%,8.82-9.17,8.94,8.88
797,中国武夷,5.87,-0.08,-1.34%,1401,92071,5488,0.71%,5.84-6.06,5.95,5.95
838,财信发展,4.13,0.05,1.23%,1273,274785,11282,4.35%,3.99-4.23,4.1,4.08
861,海印股份,2.99,-0.06,-1.97%,1157,196300,5923,0.99%,2.98-3.07,3.05,3.05
863,三湘印象,5.37,0.49,10.04%,695,191851,10110,2.09%,4.84-5.37,4.88,4.88
897,津滨发展,3.12,0,0.00%,6713,651279,20530,4.03%,3.03-3.25,3.12,3.12
